"pli0165","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Daily","2013","16-34 y.","lower secondary degree","490","0.520613937827998","0.487737339319641","0.553490536336356"
"Daily","2013","16-34 y.","secondary school degree","907","0.593225643041995","0.569019165712328","0.617432120371662"
"Daily","2013","16-34 y.","college entrance qualification","1048","0.631242011896951","0.608853803949074","0.653630219844828"
"Daily","2013","16-34 y.","Other degree","129","0.587971781155036","0.526339708810055","0.649603853500016"
"Daily","2013","16-34 y.","no degree/no degree yet","420","0.777444458876626","0.742775610348453","0.8121133074048"
"Daily","2013","35-65 y.","lower secondary degree","765","0.192396668342903","0.179455393285527","0.205337943400279"
"Daily","2013","35-65 y.","secondary school degree","1202","0.202079888390431","0.191249818488422","0.212909958292441"
"Daily","2013","35-65 y.","college entrance qualification","890","0.182323036875682","0.171209783982485","0.19343628976888"
"Daily","2013","35-65 y.","Other degree","279","0.207795293181047","0.183872961131978","0.231717625230116"
"Daily","2013","35-65 y.","no degree/no degree yet","46","0.197717414813318","0.140936376061808","0.254498453564828"
"Daily","2013","66 and older","lower secondary degree","96","0.032823653639258","0.0260011505760881","0.0396461567024278"
"Daily","2013","66 and older","secondary school degree","93","0.0830961207493645","0.0659709425113948","0.100221298987334"
"Daily","2013","66 and older","college entrance qualification","94","0.0913727883405674","0.0731363469188349","0.1096092297623"
"Daily","2013","66 and older","Other degree","17","","",""
"Daily","2013","66 and older","no degree/no degree yet","1","","",""
"Min 1x per week","2013","16-34 y.","lower secondary degree","133","0.159189527249244","0.135113069935529","0.18326598456296"
"Min 1x per week","2013","16-34 y.","secondary school degree","235","0.168185747778405","0.149754589642179","0.186616905914631"
"Min 1x per week","2013","16-34 y.","college entrance qualification","232","0.122793690758765","0.107564053274702","0.138023328242829"
"Min 1x per week","2013","16-34 y.","Other degree","39","0.10039353574932","0.0627626702137289","0.138024401284911"
"Min 1x per week","2013","16-34 y.","no degree/no degree yet","60","0.109028539196315","0.0830516274689995","0.13500545092363"
"Min 1x per week","2013","35-65 y.","lower secondary degree","428","0.11856717354999","0.107953735552293","0.129180611547687"
"Min 1x per week","2013","35-65 y.","secondary school degree","688","0.13927022253703","0.129932250781296","0.148608194292765"
"Min 1x per week","2013","35-65 y.","college entrance qualification","608","0.129600815777806","0.119933795082389","0.139267836473223"
"Min 1x per week","2013","35-65 y.","Other degree","176","0.121019970355107","0.101789718279073","0.140250222431141"
"Min 1x per week","2013","35-65 y.","no degree/no degree yet","23","","",""
"Min 1x per week","2013","66 and older","lower secondary degree","74","0.0261280020068427","0.020019967455761","0.0322360365579245"
"Min 1x per week","2013","66 and older","secondary school degree","51","0.0439755904888344","0.0312545348911444","0.0566966460865244"
"Min 1x per week","2013","66 and older","college entrance qualification","78","0.0694804614537033","0.0533876144349038","0.0855733084725029"
"Min 1x per week","2013","66 and older","Other degree","8","","",""
"Min 1x per week","2013","66 and older","no degree/no degree yet","4","","",""
"Min 1x per month","2013","16-34 y.","lower secondary degree","28","","",""
"Min 1x per month","2013","16-34 y.","secondary school degree","47","0.028674113595671","0.0204503175001636","0.0368979096911783"
"Min 1x per month","2013","16-34 y.","college entrance qualification","52","0.0308990896955192","0.0228692290330053","0.038928950358033"
"Min 1x per month","2013","16-34 y.","Other degree","8","","",""
"Min 1x per month","2013","16-34 y.","no degree/no degree yet","8","","",""
"Min 1x per month","2013","35-65 y.","lower secondary degree","113","0.0344113140966706","0.0284268404839627","0.0403957877093785"
"Min 1x per month","2013","35-65 y.","secondary school degree","176","0.0321959742104059","0.027435124139452","0.0369568242813598"
"Min 1x per month","2013","35-65 y.","college entrance qualification","174","0.0456141906961385","0.0396087965457164","0.0516195848465606"
"Min 1x per month","2013","35-65 y.","Other degree","36","0.0388163509056703","0.0274275633490673","0.0502051384622733"
"Min 1x per month","2013","35-65 y.","no degree/no degree yet","7","","",""
"Min 1x per month","2013","66 and older","lower secondary degree","21","","",""
"Min 1x per month","2013","66 and older","secondary school degree","14","","",""
"Min 1x per month","2013","66 and older","college entrance qualification","16","","",""
"Min 1x per month","2013","66 and older","Other degree","2","","",""
"Min 1x per month","2013","66 and older","no degree/no degree yet","","","",""
"Rarely","2013","16-34 y.","lower secondary degree","52","0.0681286522417676","0.0515469482055543","0.084710356277981"
"Rarely","2013","16-34 y.","secondary school degree","87","0.0467921531221315","0.0363851623224003","0.0571991439218627"
"Rarely","2013","16-34 y.","college entrance qualification","118","0.0603737020837196","0.0493214151513483","0.0714259890160908"
"Rarely","2013","16-34 y.","Other degree","15","","",""
"Rarely","2013","16-34 y.","no degree/no degree yet","13","","",""
"Rarely","2013","35-65 y.","lower secondary degree","327","0.0893299193119707","0.0799659873728984","0.0986938512510429"
"Rarely","2013","35-65 y.","secondary school degree","487","0.0961058880529664","0.088156681461018","0.104055094644915"
"Rarely","2013","35-65 y.","college entrance qualification","492","0.10531495331641","0.0964798902837605","0.114150016349059"
"Rarely","2013","35-65 y.","Other degree","86","0.0741580001800173","0.058708501345268","0.0896074990147666"
"Rarely","2013","35-65 y.","no degree/no degree yet","11","","",""
"Rarely","2013","66 and older","lower secondary degree","115","0.0422534237374868","0.0345505336326669","0.0499563138423068"
"Rarely","2013","66 and older","secondary school degree","59","0.0601442499527284","0.0453936230451995","0.0748948768602572"
"Rarely","2013","66 and older","college entrance qualification","82","0.0725541981416867","0.0561364219650001","0.0889719743183733"
"Rarely","2013","66 and older","Other degree","14","","",""
"Rarely","2013","66 and older","no degree/no degree yet","3","","",""
"Never","2013","16-34 y.","lower secondary degree","184","0.21450402741327","0.187490830289999","0.241517224536541"
"Never","2013","16-34 y.","secondary school degree","306","0.163122342461798","0.144915586845262","0.181329098078333"
"Never","2013","16-34 y.","college entrance qualification","334","0.154691505565045","0.137911522593784","0.171471488536306"
"Never","2013","16-34 y.","Other degree","54","0.2287284165998","0.176135315913477","0.281321517286123"
"Never","2013","16-34 y.","no degree/no degree yet","52","0.0926880479038788","0.0685181002892262","0.116857995518531"
"Never","2013","35-65 y.","lower secondary degree","1931","0.565294924698466","0.549020181598861","0.581569667798071"
"Never","2013","35-65 y.","secondary school degree","2728","0.530348026809166","0.516887608346225","0.543808445272107"
"Never","2013","35-65 y.","college entrance qualification","2473","0.537147003333964","0.522795491230552","0.551498515437376"
"Never","2013","35-65 y.","Other degree","528","0.558210385378159","0.528930210966464","0.587490559789854"
"Never","2013","35-65 y.","no degree/no degree yet","102","0.555588773564502","0.484747488552436","0.626430058576567"
"Never","2013","66 and older","lower secondary degree","2314","0.892383619707577","0.880517398762637","0.904249840652517"
"Never","2013","66 and older","secondary school degree","781","0.80377370587571","0.779134408520396","0.828413003231024"
"Never","2013","66 and older","college entrance qualification","689","0.752118806818459","0.724791061562451","0.779446552074466"
"Never","2013","66 and older","Other degree","214","0.86173972692171","0.81937399016709","0.904105463676331"
"Never","2013","66 and older","no degree/no degree yet","62","0.902729266324059","0.833311772863458","0.97214675978466"
"Daily","2014","16-34 y.","lower secondary degree","","","",""
"Daily","2014","16-34 y.","secondary school degree","","","",""
"Daily","2014","16-34 y.","college entrance qualification","","","",""
"Daily","2014","16-34 y.","Other degree","","","",""
"Daily","2014","16-34 y.","no degree/no degree yet","","","",""
"Daily","2014","35-65 y.","lower secondary degree","","","",""
"Daily","2014","35-65 y.","secondary school degree","","","",""
"Daily","2014","35-65 y.","college entrance qualification","","","",""
"Daily","2014","35-65 y.","Other degree","","","",""
"Daily","2014","35-65 y.","no degree/no degree yet","","","",""
"Daily","2014","66 and older","lower secondary degree","","","",""
"Daily","2014","66 and older","secondary school degree","","","",""
"Daily","2014","66 and older","college entrance qualification","","","",""
"Daily","2014","66 and older","Other degree","","","",""
"Daily","2014","66 and older","no degree/no degree yet","","","",""
"Min 1x per week","2014","16-34 y.","lower secondary degree","","","",""
"Min 1x per week","2014","16-34 y.","secondary school degree","","","",""
"Min 1x per week","2014","16-34 y.","college entrance qualification","","","",""
"Min 1x per week","2014","16-34 y.","Other degree","","","",""
"Min 1x per week","2014","16-34 y.","no degree/no degree yet","","","",""
"Min 1x per week","2014","35-65 y.","lower secondary degree","","","",""
"Min 1x per week","2014","35-65 y.","secondary school degree","","","",""
