"pli0165","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2013","(0) in school","Male","180","0.890286581256487","0.848510889605528","0.932062272907446"
"Daily","2013","(0) in school","Female","189","0.818724207976655","0.76925797346976","0.86819044248355"
"Daily","2013","(1a) inadequately completed","Male","44","0.182390623780857","0.122925165569812","0.241856081991901"
"Daily","2013","(1a) inadequately completed","Female","53","0.157276618178167","0.106438486583561","0.208114749772772"
"Daily","2013","(1b) general elementary school","Male","204","0.276471520043938","0.241574653955231","0.311368386132646"
"Daily","2013","(1b) general elementary school","Female","271","0.120883466276527","0.10313534994799","0.138631582605064"
"Daily","2013","(1c) basic vocational qualification","Male","543","0.155134513056975","0.142359289610405","0.167909736503545"
"Daily","2013","(1c) basic vocational qualification","Female","487","0.130450266330069","0.117753452069306","0.143147080590832"
"Daily","2013","(2b) intermediate general qualification","Male","162","0.515121387309204","0.455174896462679","0.575067878155729"
"Daily","2013","(2b) intermediate general qualification","Female","232","0.471554554779498","0.425686698374292","0.517422411184703"
"Daily","2013","(2a) intermediate vocational","Male","612","0.245898090394773","0.229111899620761","0.262684281168786"
"Daily","2013","(2a) intermediate vocational","Female","1085","0.246712037123194","0.233247670809114","0.260176403437275"
"Daily","2013","(2c_gen) general maturity certificate","Male","260","0.589703055513466","0.54374225512077","0.635663855906162"
"Daily","2013","(2c_gen) general maturity certificate","Female","339","0.62843087231822","0.589373052692801","0.667488691943638"
"Daily","2013","(2c_voc) vocational maturity certificate","Male","245","0.300883892558046","0.270701031486425","0.331066753629668"
"Daily","2013","(2c_voc) vocational maturity certificate","Female","407","0.301402543246165","0.277015138098823","0.325789948393507"
"Daily","2013","(3a) lower tertiary education","Male","186","0.160791887691417","0.138984595348551","0.182599180034284"
"Daily","2013","(3a) lower tertiary education","Female","187","0.169212460546647","0.145797623851339","0.192627297241955"
"Daily","2013","(3b) higher tertiary education","Male","360","0.226337428866826","0.20742169701735","0.245253160716302"
"Daily","2013","(3b) higher tertiary education","Female","460","0.269218636691067","0.249061079025313","0.289376194356821"
"Min 1x per week","2013","(0) in school","Male","17","","",""
"Min 1x per week","2013","(0) in school","Female","31","0.122029099105726","0.0800007922874268","0.164057405924026"
"Min 1x per week","2013","(1a) inadequately completed","Male","21","","",""
"Min 1x per week","2013","(1a) inadequately completed","Female","17","","",""
"Min 1x per week","2013","(1b) general elementary school","Male","61","0.058801520772999","0.040445932867925","0.077157108678073"
"Min 1x per week","2013","(1b) general elementary school","Female","99","0.0410782773874471","0.0302728168820874","0.0518837378928067"
"Min 1x per week","2013","(1c) basic vocational qualification","Male","312","0.102278989666439","0.091586362689704","0.112971616643174"
"Min 1x per week","2013","(1c) basic vocational qualification","Female","251","0.078919341041888","0.0687553183765698","0.0890833637072062"
"Min 1x per week","2013","(2b) intermediate general qualification","Male","32","0.199675851279723","0.151725897449743","0.247625805109702"
