"pli0165","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","2013","lower secondary degree","1351","0.150374296157222","0.142043082014986","0.158705510299459"
"Daily","2013","secondary school degree","2202","0.259169547224469","0.249483187555382","0.268855906893555"
"Daily","2013","college entrance qualification","2032","0.302775146711638","0.292292608564604","0.313257684858671"
"Daily","2013","Other degree","425","0.20165237575307","0.1820229198076","0.22128183169854"
"Daily","2013","no degree/no degree yet","467","0.472196390589093","0.437858976499364","0.506533804678822"
"Min 1x per week","2013","lower secondary degree","635","0.0807795269257376","0.074428145869496","0.0871309079819793"
"Min 1x per week","2013","secondary school degree","974","0.128363412991927","0.120969104822131","0.135757721161723"
"Min 1x per week","2013","college entrance qualification","918","0.117832018111536","0.110476263823501","0.125187772399572"
"Min 1x per week","2013","Other degree","223","0.0946352880245874","0.0803150937993716","0.108955482249803"
"Min 1x per week","2013","no degree/no degree yet","87","0.115489451847231","0.093506159035715","0.137472744658747"
"Min 1x per month","2013","lower secondary degree","162","0.0221423784882697","0.0187126667490486","0.0255720902274909"
"Min 1x per month","2013","secondary school degree","237","0.0274398058473251","0.0238285525187199","0.0310510591759302"
"Min 1x per month","2013","college entrance qualification","242","0.0361495953931178","0.0318909012785812","0.0404082895076544"
"Min 1x per month","2013","Other degree","46","0.0296170147609703","0.0213232292436516","0.0379108002782891"
"Min 1x per month","2013","no degree/no degree yet","15","","",""
"Rarely","2013","lower secondary degree","494","0.0663190169465772","0.0605190439838239","0.0721189899093304"
"Rarely","2013","secondary school degree","633","0.0799958156664473","0.0739987648390502","0.0859928664938443"
"Rarely","2013","college entrance qualification","692","0.0864882508459646","0.0800753350753007","0.0929011666166285"
"Rarely","2013","Other degree","115","0.0620739996086151","0.0502694417595215","0.0738785574577087"
"Rarely","2013","no degree/no degree yet","27","","",""
"Never","2013","lower secondary degree","4429","0.680384781482193","0.669515553631245","0.691254009333142"
"Never","2013","secondary school degree","3815","0.505031418269832","0.49397900265819","0.516083833881474"
"Never","2013","college entrance qualification","3496","0.456754988937744","0.445390250801644","0.468119727073844"
"Never","2013","Other degree","796","0.612021321852757","0.588181786941134","0.63586085676438"
"Never","2013","no degree/no degree yet","216","0.372729355524005","0.339471491192501","0.405987219855508"
"Daily","2014","lower secondary degree","","","",""
"Daily","2014","secondary school degree","","","",""
"Daily","2014","college entrance qualification","","","",""
"Daily","2014","Other degree","","","",""
"Daily","2014","no degree/no degree yet","","","",""
"Min 1x per week","2014","lower secondary degree","","","",""
"Min 1x per week","2014","secondary school degree","","","",""
"Min 1x per week","2014","college entrance qualification","","","",""
"Min 1x per week","2014","Other degree","","","",""
"Min 1x per week","2014","no degree/no degree yet","","","",""
"Min 1x per month","2014","lower secondary degree","","","",""
"Min 1x per month","2014","secondary school degree","","","",""
"Min 1x per month","2014","college entrance qualification","","","",""
"Min 1x per month","2014","Other degree","","","",""
"Min 1x per month","2014","no degree/no degree yet","","","",""
"Rarely","2014","lower secondary degree","","","",""
"Rarely","2014","secondary school degree","","","",""
"Rarely","2014","college entrance qualification","","","",""
"Rarely","2014","Other degree","","","",""
"Rarely","2014","no degree/no degree yet","","","",""
"Never","2014","lower secondary degree","","","",""
"Never","2014","secondary school degree","","","",""
"Never","2014","college entrance qualification","","","",""
"Never","2014","Other degree","","","",""
"Never","2014","no degree/no degree yet","","","",""
"Daily","2015","lower secondary degree","","","",""
"Daily","2015","secondary school degree","","","",""
"Daily","2015","college entrance qualification","","","",""
"Daily","2015","Other degree","","","",""
"Daily","2015","no degree/no degree yet","","","",""
"Min 1x per week","2015","lower secondary degree","","","",""
"Min 1x per week","2015","secondary school degree","","","",""
"Min 1x per week","2015","college entrance qualification","","","",""
"Min 1x per week","2015","Other degree","","","",""
"Min 1x per week","2015","no degree/no degree yet","","","",""
"Min 1x per month","2015","lower secondary degree","","","",""
"Min 1x per month","2015","secondary school degree","","","",""
"Min 1x per month","2015","college entrance qualification","","","",""
"Min 1x per month","2015","Other degree","","","",""
"Min 1x per month","2015","no degree/no degree yet","","","",""
"Rarely","2015","lower secondary degree","","","",""
"Rarely","2015","secondary school degree","","","",""
"Rarely","2015","college entrance qualification","","","",""
"Rarely","2015","Other degree","","","",""
"Rarely","2015","no degree/no degree yet","","","",""
"Never","2015","lower secondary degree","","","",""
"Never","2015","secondary school degree","","","",""
"Never","2015","college entrance qualification","","","",""
"Never","2015","Other degree","","","",""
"Never","2015","no degree/no degree yet","","","",""
"Daily","2016","lower secondary degree","","","",""
"Daily","2016","secondary school degree","","","",""
"Daily","2016","college entrance qualification","","","",""
"Daily","2016","Other degree","","","",""
"Daily","2016","no degree/no degree yet","","","",""
"Min 1x per week","2016","lower secondary degree","","","",""
"Min 1x per week","2016","secondary school degree","","","",""
"Min 1x per week","2016","college entrance qualification","","","",""
"Min 1x per week","2016","Other degree","","","",""
"Min 1x per week","2016","no degree/no degree yet","","","",""
"Min 1x per month","2016","lower secondary degree","","","",""
"Min 1x per month","2016","secondary school degree","","","",""
"Min 1x per month","2016","college entrance qualification","","","",""
"Min 1x per month","2016","Other degree","","","",""
"Min 1x per month","2016","no degree/no degree yet","","","",""
"Rarely","2016","lower secondary degree","","","",""
"Rarely","2016","secondary school degree","","","",""
"Rarely","2016","college entrance qualification","","","",""
"Rarely","2016","Other degree","","","",""
"Rarely","2016","no degree/no degree yet","","","",""
"Never","2016","lower secondary degree","","","",""
"Never","2016","secondary school degree","","","",""
"Never","2016","college entrance qualification","","","",""
"Never","2016","Other degree","","","",""
"Never","2016","no degree/no degree yet","","","",""
"Daily","2017","lower secondary degree","26","","",""
"Daily","2017","secondary school degree","11","","",""
"Daily","2017","college entrance qualification","13","","",""
"Daily","2017","Other degree","1952","0.674987397567042","0.657934553014169","0.692040242119915"
"Daily","2017","no degree/no degree yet","1080","0.47940232015511","0.458498244942833","0.500306395367387"
"Min 1x per week","2017","lower secondary degree","3","","",""
"Min 1x per week","2017","secondary school degree","2","","",""
"Min 1x per week","2017","college entrance qualification","6","","",""
"Min 1x per week","2017","Other degree","441","0.142800977649055","0.130062857986785","0.155539097311326"
"Min 1x per week","2017","no degree/no degree yet","398","0.164436079757453","0.148925851970179","0.179946307544727"
"Min 1x per month","2017","lower secondary degree","1","","",""
"Min 1x per month","2017","secondary school degree","1","","",""
"Min 1x per month","2017","college entrance qualification","1","","",""
"Min 1x per month","2017","Other degree","68","0.0274238872113483","0.0214778830765312","0.0333698913461653"
"Min 1x per month","2017","no degree/no degree yet","81","0.0556714435037568","0.0460772696928568","0.0652656173146567"
"Rarely","2017","lower secondary degree","3","","",""
"Rarely","2017","secondary school degree","1","","",""
"Rarely","2017","college entrance qualification","","","",""
"Rarely","2017","Other degree","156","0.0484272165935424","0.0406115745485732","0.0562428586385115"
"Rarely","2017","no degree/no degree yet","129","0.0627458749658115","0.0525985621324307","0.0728931877991923"
"Never","2017","lower secondary degree","2","","",""
"Never","2017","secondary school degree","","","",""
"Never","2017","college entrance qualification","1","","",""
"Never","2017","Other degree","281","0.106360520979012","0.0951359357536806","0.117585106204344"
"Never","2017","no degree/no degree yet","506","0.237744281617869","0.219931359673416","0.255557203562322"
"Daily","2018","lower secondary degree","30","0.851486098057537","0.738420983297003","0.96455121281807"
"Daily","2018","secondary school degree","14","","",""
"Daily","2018","college entrance qualification","13","","",""
"Daily","2018","Other degree","1445","0.724430877763094","0.704960969615796","0.743900785910393"
"Daily","2018","no degree/no degree yet","810","0.574260333314848","0.548632815768578","0.599887850861119"
"Min 1x per week","2018","lower secondary degree","4","","",""
"Min 1x per week","2018","secondary school degree","4","","",""
"Min 1x per week","2018","college entrance qualification","2","","",""
"Min 1x per week","2018","Other degree","313","0.147633113000514","0.132175041092423","0.163091184908606"
"Min 1x per week","2018","no degree/no degree yet","245","0.189732374403455","0.169410440401021","0.210054308405889"
"Min 1x per month","2018","lower secondary degree","3","","",""
"Min 1x per month","2018","secondary school degree","1","","",""
"Min 1x per month","2018","college entrance qualification","","","",""
"Min 1x per month","2018","Other degree","51","0.0264573882144646","0.0194637829317567","0.0334509934971725"
"Min 1x per month","2018","no degree/no degree yet","48","0.0259606288553189","0.0177187555870897","0.0342025021235482"
"Rarely","2018","lower secondary degree","","","",""
"Rarely","2018","secondary school degree","1","","",""
"Rarely","2018","college entrance qualification","1","","",""
"Rarely","2018","Other degree","75","0.0380952302560956","0.0297535893508489","0.0464368711613423"
"Rarely","2018","no degree/no degree yet","87","0.0580398995945289","0.0459210986477613","0.0701587005412966"
"Never","2018","lower secondary degree","1","","",""
"Never","2018","secondary school degree","","","",""
"Never","2018","college entrance qualification","1","","",""
"Never","2018","Other degree","139","0.0633833907658311","0.0527659753123725","0.0740008062192897"
"Never","2018","no degree/no degree yet","240","0.152006763831849","0.133398419960604","0.170615107703093"
"Daily","2019","lower secondary degree","46","0.831610038659301","0.736123962869171","0.92709611444943"
"Daily","2019","secondary school degree","31","0.675030576087324","0.524116342763883","0.825944809410766"
"Daily","2019","college entrance qualification","16","","",""
"Daily","2019","Other degree","1324","0.749947552371485","0.729858475444618","0.770036629298352"
"Daily","2019","no degree/no degree yet","829","0.611798177177331","0.585577403371172","0.638018950983489"
"Min 1x per week","2019","lower secondary degree","7","","",""
"Min 1x per week","2019","secondary school degree","4","","",""
"Min 1x per week","2019","college entrance qualification","4","","",""
"Min 1x per week","2019","Other degree","250","0.129710011652546","0.11412354324055","0.145296480064542"
"Min 1x per week","2019","no degree/no degree yet","230","0.185083609558305","0.164188091819236","0.205979127297374"
"Min 1x per month","2019","lower secondary degree","1","","",""
"Min 1x per month","2019","secondary school degree","","","",""
"Min 1x per month","2019","college entrance qualification","","","",""
"Min 1x per month","2019","Other degree","34","0.01585382446108","0.0100591931608201","0.02164845576134"
"Min 1x per month","2019","no degree/no degree yet","21","","",""
"Rarely","2019","lower secondary degree","2","","",""
"Rarely","2019","secondary school degree","1","","",""
"Rarely","2019","college entrance qualification","1","","",""
"Rarely","2019","Other degree","80","0.0475360139402504","0.0376649345823006","0.0574070932982002"
"Rarely","2019","no degree/no degree yet","81","0.0644707672043559","0.0512571193058827","0.0776844151028291"
"Never","2019","lower secondary degree","3","","",""
"Never","2019","secondary school degree","1","","",""
"Never","2019","college entrance qualification","3","","",""
"Never","2019","Other degree","97","0.0569525975746382","0.046201507245113","0.0677036879041634"
"Never","2019","no degree/no degree yet","166","0.116852579952661","0.0995684157070301","0.134136744198292"
