"pli0165","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Not Employed","(0) in school","285","0.858991409268106","0.822425559940344","0.895557258595868"
"Daily","2013","Not Employed","(1a) inadequately completed","35","0.117377738777928","0.0719679225468116","0.162787555009045"
"Daily","2013","Not Employed","(1b) general elementary school","182","0.0856829882085516","0.0692467965109408","0.102119179906162"
"Daily","2013","Not Employed","(1c) basic vocational qualification","284","0.0702659700783549","0.0606711452101221","0.0798607949465878"
"Daily","2013","Not Employed","(2b) intermediate general qualification","129","0.353745980181142","0.296608729864799","0.410883230497485"
"Daily","2013","Not Employed","(2a) intermediate vocational","316","0.16960594147683","0.150977021334803","0.188234861618858"
"Daily","2013","Not Employed","(2c_gen) general maturity certificate","219","0.578605998510973","0.529218376080763","0.627993620941182"
"Daily","2013","Not Employed","(2c_voc) vocational maturity certificate","91","0.158245321379909","0.124673231788298","0.191817410971521"
"Daily","2013","Not Employed","(3a) lower tertiary education","65","0.0859202930397422","0.0626677262725853","0.109172859806899"
"Daily","2013","Not Employed","(3b) higher tertiary education","166","0.167926168916606","0.143532060814193","0.19232027701902"
"Daily","2013","Employed","(0) in school","84","0.837661204044591","0.765385313394251","0.909937094694931"
"Daily","2013","Employed","(1a) inadequately completed","62","0.256457758479416","0.190029205660117","0.322886311298715"
"Daily","2013","Employed","(1b) general elementary school","293","0.325694100037285","0.293480723893082","0.357907476181487"
"Daily","2013","Employed","(1c) basic vocational qualification","746","0.223618938882813","0.208860607580368","0.238377270185258"
"Daily","2013","Employed","(2b) intermediate general qualification","265","0.570890442808293","0.525312001407677","0.61646888420891"
"Daily","2013","Employed","(2a) intermediate vocational","1381","0.273778656483588","0.261302685376709","0.286254627590466"
"Daily","2013","Employed","(2c_gen) general maturity certificate","380","0.62455856194183","0.587159316257922","0.661957807625737"
"Daily","2013","Employed","(2c_voc) vocational maturity certificate","561","0.342143354190421","0.3201835919456","0.364103116435242"
"Daily","2013","Employed","(3a) lower tertiary education","308","0.196814557963625","0.17680710409182","0.21682201183543"
"Daily","2013","Employed","(3b) higher tertiary education","654","0.274792357513574","0.25836849100173","0.291216224025418"
"Min 1x per week","2013","Not Employed","(0) in school","43","0.11454715833205","0.0810865874026787","0.148007729261422"
"Min 1x per week","2013","Not Employed","(1a) inadequately completed","13","","",""
"Min 1x per week","2013","Not Employed","(1b) general elementary school","57","0.0232816650604181","0.0144264893274241","0.032136840793412"
"Min 1x per week","2013","Not Employed","(1c) basic vocational qualification","140","0.0498441696398901","0.0416747770557075","0.0580135622240727"
"Min 1x per week","2013","Not Employed","(2b) intermediate general qualification","30","0.140588034771556","0.099049915499188","0.182126154043924"
"Min 1x per week","2013","Not Employed","(2a) intermediate vocational","123","0.0693117771294557","0.0567042282775448","0.0819193259813667"
"Min 1x per week","2013","Not Employed","(2c_gen) general maturity certificate","39","0.1022571446466","0.0719527726545149","0.132561516638685"
"Min 1x per week","2013","Not Employed","(2c_voc) vocational maturity certificate","42","0.0915188142560157","0.0649951619763297","0.118042466535702"
"Min 1x per week","2013","Not Employed","(3a) lower tertiary education","48","0.068890336635975","0.0478762478914796","0.0899044253804703"
"Min 1x per week","2013","Not Employed","(3b) higher tertiary education","89","0.0902753346231623","0.0715734936113377","0.108977175634987"
"Min 1x per week","2013","Employed","(0) in school","5","","",""
"Min 1x per week","2013","Employed","(1a) inadequately completed","25","","",""
"Min 1x per week","2013","Employed","(1b) general elementary school","103","0.089643747169511","0.070007046998622","0.1092804473404"
"Min 1x per week","2013","Employed","(1c) basic vocational qualification","423","0.136705325005471","0.124537365807776","0.148873284203166"
"Min 1x per week","2013","Employed","(2b) intermediate general qualification","58","0.126135782273767","0.0955626369405384","0.156708927606996"
"Min 1x per week","2013","Employed","(2a) intermediate vocational","688","0.148727190952111","0.138771540715266","0.158682841188957"
