"pli0165","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2013","lower secondary degree","no migration background","1116","0.141540279592771","0.13296739414805","0.150113165037493"
"Daily","2013","lower secondary degree","direct migration background","109","0.19160775175401","0.15470786950745","0.22850763400057"
"Daily","2013","lower secondary degree","indirect migration background","126","0.41974969519873","0.362251030831073","0.477248359566386"
"Daily","2013","secondary school degree","no migration background","1981","0.255214017331598","0.245203841285748","0.265224193377447"
"Daily","2013","secondary school degree","direct migration background","80","0.210110583515039","0.161517627290673","0.258703539739404"
"Daily","2013","secondary school degree","indirect migration background","141","0.465348494478666","0.409277810631284","0.521419178326049"
"Daily","2013","college entrance qualification","no migration background","1779","0.293667647710211","0.282764645930409","0.304570649490012"
"Daily","2013","college entrance qualification","direct migration background","99","0.321939605659758","0.270748501786534","0.373130709532982"
"Daily","2013","college entrance qualification","indirect migration background","154","0.506857156332516","0.454995887031555","0.558718425633477"
"Daily","2013","Other degree","no migration background","60","0.223525734867329","0.165497041086785","0.281554428647874"
"Daily","2013","Other degree","direct migration background","349","0.19279120863902","0.171955049033237","0.213627368244802"
"Daily","2013","Other degree","indirect migration background","16","","",""
"Daily","2013","no degree/no degree yet","no migration background","341","0.55622055748941","0.513922807648722","0.598518307330098"
"Daily","2013","no degree/no degree yet","direct migration background","40","0.143418052446007","0.0907302603848061","0.196105844507208"
"Daily","2013","no degree/no degree yet","indirect migration background","86","0.743711625021418","0.662856822934161","0.824566427108675"
"Min 1x per week","2013","lower secondary degree","no migration background","533","0.0760624611924389","0.0695426723874571","0.0825822499974207"
"Min 1x per week","2013","lower secondary degree","direct migration background","58","0.133778504598319","0.101862022288486","0.165694986908152"
"Min 1x per week","2013","lower secondary degree","indirect migration background","44","0.158808871983906","0.116225544392378","0.201392199575433"
"Min 1x per week","2013","secondary school degree","no migration background","876","0.125590801725874","0.117982110125184","0.133199493326564"
"Min 1x per week","2013","secondary school degree","direct migration background","45","0.198190542815648","0.150641337864619","0.245739747766676"
"Min 1x per week","2013","secondary school degree","indirect migration background","53","0.15777421219614","0.116796889788405","0.198751534603875"
"Min 1x per week","2013","college entrance qualification","no migration background","814","0.11706133464538","0.109364972677435","0.124757696613325"
"Min 1x per week","2013","college entrance qualification","direct migration background","46","0.130711653787721","0.0937788579467318","0.16764444962871"
"Min 1x per week","2013","college entrance qualification","indirect migration background","58","0.119632428282624","0.0859680606812716","0.153296795883977"
"Min 1x per week","2013","Other degree","no migration background","15","","",""
"Min 1x per week","2013","Other degree","direct migration background","205","0.0998345364534558","0.0840008260676232","0.115668246839289"
"Min 1x per week","2013","Other degree","indirect migration background","3","","",""
"Min 1x per week","2013","no degree/no degree yet","no migration background","54","0.106029568078306","0.0798184691417332","0.132240667014879"
"Min 1x per week","2013","no degree/no degree yet","direct migration background","21","","",""
"Min 1x per week","2013","no degree/no degree yet","indirect migration background","12","","",""
"Min 1x per month","2013","lower secondary degree","no migration background","138","0.0212104468517366","0.0176668312395182","0.0247540624639549"
"Min 1x per month","2013","lower secondary degree","direct migration background","14","","",""
"Min 1x per month","2013","lower secondary degree","indirect migration background","10","","",""
"Min 1x per month","2013","secondary school degree","no migration background","213","0.027610340024189","0.0238482450959798","0.0313724349523981"
"Min 1x per month","2013","secondary school degree","direct migration background","14","","",""
"Min 1x per month","2013","secondary school degree","indirect migration background","10","","",""
"Min 1x per month","2013","college entrance qualification","no migration background","211","0.0339653970338597","0.0296290086679034","0.0383017853998161"
"Min 1x per month","2013","college entrance qualification","direct migration background","18","","",""
"Min 1x per month","2013","college entrance qualification","indirect migration background","13","","",""
"Min 1x per month","2013","Other degree","no migration background","4","","",""
"Min 1x per month","2013","Other degree","direct migration background","41","0.031923396667927","0.0226382123310769","0.0412085810047771"
"Min 1x per month","2013","Other degree","indirect migration background","1","","",""
"Min 1x per month","2013","no degree/no degree yet","no migration background","10","","",""
"Min 1x per month","2013","no degree/no degree yet","direct migration background","5","","",""
"Min 1x per month","2013","no degree/no degree yet","indirect migration background","","","",""
"Rarely","2013","lower secondary degree","no migration background","422","0.0656558214707817","0.0595644217870354","0.071747221154528"
"Rarely","2013","lower secondary degree","direct migration background","47","0.0837085054541861","0.0577422697999015","0.109674741108471"
"Rarely","2013","lower secondary degree","indirect migration background","25","","",""
"Rarely","2013","secondary school degree","no migration background","591","0.0815442015667036","0.0752607339849099","0.0878276691484973"
"Rarely","2013","secondary school degree","direct migration background","24","","",""
"Rarely","2013","secondary school degree","indirect migration background","18","","",""
"Rarely","2013","college entrance qualification","no migration background","618","0.0832197193003481","0.0766073174872734","0.0898321211134228"
"Rarely","2013","college entrance qualification","direct migration background","40","0.14845696954428","0.109500759682447","0.187413179406114"
"Rarely","2013","college entrance qualification","indirect migration background","34","0.0840312207021582","0.0552522899146688","0.112810151489648"
"Rarely","2013","Other degree","no migration background","12","","",""
"Rarely","2013","Other degree","direct migration background","100","0.0629935697454393","0.0501613875736086","0.0758257519172701"
"Rarely","2013","Other degree","indirect migration background","3","","",""
"Rarely","2013","no degree/no degree yet","no migration background","19","","",""
"Rarely","2013","no degree/no degree yet","direct migration background","5","","",""
"Rarely","2013","no degree/no degree yet","indirect migration background","3","","",""
"Never","2013","lower secondary degree","no migration background","4142","0.695530990892271","0.684213326162677","0.706848655621866"
"Never","2013","lower secondary degree","direct migration background","209","0.563016026620348","0.516510934828024","0.609521118412672"
"Never","2013","lower secondary degree","indirect migration background","78","0.317668879005368","0.263426366421648","0.371911391589087"
"Never","2013","secondary school degree","no migration background","3626","0.510040639351636","0.498562906117945","0.521518372585327"
"Never","2013","secondary school degree","direct migration background","107","0.519736764888816","0.460143442377795","0.579330087399837"
"Never","2013","secondary school degree","indirect migration background","82","0.296309306260836","0.244978882592041","0.347639729929631"
"Never","2013","college entrance qualification","no migration background","3281","0.472085901310202","0.460134863321059","0.484036939299344"
"Never","2013","college entrance qualification","direct migration background","117","0.334886887930005","0.283177436739884","0.386596339120126"
