"pli0165","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","no migration background","Male","2425","0.245167097840213","0.236666898415131","0.253667297265294","1"
"Daily","2013","no migration background","Female","3174","0.232445445351532","0.224819740017664","0.2400711506854","1"
"Daily","2013","direct migration background","Male","289","0.198720395179834","0.175737376145827","0.221703414213842","1"
"Daily","2013","direct migration background","Female","422","0.235093981422485","0.21362694618521","0.256561016659759","1"
"Daily","2013","indirect migration background","Male","261","0.477911939887502","0.435505647100147","0.520318232674858","1"
"Daily","2013","indirect migration background","Female","321","0.527172991858522","0.48890929467448","0.565436689042564","1"
"Min 1x per month","2013","no migration background","Female","289","0.023335951054186","0.0206104257022303","0.0260614764061417","3"
"Min 1x per month","2013","direct migration background","Male","36","0.0333558283609544","0.0230136268634603","0.0436980298584484","3"
"Min 1x per month","2013","indirect migration background","Female","18","","","","3"
"Min 1x per month","2013","indirect migration background","Male","20","","","","3"
"Min 1x per month","2013","no migration background","Male","303","0.0312808109844091","0.0278411902041231","0.034720431764695","3"
"Min 1x per month","2013","direct migration background","Female","58","0.0389071872058109","0.0291180400596536","0.0486963343519683","3"
"Min 1x per week","2013","no migration background","Female","1311","0.0997014399565129","0.0942925410336776","0.105110338879348","2"
"Min 1x per week","2013","no migration background","Male","1042","0.110771690043288","0.104570234396106","0.116973145690469","2"
"Min 1x per week","2013","direct migration background","Male","167","0.123322967917367","0.104384902618562","0.142261033216173","2"
"Min 1x per week","2013","direct migration background","Female","216","0.112299834548329","0.0963164045542811","0.128283264542376","2"
"Min 1x per week","2013","indirect migration background","Male","84","0.164741277402043","0.1332495697617","0.196232985042386","2"
"Min 1x per week","2013","indirect migration background","Female","106","0.149525814880429","0.122195296209056","0.176856333551802","2"
"Never","2013","no migration background","Female","6190","0.582126531649561","0.573222309874106","0.591030753425016","5"
"Never","2013","direct migration background","Female","695","0.547120374901169","0.521921560376174","0.572319189426164","5"
"Never","2013","indirect migration background","Male","122","0.239666330106366","0.203426169740496","0.275906490472235","5"
"Never","2013","indirect migration background","Female","168","0.248721926230632","0.215592294361632","0.281851558099632","5"
"Never","2013","direct migration background","Male","556","0.564749889880749","0.536194287002345","0.593305492759152","5"
"Never","2013","no migration background","Male","5204","0.525186253186418","0.515319121422213","0.535053384950622","5"
"Rarely","2013","no migration background","Female","822","0.0623906319882083","0.0580241111806933","0.0667571527957233","4"
"Rarely","2013","no migration background","Male","865","0.0875941479456729","0.0820081060574799","0.0931801898338659","4"
"Rarely","2013","direct migration background","Male","110","0.0798509186610954","0.0642387631633405","0.0954630741588503","4"
"Rarely","2013","direct migration background","Female","108","0.066578621922207","0.0539587906889176","0.0791984531554965","4"
"Rarely","2013","indirect migration background","Male","46","0.0637579868486466","0.0430162152646812","0.0844997584326119","4"
"Rarely","2013","indirect migration background","Female","41","0.0503285845485133","0.0335732440406239","0.0670839250564027","4"
"Daily","2014","direct migration background","Male","","","","","1"
"Daily","2014","no migration background","Male","","","","","1"
"Daily","2014","no migration background","Female","","","","","1"
"Daily","2014","direct migration background","Female","","","","","1"
"Daily","2014","indirect migration background","Male","","","","","1"
"Daily","2014","indirect migration background","Female","","","","","1"
"Min 1x per month","2014","no migration background","Female","","","","","3"
"Min 1x per month","2014","direct migration background","Male","","","","","3"
"Min 1x per month","2014","no migration background","Male","","","","","3"
"Min 1x per month","2014","direct migration background","Female","","","","","3"
"Min 1x per month","2014","indirect migration background","Male","","","","","3"
"Min 1x per month","2014","indirect migration background","Female","","","","","3"
"Min 1x per week","2014","no migration background","Female","","","","","2"
"Min 1x per week","2014","direct migration background","Male","","","","","2"
"Min 1x per week","2014","direct migration background","Female","","","","","2"
"Min 1x per week","2014","no migration background","Male","","","","","2"
"Min 1x per week","2014","indirect migration background","Male","","","","","2"
"Min 1x per week","2014","indirect migration background","Female","","","","","2"
"Never","2014","no migration background","Female","","","","","5"
"Never","2014","indirect migration background","Female","","","","","5"
"Never","2014","direct migration background","Male","","","","","5"
"Never","2014","no migration background","Male","","","","","5"
"Never","2014","indirect migration background","Male","","","","","5"
"Never","2014","direct migration background","Female","","","","","5"
"Rarely","2014","no migration background","Female","","","","","4"
"Rarely","2014","indirect migration background","Male","","","","","4"
"Rarely","2014","indirect migration background","Female","","","","","4"
"Rarely","2014","no migration background","Male","","","","","4"
"Rarely","2014","direct migration background","Male","","","","","4"
"Rarely","2014","direct migration background","Female","","","","","4"
"Daily","2015","no migration background","Male","","","","","1"
"Daily","2015","no migration background","Female","","","","","1"
"Daily","2015","direct migration background","Male","","","","","1"
"Daily","2015","direct migration background","Female","","","","","1"
"Daily","2015","indirect migration background","Male","","","","","1"
"Daily","2015","indirect migration background","Female","","","","","1"
"Min 1x per month","2015","direct migration background","Male","","","","","3"
"Min 1x per month","2015","direct migration background","Female","","","","","3"
"Min 1x per month","2015","no migration background","Male","","","","","3"
"Min 1x per month","2015","no migration background","Female","","","","","3"
"Min 1x per month","2015","indirect migration background","Male","","","","","3"
"Min 1x per month","2015","indirect migration background","Female","","","","","3"
"Min 1x per week","2015","direct migration background","Female","","","","","2"
"Min 1x per week","2015","no migration background","Male","","","","","2"
"Min 1x per week","2015","direct migration background","Male","","","","","2"
"Min 1x per week","2015","no migration background","Female","","","","","2"
"Min 1x per week","2015","indirect migration background","Male","","","","","2"
"Min 1x per week","2015","indirect migration background","Female","","","","","2"
"Never","2015","no migration background","Female","","","","","5"
"Never","2015","direct migration background","Male","","","","","5"
"Never","2015","indirect migration background","Male","","","","","5"
"Never","2015","indirect migration background","Female","","","","","5"
"Never","2015","no migration background","Male","","","","","5"
"Never","2015","direct migration background","Female","","","","","5"
"Rarely","2015","no migration background","Female","","","","","4"
"Rarely","2015","direct migration background","Male","","","","","4"
"Rarely","2015","no migration background","Male","","","","","4"
"Rarely","2015","indirect migration background","Male","","","","","4"
"Rarely","2015","direct migration background","Female","","","","","4"
"Rarely","2015","indirect migration background","Female","","","","","4"
"Daily","2016","no migration background","Male","","","","","1"
"Daily","2016","no migration background","Female","","","","","1"
"Daily","2016","direct migration background","Male","","","","","1"
"Daily","2016","direct migration background","Female","","","","","1"
"Daily","2016","indirect migration background","Male","","","","","1"
"Daily","2016","indirect migration background","Female","","","","","1"
"Min 1x per month","2016","no migration background","Male","","","","","3"
"Min 1x per month","2016","no migration background","Female","","","","","3"
"Min 1x per month","2016","direct migration background","Male","","","","","3"
"Min 1x per month","2016","direct migration background","Female","","","","","3"
"Min 1x per month","2016","indirect migration background","Male","","","","","3"
"Min 1x per month","2016","indirect migration background","Female","","","","","3"
"Min 1x per week","2016","no migration background","Male","","","","","2"
"Min 1x per week","2016","no migration background","Female","","","","","2"
"Min 1x per week","2016","direct migration background","Male","","","","","2"
"Min 1x per week","2016","direct migration background","Female","","","","","2"
"Min 1x per week","2016","indirect migration background","Male","","","","","2"
"Min 1x per week","2016","indirect migration background","Female","","","","","2"
"Never","2016","no migration background","Male","","","","","5"
"Never","2016","no migration background","Female","","","","","5"
"Never","2016","direct migration background","Male","","","","","5"
"Never","2016","direct migration background","Female","","","","","5"
"Never","2016","indirect migration background","Male","","","","","5"
"Never","2016","indirect migration background","Female","","","","","5"
"Rarely","2016","no migration background","Male","","","","","4"
"Rarely","2016","no migration background","Female","","","","","4"
"Rarely","2016","direct migration background","Male","","","","","4"
"Rarely","2016","direct migration background","Female","","","","","4"
"Rarely","2016","indirect migration background","Male","","","","","4"
"Rarely","2016","indirect migration background","Female","","","","","4"
"Daily","2017","direct migration background","Male","2150","0.632750240013549","0.616406863429269","0.649093616597829","1"
"Daily","2017","indirect migration background","Female","","","","","1"
"Daily","2017","no migration background","Male","","","","","1"
"Daily","2017","no migration background","Female","","","","","1"
"Daily","2017","direct migration background","Female","1135","0.485031556531687","0.464133381198073","0.505929731865301","1"
"Daily","2017","indirect migration background","Male","","","","","1"
"Min 1x per month","2017","no migration background","Male","","","","","3"
"Min 1x per month","2017","no migration background","Female","","","","","3"
"Min 1x per month","2017","indirect migration background","Male","","","","","3"
"Min 1x per month","2017","indirect migration background","Female","","","","","3"
"Min 1x per month","2017","direct migration background","Male","103","0.0408200853168139","0.0341114858970516","0.0475286847365761","3"
"Min 1x per month","2017","direct migration background","Female","63","0.0342846383449363","0.0266759916408136","0.0418932850490589","3"
"Min 1x per week","2017","no migration background","Male","","","","","2"
"Min 1x per week","2017","direct migration background","Male","567","0.154438116297202","0.142186459713388","0.166689772881015","2"
"Min 1x per week","2017","no migration background","Female","","","","","2"
"Min 1x per week","2017","indirect migration background","Female","","","","","2"
"Min 1x per week","2017","direct migration background","Female","353","0.161589319890757","0.14619828615687","0.176980353624643","2"
"Min 1x per week","2017","indirect migration background","Male","","","","","2"
"Never","2017","no migration background","Male","","","","","5"
"Never","2017","no migration background","Female","","","","","5"
"Never","2017","direct migration background","Male","348","0.122149677707481","0.111047676572065","0.133251678842896","5"
"Never","2017","direct migration background","Female","508","0.251163270030384","0.233028807186289","0.269297732874478","5"
"Never","2017","indirect migration background","Male","","","","","5"
"Never","2017","indirect migration background","Female","","","","","5"
"Rarely","2017","no migration background","Male","","","","","4"
"Rarely","2017","no migration background","Female","","","","","4"
"Rarely","2017","indirect migration background","Male","","","","","4"
"Rarely","2017","direct migration background","Female","138","0.0679312152022368","0.0574093741666288","0.0784530562378448","4"
"Rarely","2017","indirect migration background","Female","","","","","4"
"Rarely","2017","direct migration background","Male","174","0.049841880664955","0.0424638573941936","0.0572199039357163","4"
"Daily","2018","direct migration background","Male","1667","0.690275659186841","0.671765377734108","0.708785940639574","1"
"Daily","2018","no migration background","Female","","","","","1"
"Daily","2018","indirect migration background","Female","","","","","1"
"Daily","2018","direct migration background","Female","842","0.55814917535061","0.532788565303579","0.583509785397642","1"
"Daily","2018","no migration background","Male","","","","","1"
"Daily","2018","indirect migration background","Male","","","","","1"
"Min 1x per month","2018","no migration background","Male","","","","","3"
"Min 1x per month","2018","no migration background","Female","","","","","3"
"Min 1x per month","2018","direct migration background","Male","71","0.0260954489080199","0.019713480386103","0.0324774174299369","3"
"Min 1x per month","2018","indirect migration background","Female","","","","","3"
"Min 1x per month","2018","direct migration background","Female","47","0.0314703908987908","0.0225547157251095","0.0403860660724721","3"
"Min 1x per month","2018","indirect migration background","Male","","","","","3"
"Min 1x per week","2018","direct migration background","Male","391","0.165597476760256","0.150716592601496","0.180478360919017","2"
"Min 1x per week","2018","direct migration background","Female","237","0.1748949803675","0.155495504127135","0.194294456607866","2"
"Min 1x per week","2018","indirect migration background","Female","","","","","2"
"Min 1x per week","2018","no migration background","Male","","","","","2"
"Min 1x per week","2018","no migration background","Female","","","","","2"
"Min 1x per week","2018","indirect migration background","Male","","","","","2"
"Never","2018","no migration background","Male","","","","","5"
"Never","2018","no migration background","Female","","","","","5"
"Never","2018","direct migration background","Male","161","0.0684741744476939","0.0583636210700517","0.078584727825336","5"
"Never","2018","indirect migration background","Male","","","","","5"
"Never","2018","indirect migration background","Female","","","","","5"
"Never","2018","direct migration background","Female","265","0.182570855284951","0.162842653485562","0.20229905708434","5"
"Rarely","2018","no migration background","Male","","","","","4"
"Rarely","2018","no migration background","Female","","","","","4"
"Rarely","2018","indirect migration background","Female","","","","","4"
"Rarely","2018","direct migration background","Male","107","0.0495572406971886","0.0408690245695906","0.0582454568247867","4"
"Rarely","2018","direct migration background","Female","82","0.0529145980981477","0.04148241846638","0.0643467777299154","4"
"Rarely","2018","indirect migration background","Male","","","","","4"
"Daily","2019","indirect migration background","Female","","","","","1"
"Daily","2019","direct migration background","Female","871","0.599738002317339","0.573906656525319","0.625569348109359","1"
"Daily","2019","no migration background","Male","","","","","1"
"Daily","2019","no migration background","Female","","","","","1"
"Daily","2019","direct migration background","Male","1602","0.736656091294394","0.718196684935267","0.75511549765352","1"
"Daily","2019","indirect migration background","Male","","","","","1"
"Min 1x per month","2019","direct migration background","Male","32","0.0118214053053189","0.00729163714851388","0.0163511734621238","3"
"Min 1x per month","2019","indirect migration background","Female","","","","","3"
"Min 1x per month","2019","no migration background","Female","","","","","3"
"Min 1x per month","2019","no migration background","Male","","","","","3"
"Min 1x per month","2019","direct migration background","Female","33","0.0290701565725809","0.0202126459867581","0.0379276671584036","3"
"Min 1x per month","2019","indirect migration background","Male","","","","","3"
"Min 1x per week","2019","no migration background","Male","","","","","2"
"Min 1x per week","2019","no migration background","Female","","","","","2"
"Min 1x per week","2019","direct migration background","Male","339","0.146118169586248","0.131314318859032","0.160922020313463","2"
"Min 1x per week","2019","direct migration background","Female","209","0.172617701386867","0.152693090593241","0.192542312180494","2"
"Min 1x per week","2019","indirect migration background","Female","","","","","2"
"Min 1x per week","2019","indirect migration background","Male","","","","","2"
"Never","2019","no migration background","Male","","","","","5"
"Never","2019","no migration background","Female","","","","","5"
"Never","2019","direct migration background","Male","122","0.0624504517897538","0.0523092691051801","0.0725916344743276","5"
"Never","2019","direct migration background","Female","176","0.121882624192316","0.104634524525633","0.139130723858999","5"
"Never","2019","indirect migration background","Male","","","","","5"
"Never","2019","indirect migration background","Female","","","","","5"
"Rarely","2019","no migration background","Male","","","","","4"
"Rarely","2019","no migration background","Female","","","","","4"
"Rarely","2019","direct migration background","Male","92","0.0429538820242857","0.034456378713031","0.0514513853355404","4"
"Rarely","2019","direct migration background","Female","93","0.0766915155308967","0.062662049470922","0.0907209815908714","4"
"Rarely","2019","indirect migration background","Female","","","","","4"
"Rarely","2019","indirect migration background","Male","","","","","4"
