"plh0222","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","1-pers.-HH","1","","","","1"
"1 Strongly disagree","2005","16-34 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2005","16-34 y.","Single parent ","","","","","1"
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE 16 ","3","","","","1"
"1 Strongly disagree","2005","16-34 y.","Couple + C. GT 16 ","4","","","","1"
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE and GT 16","3","","","","1"
"1 Strongly disagree","2005","35-65 y.","1-pers.-HH","9","","","","1"
"1 Strongly disagree","2005","35-65 y.","(Married) couple without C. ","22","","","","1"
"1 Strongly disagree","2005","35-65 y.","Single parent ","5","","","","1"
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE 16 ","9","","","","1"
"1 Strongly disagree","2005","35-65 y.","Couple + C. GT 16 ","11","","","","1"
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE and GT 16","4","","","","1"
"1 Strongly disagree","2005","66 and older","1-pers.-HH","12","","","","1"
"1 Strongly disagree","2005","66 and older","(Married) couple without C. ","18","","","","1"
"1 Strongly disagree","2005","66 and older","Single parent ","2","","","","1"
"1 Strongly disagree","2005","66 and older","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2005","66 and older","Couple + C. GT 16 ","5","","","","1"
"1 Strongly disagree","2005","66 and older","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2005","66 and older","Single parent ","1","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","2","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","9","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","2","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Single parent ","4","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","6","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","10","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","9","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","28","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Single parent ","1","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","8","","","","2"
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","1","","","","2"
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","11","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","9","","","","2"
"2 on scale 1-7 ","2005","66 and older","1-pers.-HH","20","","","","2"
"2 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","31","0.0164581169393298","0.0112843127598724","0.0216319211187872","2"
"3 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","15","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","9","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","28","","","","3"
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","2","","","","3"
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Single parent ","19","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","17","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","43","0.0322169331682429","0.0227626893239547","0.0416711770125311","3"
"3 on scale 1-7 ","2005","66 and older","Single parent ","3","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Single parent ","14","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","44","0.0167481092948828","0.0118268438250657","0.0216693747646999","3"
"3 on scale 1-7 ","2005","66 and older","1-pers.-HH","35","0.0333371501898194","0.0225456155588267","0.0441286848208122","3"
"3 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","73","0.0295214147543582","0.0226382994059599","0.0364045301027565","3"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","20","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","27","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","74","0.0204424891645058","0.0158902406292786","0.0249947376997329","3"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","42","0.02387938236745","0.0174032988751406","0.0303554658597593","3"
