"plh0222","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","2","","",""
"1 Strongly disagree","2005","in school","East Germany","","","",""
"1 Strongly disagree","2005","inadequately","West Germany","4","","",""
"1 Strongly disagree","2005","inadequately","East Germany","1","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","31","0.0159553295028602","0.0105152368464747","0.0213954221592458"
"1 Strongly disagree","2005","general elemantary","East Germany","6","","",""
"1 Strongly disagree","2005","middle vocational","West Germany","37","0.00636589639361814","0.00457747418060936","0.00815431860662691"
"1 Strongly disagree","2005","middle vocational","East Germany","15","","",""
"1 Strongly disagree","2005","vocational + Abi","West Germany","1","","",""
"1 Strongly disagree","2005","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","6","","",""
"1 Strongly disagree","2005","higher vocational","East Germany","5","","",""
"1 Strongly disagree","2005","higher education","West Germany","10","","",""
"1 Strongly disagree","2005","higher education","East Germany","","","",""
"2 on scale 1-7 ","2005","in school","West Germany","6","","",""
"2 on scale 1-7 ","2005","in school","East Germany","2","","",""
"2 on scale 1-7 ","2005","inadequately","West Germany","7","","",""
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","25","","",""
"2 on scale 1-7 ","2005","general elemantary","East Germany","7","","",""
"2 on scale 1-7 ","2005","middle vocational","West Germany","60","0.00962530035614118","0.00742979782729106","0.0118208028849913"
"2 on scale 1-7 ","2005","middle vocational","East Germany","17","","",""
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","4","","",""
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","2","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","6","","",""
"2 on scale 1-7 ","2005","higher vocational","East Germany","3","","",""
"2 on scale 1-7 ","2005","higher education","West Germany","15","","",""
"2 on scale 1-7 ","2005","higher education","East Germany","4","","",""
"3 on scale 1-7 ","2005","in school","West Germany","26","","",""
"3 on scale 1-7 ","2005","in school","East Germany","10","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","7","","",""
"3 on scale 1-7 ","2005","inadequately","East Germany","4","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","67","0.0401095549786883","0.0315907091769304","0.0486284007804462"
"3 on scale 1-7 ","2005","general elemantary","East Germany","8","","",""
"3 on scale 1-7 ","2005","middle vocational","West Germany","175","0.0223989926866085","0.0190714618257107","0.0257265235475063"
"3 on scale 1-7 ","2005","middle vocational","East Germany","54","0.0220585714093538","0.0164335334779659","0.0276836093407417"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","13","","",""
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","2","","",""
"3 on scale 1-7 ","2005","higher vocational","West Germany","21","","",""
"3 on scale 1-7 ","2005","higher vocational","East Germany","5","","",""
"3 on scale 1-7 ","2005","higher education","West Germany","56","0.0158151087254022","0.0112853219961041","0.0203448954547002"
"3 on scale 1-7 ","2005","higher education","East Germany","20","","",""
"4 on scale 1-7","2005","in school","West Germany","77","0.145186819901621","0.114307886548829","0.176065753254412"
"4 on scale 1-7","2005","in school","East Germany","31","0.21321311842271","0.147002912319647","0.279423324525773"
"4 on scale 1-7","2005","inadequately","West Germany","35","0.114955930503605","0.0721201752976512","0.157791685709559"
"4 on scale 1-7","2005","inadequately","East Germany","1","","",""
"4 on scale 1-7","2005","general elemantary","West Germany","283","0.138730272307794","0.123723019040254","0.153737525575333"
"4 on scale 1-7","2005","general elemantary","East Germany","54","0.163686665647167","0.124416560580908","0.202956770713426"
"4 on scale 1-7","2005","middle vocational","West Germany","599","0.082960101483451","0.0767577584687494","0.0891624444981526"
"4 on scale 1-7","2005","middle vocational","East Germany","230","0.100977722304656","0.089438451811695","0.112516992797618"
"4 on scale 1-7","2005","vocational + Abi","West Germany","71","0.0929024792139802","0.0746245561737258","0.111180402254235"
"4 on scale 1-7","2005","vocational + Abi","East Germany","15","","",""
"4 on scale 1-7","2005","higher vocational","West Germany","71","0.0608438218050686","0.0469370184706962","0.074750625139441"
"4 on scale 1-7","2005","higher vocational","East Germany","26","","",""
"4 on scale 1-7","2005","higher education","West Germany","203","0.0716800142097963","0.0623140777113793","0.0810459507082134"
"4 on scale 1-7","2005","higher education","East Germany","76","0.0618175213663911","0.0484725118164349","0.0751625309163474"
"5 on scale 1-7","2005","in school","West Germany","145","0.307158537218997","0.266723176741053","0.347593897696941"
"5 on scale 1-7","2005","in school","East Germany","40","0.280272565504538","0.207668030756751","0.352877100252325"
"5 on scale 1-7","2005","inadequately","West Germany","48","0.23162407510372","0.174969235699018","0.288278914508423"
"5 on scale 1-7","2005","inadequately","East Germany","2","","",""
"5 on scale 1-7","2005","general elemantary","West Germany","443","0.203049884639475","0.185585111703182","0.220514657575769"
"5 on scale 1-7","2005","general elemantary","East Germany","76","0.255633982988189","0.209334785455748","0.30193318052063"
"5 on scale 1-7","2005","middle vocational","West Germany","1455","0.193640566053191","0.184754909248919","0.202526222857464"
"5 on scale 1-7","2005","middle vocational","East Germany","509","0.200315450054684","0.184987046767249","0.215643853342119"
"5 on scale 1-7","2005","vocational + Abi","West Germany","197","0.205197509297929","0.17977011517184","0.230624903424017"
"5 on scale 1-7","2005","vocational + Abi","East Germany","30","0.161258195275332","0.104625709293749","0.217890681256915"
"5 on scale 1-7","2005","higher vocational","West Germany","207","0.202049352035755","0.178689671069358","0.225409033002152"
"5 on scale 1-7","2005","higher vocational","East Germany","77","0.146334256233787","0.112572582199424","0.180095930268151"
"5 on scale 1-7","2005","higher education","West Germany","572","0.21005667269449","0.195266626660099","0.22484671872888"
"5 on scale 1-7","2005","higher education","East Germany","268","0.203411058641676","0.181104947964734","0.225717169318618"
"6 on scale 1-7","2005","in school","West Germany","162","0.286171614573401","0.246555372878368","0.325787856268434"
"6 on scale 1-7","2005","in school","East Germany","45","0.250906865738098","0.180823717194521","0.320990014281675"
"6 on scale 1-7","2005","inadequately","West Germany","62","0.317176042264408","0.254678512453648","0.379673572075167"
"6 on scale 1-7","2005","inadequately","East Germany","4","","",""
"6 on scale 1-7","2005","general elemantary","West Germany","688","0.330230721507528","0.309812526399639","0.350648916615416"
"6 on scale 1-7","2005","general elemantary","East Germany","124","0.30222766600911","0.253486615728482","0.350968716289738"
"6 on scale 1-7","2005","middle vocational","West Germany","2921","0.370940555423438","0.360078174456733","0.381802936390143"
"6 on scale 1-7","2005","middle vocational","East Germany","1062","0.371444301679833","0.352938876158331","0.389949727201334"
"6 on scale 1-7","2005","vocational + Abi","West Germany","396","0.408641320798506","0.377689740357321","0.439592901239691"
"6 on scale 1-7","2005","vocational + Abi","East Germany","71","0.397927589835947","0.322554386575989","0.473300793095905"
"6 on scale 1-7","2005","higher vocational","West Germany","472","0.397731470294621","0.3692580116701","0.426204928919143"
"6 on scale 1-7","2005","higher vocational","East Germany","178","0.438604064180425","0.391204101357973","0.486004027002877"
"6 on scale 1-7","2005","higher education","West Germany","1200","0.396405557337214","0.378645441226079","0.414165673448348"
"6 on scale 1-7","2005","higher education","East Germany","575","0.444296398705443","0.416761883247597","0.471830914163289"
"7 Strongly agree","2005","in school","West Germany","82","0.182539633037576","0.148680562796095","0.216398703279058"
"7 Strongly agree","2005","in school","East Germany","19","","",""
"7 Strongly agree","2005","inadequately","West Germany","50","0.261152682898117","0.202162073105635","0.320143292690599"
"7 Strongly agree","2005","inadequately","East Germany","6","","",""
"7 Strongly agree","2005","general elemantary","West Germany","501","0.25917506841629","0.240151131072721","0.27819900575986"
"7 Strongly agree","2005","general elemantary","East Germany","66","0.211176318708908","0.167856814349526","0.254495823068291"
"7 Strongly agree","2005","middle vocational","West Germany","2350","0.314068587603552","0.303631492891466","0.324505682315638"
"7 Strongly agree","2005","middle vocational","East Germany","732","0.293602723967694","0.276161181489485","0.311044266445903"
"7 Strongly agree","2005","vocational + Abi","West Germany","287","0.278226989643725","0.250011593638393","0.306442385649057"
"7 Strongly agree","2005","vocational + Abi","East Germany","42","0.229869843038143","0.165078997393306","0.294660688682981"
"7 Strongly agree","2005","higher vocational","West Germany","352","0.30933458939982","0.282444127883449","0.336225050916191"
"7 Strongly agree","2005","higher vocational","East Germany","127","0.309432767142361","0.265276416097921","0.353589118186801"
"7 Strongly agree","2005","higher education","West Germany","858","0.294567374179025","0.278016405766705","0.311118342591344"
"7 Strongly agree","2005","higher education","East Germany","308","0.272721905244529","0.248042783477193","0.297401027011864"
"1 Strongly disagree","2006","in school","West Germany","","","",""
"1 Strongly disagree","2006","in school","East Germany","","","",""
"1 Strongly disagree","2006","inadequately","West Germany","","","",""
"1 Strongly disagree","2006","inadequately","East Germany","","","",""
"1 Strongly disagree","2006","general elemantary","West Germany","","","",""
"1 Strongly disagree","2006","general elemantary","East Germany","","","",""
"1 Strongly disagree","2006","middle vocational","West Germany","","","",""
"1 Strongly disagree","2006","middle vocational","East Germany","","","",""
"1 Strongly disagree","2006","vocational + Abi","West Germany","","","",""
"1 Strongly disagree","2006","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2006","higher vocational","West Germany","","","",""
"1 Strongly disagree","2006","higher vocational","East Germany","","","",""
"1 Strongly disagree","2006","higher education","West Germany","","","",""
"1 Strongly disagree","2006","higher education","East Germany","","","",""
"2 on scale 1-7 ","2006","in school","West Germany","","","",""
