"plh0222","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","92","0.00655499527905125","0.00528838981158649","0.00782160074651601"
"1 Strongly disagree","2005","East Germany","27","","",""
"2 on scale 1-7 ","2005","West Germany","126","0.0106589651026623","0.00904715533577907","0.0122707748695456"
"2 on scale 1-7 ","2005","East Germany","35","0.00629538158974231","0.00411004942080146","0.00848071375868316"
"3 on scale 1-7 ","2005","West Germany","378","0.0243324905962568","0.0219140943777182","0.0267508868147955"
"3 on scale 1-7 ","2005","East Germany","109","0.0235976044246845","0.0194036263932561","0.027791582456113"
"4 on scale 1-7","2005","West Germany","1371","0.0916238000967179","0.0870956556207047","0.0961519445727311"
"4 on scale 1-7","2005","East Germany","445","0.10005506369757","0.0917640949130648","0.108346032482075"
"5 on scale 1-7","2005","West Germany","3118","0.203352516453762","0.197035076518581","0.209669956388944"
"5 on scale 1-7","2005","East Germany","1020","0.201197448613475","0.19012079101439","0.21227410621256"
"6 on scale 1-7","2005","West Germany","5975","0.368721335950644","0.361148772141364","0.376293899759923"
"6 on scale 1-7","2005","East Germany","2082","0.382776400347779","0.369346536391538","0.396206264304021"
"7 Strongly agree","2005","West Germany","4533","0.294755896520906","0.28759966744248","0.301912125599331"
"7 Strongly agree","2005","East Germany","1314","0.278996557134602","0.266604429835931","0.291388684433274"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
