"plh0222","year","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","99","0.00717288551029502","0.00592112233073825","0.0084246486898518","1"
"1 Strongly disagree","2005","direct migration background","15","","","","1"
"1 Strongly disagree","2005","indirect migration background","5","","","","1"
"2 on scale 1-7 ","2005","no migration background","126","0.00932310005241031","0.00789754301216802","0.0107486570926526","2"
"2 on scale 1-7 ","2005","indirect migration background","6","","","","2"
"2 on scale 1-7 ","2005","direct migration background","29","","","","2"
"3 on scale 1-7 ","2005","no migration background","396","0.0234070863208941","0.0211643982591749","0.0256497743826132","3"
"3 on scale 1-7 ","2005","direct migration background","65","0.0279058918829835","0.0212268559358383","0.0345849278301287","3"
"3 on scale 1-7 ","2005","indirect migration background","26","","","","3"
"4 on scale 1-7","2005","no migration background","1458","0.0893154012210896","0.0850849608177486","0.0935458416244306","4"
"4 on scale 1-7","2005","indirect migration background","110","0.14148243377228","0.117772251171139","0.165192616373421","4"
"4 on scale 1-7","2005","direct migration background","248","0.1037618053129","0.0913954376157205","0.11612817301008","4"
"5 on scale 1-7","2005","no migration background","3479","0.199955765236017","0.194022928821405","0.20588860165063","5"
"5 on scale 1-7","2005","direct migration background","491","0.218356624533503","0.201603370122515","0.23510987894449","5"
"5 on scale 1-7","2005","indirect migration background","168","0.215881331438749","0.187891035793995","0.243871627083504","5"
"6 on scale 1-7","2005","indirect migration background","289","0.333915626407768","0.301831365515854","0.365999887299681","6"
"6 on scale 1-7","2005","direct migration background","777","0.322340506077973","0.303387640733075","0.341293371422871","6"
"6 on scale 1-7","2005","no migration background","6991","0.380692176738503","0.373489753014259","0.387894600462746","6"
"7 Strongly agree","2005","indirect migration background","226","0.26834195296808","0.238197499822793","0.298486406113367","7"
"7 Strongly agree","2005","no migration background","4910","0.290133584920791","0.283401869852817","0.296865299988764","7"
"7 Strongly agree","2005","direct migration background","711","0.309655665570019","0.29090640824915","0.328404922890889","7"
"1 Strongly disagree","2006","no migration background","","","","","1"
"1 Strongly disagree","2006","direct migration background","","","","","1"
"1 Strongly disagree","2006","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","no migration background","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","no migration background","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","","","","","3"
"4 on scale 1-7","2006","indirect migration background","","","","","4"
"4 on scale 1-7","2006","no migration background","","","","","4"
"4 on scale 1-7","2006","direct migration background","","","","","4"
"5 on scale 1-7","2006","indirect migration background","","","","","5"
"5 on scale 1-7","2006","no migration background","","","","","5"
"5 on scale 1-7","2006","direct migration background","","","","","5"
"6 on scale 1-7","2006","indirect migration background","","","","","6"
"6 on scale 1-7","2006","direct migration background","","","","","6"
"6 on scale 1-7","2006","no migration background","","","","","6"
"7 Strongly agree","2006","indirect migration background","","","","","7"
"7 Strongly agree","2006","no migration background","","","","","7"
"7 Strongly agree","2006","direct migration background","","","","","7"
"1 Strongly disagree","2007","direct migration background","","","","","1"
"1 Strongly disagree","2007","indirect migration background","","","","","1"
"1 Strongly disagree","2007","no migration background","","","","","1"
"2 on scale 1-7 ","2007","no migration background","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","","","","","2"
"3 on scale 1-7 ","2007","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","no migration background","","","","","3"
"4 on scale 1-7","2007","indirect migration background","","","","","4"
"4 on scale 1-7","2007","no migration background","","","","","4"
"4 on scale 1-7","2007","direct migration background","","","","","4"
"5 on scale 1-7","2007","indirect migration background","","","","","5"
"5 on scale 1-7","2007","direct migration background","","","","","5"
"5 on scale 1-7","2007","no migration background","","","","","5"
"6 on scale 1-7","2007","indirect migration background","","","","","6"
"6 on scale 1-7","2007","direct migration background","","","","","6"
