"plh0222","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","1-pers.-HH","2","","",""
"1 Strongly disagree","2005","Full Time","(Married) couple without C. ","9","","",""
"1 Strongly disagree","2005","Full Time","Single parent ","2","","",""
"1 Strongly disagree","2005","Full Time","Couple + C. LE 16 ","6","","",""
"1 Strongly disagree","2005","Full Time","Couple + C. GT 16 ","9","","",""
"1 Strongly disagree","2005","Full Time","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","Part Time","1-pers.-HH","1","","",""
"1 Strongly disagree","2005","Part Time","(Married) couple without C. ","1","","",""
"1 Strongly disagree","2005","Part Time","Single parent ","1","","",""
"1 Strongly disagree","2005","Part Time","Couple + C. LE 16 ","1","","",""
"1 Strongly disagree","2005","Part Time","Couple + C. GT 16 ","2","","",""
"1 Strongly disagree","2005","Part Time","Couple + C. LE and GT 16","3","","",""
"1 Strongly disagree","2005","Not Working","1-pers.-HH","19","","",""
"1 Strongly disagree","2005","Not Working","(Married) couple without C. ","30","0.00915330260834683","0.0059786914053025","0.0123279138113912"
"1 Strongly disagree","2005","Not Working","Single parent ","4","","",""
"1 Strongly disagree","2005","Not Working","Couple + C. LE 16 ","5","","",""
"1 Strongly disagree","2005","Not Working","Couple + C. GT 16 ","9","","",""
"1 Strongly disagree","2005","Not Working","Couple + C. LE and GT 16","3","","",""
"2 on scale 1-7 ","2005","Full Time","1-pers.-HH","2","","",""
"2 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","14","","",""
"2 on scale 1-7 ","2005","Full Time","Single parent ","1","","",""
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","6","","",""
"2 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","10","","",""
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","7","","",""
"2 on scale 1-7 ","2005","Part Time","1-pers.-HH","4","","",""
"2 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","5","","",""
"2 on scale 1-7 ","2005","Part Time","Single parent ","","","",""
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","8","","",""
"2 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","2","","",""
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","5","","",""
"2 on scale 1-7 ","2005","Not Working","1-pers.-HH","25","","",""
"2 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","42","0.0159202705425284","0.0117478433594471","0.0200926977256098"
"2 on scale 1-7 ","2005","Not Working","Single parent ","5","","",""
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","10","","",""
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","6","","",""
"3 on scale 1-7 ","2005","Full Time","1-pers.-HH","14","","",""
"3 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","30","0.0124052622149301","0.00793772119770582","0.0168728032321544"
"3 on scale 1-7 ","2005","Full Time","Single parent ","6","","",""
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","31","0.0161326835275776","0.0103683164271361","0.0218970506280191"
"3 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","20","","",""
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","10","","",""
"3 on scale 1-7 ","2005","Part Time","1-pers.-HH","12","","",""
"3 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","24","","",""
"3 on scale 1-7 ","2005","Part Time","Single parent ","9","","",""
"3 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","16","","",""
"3 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","22","","",""
"3 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","15","","",""
"3 on scale 1-7 ","2005","Not Working","1-pers.-HH","51","0.0363947564356521","0.026630346677874","0.0461591661934302"
"3 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","102","0.029287514214135","0.0236668846253279","0.0349081438029421"
"3 on scale 1-7 ","2005","Not Working","Single parent ","21","","",""
"3 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","14","","",""
"3 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","45","0.0404961152387147","0.028707141483099","0.0522850889943304"
"3 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","23","","",""
"4 on scale 1-7","2005","Full Time","1-pers.-HH","63","0.0648187923292937","0.0500112089817809","0.0796263756768065"
