"plh0222","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","inadequately","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","11","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","8","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","2","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","higher education","1","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","12","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","21","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","4","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","3","","","","1"
"1 Strongly disagree","2005","Single parent ","in school","","","","","1"
"1 Strongly disagree","2005","Single parent ","inadequately","","","","","1"
"1 Strongly disagree","2005","Single parent ","general elemantary","2","","","","1"
"1 Strongly disagree","2005","Single parent ","middle vocational","4","","","","1"
"1 Strongly disagree","2005","Single parent ","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Single parent ","higher vocational","","","","","1"
"1 Strongly disagree","2005","Single parent ","higher education","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","3","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","6","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","3","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","2","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","3","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","10","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","3","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","2","","","","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher education","8","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","4","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","3","","","","2"
"2 on scale 1-7 ","2005","Single parent ","in school","2","","","","2"
"2 on scale 1-7 ","2005","Single parent ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","general elemantary","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","middle vocational","3","","","","2"
"2 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","higher vocational","1","","","","2"
"2 on scale 1-7 ","2005","Single parent ","higher education","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","5","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","3","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","4","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","10","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","4","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","in school","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","11","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","16","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","1","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","2","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","1","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","2","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","8","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","39","0.0110426901096357","0.00764454745309326","0.0144408327661782","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","1","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","3","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","3","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","2","","","","2"
"3 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","3","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","","","3"
"3 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","18","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","97","0.025563220019681","0.0204310621751169","0.0306953778642452","3"
"3 on scale 1-7 ","2005","Single parent ","inadequately","3","","","","3"
"3 on scale 1-7 ","2005","Single parent ","general elemantary","9","","","","3"
"3 on scale 1-7 ","2005","Single parent ","in school","8","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","2","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher education","28","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","in school","1","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","inadequately","2","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","general elemantary","17","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","middle vocational","43","0.0275906161224182","0.0193965555301316","0.0357846767147047","3"
"3 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","2","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","higher education","8","","","","3"
"3 on scale 1-7 ","2005","Single parent ","middle vocational","9","","","","3"
"3 on scale 1-7 ","2005","Single parent ","higher vocational","1","","","","3"
"3 on scale 1-7 ","2005","Single parent ","higher education","3","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","25","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","14","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","16","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","2","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","10","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","30","0.0219417252259219","0.0151190207177914","0.0287644297340525","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","2","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","17","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","9","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","8","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","16","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","4","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","5","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","higher vocational","4","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","6","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","1","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","7","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","3","","","","3"
"4 on scale 1-7","2005","(Married) couple without C. ","higher education","118","0.0805887299833698","0.0674785096042677","0.093698950362472","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","4","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher education","55","0.0585996503088447","0.0426592304743216","0.0745400701433678","4"
"4 on scale 1-7","2005","Single parent ","vocational + Abi","","","","","4"
"4 on scale 1-7","2005","Single parent ","middle vocational","49","0.0872270206978233","0.0631818888853995","0.111272152510247","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","in school","45","0.139528719237571","0.0967480263320494","0.182309412143092","4"
"4 on scale 1-7","2005","Single parent ","general elemantary","34","0.149125103905437","0.100716265854679","0.197533941956195","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","26","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","3","","","","4"
"4 on scale 1-7","2005","Single parent ","higher vocational","1","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","38","0.119466127091414","0.0787704195213976","0.16016183466143","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","60","0.0989960858097305","0.07617651380127","0.121815657818191","4"
"4 on scale 1-7","2005","Single parent ","in school","15","","","","4"
"4 on scale 1-7","2005","Single parent ","inadequately","2","","","","4"
"4 on scale 1-7","2005","Single parent ","higher education","5","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher education","35","0.0757301033466964","0.0550709987147286","0.0963892079786641","4"
"4 on scale 1-7","2005","1-pers.-HH","in school","1","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","inadequately","4","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","7","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","30","0.15429954497918","0.111211497586699","0.197387592371661","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","131","0.0711555626444488","0.0593864754797658","0.0829246498091318","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","20","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","in school","45","0.180068201944078","0.133978930936362","0.226157472951795","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","5","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","49","0.103658350321631","0.0746445847499026","0.132672115893359","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","124","0.0713690001199118","0.0593791099395393","0.0833588903002843","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","10","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","9","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","general elemantary","64","0.157725821332935","0.123073545061455","0.192378097604416","4"
"4 on scale 1-7","2005","1-pers.-HH","middle vocational","146","0.105161027728405","0.089815078494464","0.120506976962346","4"
"4 on scale 1-7","2005","1-pers.-HH","vocational + Abi","20","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","higher vocational","15","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","higher education","41","0.0679892366571288","0.0470841948722003","0.0888942784420573","4"
"4 on scale 1-7","2005","(Married) couple without C. ","in school","1","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","inadequately","9","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","general elemantary","97","0.141253031792396","0.115152368892654","0.167353694692137","4"
"4 on scale 1-7","2005","(Married) couple without C. ","middle vocational","302","0.0861756589600124","0.0770505289753022","0.0953007889447226","4"
"4 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","32","0.121343561487576","0.0871352226343419","0.155551900340809","4"
"4 on scale 1-7","2005","(Married) couple without C. ","higher vocational","35","0.0598387920719849","0.0401940355527352","0.0794835485912345","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","10","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","20","","","","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","73","0.172436336380604","0.135870857712311","0.209001815048897","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher education","180","0.241402148898878","0.212359151520255","0.2704451462775","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","in school","80","0.331609715408103","0.275139278537206","0.388080152279","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","12","","","","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","112","0.226095221017473","0.186279496916368","0.265910945118578","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","374","0.221266450644943","0.201933816257799","0.240599085032087","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","40","0.181851120260414","0.124373444269501","0.239328796251327","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","in school","68","0.322712708647071","0.264990582687185","0.380434834606956","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","7","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","53","0.25943854189876","0.204440025025527","0.314437058771993","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","111","0.157385548457137","0.12956075035177","0.185210346562505","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","6","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","15","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","59","0.262443759584625","0.211719599342373","0.313167919826878","5"
"5 on scale 1-7","2005","1-pers.-HH","in school","1","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","inadequately","6","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","general elemantary","97","0.225116172530625","0.185408423113315","0.264823921947936","5"
"5 on scale 1-7","2005","1-pers.-HH","middle vocational","303","0.210015013542492","0.18963856503816","0.230391462046825","5"
"5 on scale 1-7","2005","1-pers.-HH","vocational + Abi","36","0.215910243009407","0.155123164610764","0.276697321408051","5"
"5 on scale 1-7","2005","1-pers.-HH","higher vocational","43","0.272955053042928","0.210589287915519","0.335320818170336","5"
"5 on scale 1-7","2005","1-pers.-HH","higher education","112","0.207435177097037","0.173762387782213","0.24110796641186","5"
"5 on scale 1-7","2005","(Married) couple without C. ","in school","","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","inadequately","13","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","general elemantary","131","0.174145231018638","0.145724995438497","0.202565466598778","5"
"5 on scale 1-7","2005","(Married) couple without C. ","middle vocational","678","0.181223144003399","0.168697357603575","0.193748930403223","5"
"5 on scale 1-7","2005","(Married) couple without C. ","higher education","321","0.199114235283554","0.179880910424641","0.218347560142468","5"
"5 on scale 1-7","2005","Single parent ","in school","32","0.261480365342609","0.176615086348161","0.346345644337057","5"
"5 on scale 1-7","2005","Single parent ","inadequately","3","","","","5"
"5 on scale 1-7","2005","Single parent ","general elemantary","47","0.240113854736228","0.182064246036321","0.298163463436134","5"
"5 on scale 1-7","2005","Single parent ","middle vocational","93","0.175156731114826","0.142766101639687","0.207547360589964","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","38","0.172751387070574","0.121500221895775","0.224002552245373","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher education","136","0.181639510508011","0.151533354731335","0.211745666284687","5"
"5 on scale 1-7","2005","Single parent ","vocational + Abi","11","","","","5"
"5 on scale 1-7","2005","Single parent ","higher vocational","9","","","","5"
"5 on scale 1-7","2005","Single parent ","higher education","21","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","3","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","49","0.157432986998752","0.113990337653623","0.200875636343881","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","340","0.198444981218951","0.180186965051296","0.216702997386606","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","68","0.23590811001556","0.188948173872298","0.282868046158821","5"
"5 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","64","0.159072705678263","0.120755738473466","0.19738967288306","5"
"5 on scale 1-7","2005","(Married) couple without C. ","higher vocational","105","0.179631185524063","0.147836867281494","0.211425503766632","5"
"6 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","175","0.433355216332851","0.38538920292366","0.481321229742042","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","104","0.501745003097786","0.433958644087192","0.569531362108381","6"
