"plh0222","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","(0) in school","2","","",""
"1 Strongly disagree","2005","no migration background","(1a) inadequately completed","3","","",""
"1 Strongly disagree","2005","no migration background","(1b) general elementary school","25","","",""
"1 Strongly disagree","2005","no migration background","(1c) basic vocational qualification","38","0.00971099818725453","0.00696046022535713","0.0124615361491519"
"1 Strongly disagree","2005","no migration background","(2b) intermediate general qualification","2","","",""
"1 Strongly disagree","2005","no migration background","(2a) intermediate vocational","14","","",""
"1 Strongly disagree","2005","no migration background","(2c_gen) general maturity certificate","2","","",""
"1 Strongly disagree","2005","no migration background","(2c_voc) vocational maturity certificate","4","","",""
"1 Strongly disagree","2005","no migration background","(3a) lower tertiary education","1","","",""
"1 Strongly disagree","2005","no migration background","(3b) higher tertiary education","8","","",""
"1 Strongly disagree","2005","direct migration background","(0) in school","","","",""
"1 Strongly disagree","2005","direct migration background","(1a) inadequately completed","2","","",""
"1 Strongly disagree","2005","direct migration background","(1b) general elementary school","8","","",""
"1 Strongly disagree","2005","direct migration background","(1c) basic vocational qualification","3","","",""
"1 Strongly disagree","2005","direct migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_gen) general maturity certificate","1","","",""
"1 Strongly disagree","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","direct migration background","(3b) higher tertiary education","1","","",""
"1 Strongly disagree","2005","indirect migration background","(0) in school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","indirect migration background","(1b) general elementary school","2","","",""
"1 Strongly disagree","2005","indirect migration background","(1c) basic vocational qualification","1","","",""
"1 Strongly disagree","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","indirect migration background","(2a) intermediate vocational","1","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","indirect migration background","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","no migration background","(0) in school","4","","",""
"2 on scale 1-7 ","2005","no migration background","(1a) inadequately completed","2","","",""
"2 on scale 1-7 ","2005","no migration background","(1b) general elementary school","22","","",""
"2 on scale 1-7 ","2005","no migration background","(1c) basic vocational qualification","45","0.0102146674789932","0.00739441913743881","0.0130349158205476"
"2 on scale 1-7 ","2005","no migration background","(2b) intermediate general qualification","4","","",""
"2 on scale 1-7 ","2005","no migration background","(2a) intermediate vocational","27","","",""
"2 on scale 1-7 ","2005","no migration background","(2c_gen) general maturity certificate","2","","",""
"2 on scale 1-7 ","2005","no migration background","(2c_voc) vocational maturity certificate","3","","",""
"2 on scale 1-7 ","2005","no migration background","(3a) lower tertiary education","6","","",""
"2 on scale 1-7 ","2005","no migration background","(3b) higher tertiary education","8","","",""
"2 on scale 1-7 ","2005","direct migration background","(0) in school","1","","",""
"2 on scale 1-7 ","2005","direct migration background","(1a) inadequately completed","5","","",""
"2 on scale 1-7 ","2005","direct migration background","(1b) general elementary school","5","","",""
"2 on scale 1-7 ","2005","direct migration background","(1c) basic vocational qualification","10","","",""
"2 on scale 1-7 ","2005","direct migration background","(2b) intermediate general qualification","1","","",""
"2 on scale 1-7 ","2005","direct migration background","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","direct migration background","(2c_voc) vocational maturity certificate","3","","",""
"2 on scale 1-7 ","2005","direct migration background","(3a) lower tertiary education","3","","",""
"2 on scale 1-7 ","2005","direct migration background","(3b) higher tertiary education","1","","",""
"2 on scale 1-7 ","2005","indirect migration background","(0) in school","3","","",""
"2 on scale 1-7 ","2005","indirect migration background","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","indirect migration background","(1b) general elementary school","1","","",""
"2 on scale 1-7 ","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"2 on scale 1-7 ","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","indirect migration background","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"2 on scale 1-7 ","2005","indirect migration background","(3a) lower tertiary education","1","","",""
"2 on scale 1-7 ","2005","indirect migration background","(3b) higher tertiary education","","","",""
"3 on scale 1-7 ","2005","no migration background","(0) in school","29","","",""
"3 on scale 1-7 ","2005","no migration background","(1a) inadequately completed","4","","",""
"3 on scale 1-7 ","2005","no migration background","(1b) general elementary school","44","0.0403081378861986","0.0292352971102726","0.0513809786621246"
"3 on scale 1-7 ","2005","no migration background","(1c) basic vocational qualification","117","0.0243592769966282","0.0200353148282442","0.0286832391650121"
