"plh0222","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","no migration background","26","","","","1"
"1 Strongly disagree","2005","Full Time","direct migration background","3","","","","1"
"1 Strongly disagree","2005","Full Time","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Part Time","no migration background","8","","","","1"
"1 Strongly disagree","2005","Part Time","direct migration background","1","","","","1"
"1 Strongly disagree","2005","Part Time","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Not Working","no migration background","65","0.0118852881103687","0.00925663489047212","0.0145139413302654","1"
"1 Strongly disagree","2005","Not Working","direct migration background","11","","","","1"
"1 Strongly disagree","2005","Not Working","indirect migration background","5","","","","1"
"2 on scale 1-7 ","2005","Part Time","indirect migration background","1","","","","2"
"2 on scale 1-7 ","2005","Full Time","no migration background","29","","","","2"
"2 on scale 1-7 ","2005","Full Time","indirect migration background","1","","","","2"
"2 on scale 1-7 ","2005","Part Time","no migration background","19","","","","2"
"2 on scale 1-7 ","2005","Part Time","direct migration background","5","","","","2"
"2 on scale 1-7 ","2005","Not Working","no migration background","78","0.0158571801477862","0.0128270114963053","0.0188873487992671","2"
"2 on scale 1-7 ","2005","Not Working","direct migration background","13","","","","2"
"2 on scale 1-7 ","2005","Not Working","indirect migration background","4","","","","2"
"2 on scale 1-7 ","2005","Full Time","direct migration background","11","","","","2"
"3 on scale 1-7 ","2005","Full Time","direct migration background","18","","","","3"
"3 on scale 1-7 ","2005","Full Time","no migration background","90","0.0129077461725345","0.010242467891942","0.0155730244531271","3"
"3 on scale 1-7 ","2005","Part Time","indirect migration background","5","","","","3"
"3 on scale 1-7 ","2005","Not Working","no migration background","221","0.0341275144924897","0.0297236192068226","0.0385314097781569","3"
"3 on scale 1-7 ","2005","Full Time","indirect migration background","6","","","","3"
"3 on scale 1-7 ","2005","Part Time","no migration background","85","0.0218418646806164","0.0173346649863318","0.026349064374901","3"
"3 on scale 1-7 ","2005","Part Time","direct migration background","10","","","","3"
"3 on scale 1-7 ","2005","Not Working","direct migration background","37","0.0381714959403797","0.0261933460352369","0.0501496458455226","3"
"3 on scale 1-7 ","2005","Not Working","indirect migration background","15","","","","3"
"4 on scale 1-7","2005","Full Time","direct migration background","52","0.074764756927997","0.0565847261956103","0.0929447876603837","4"
"4 on scale 1-7","2005","Full Time","indirect migration background","38","0.120328208089545","0.0850652880578748","0.155591128121215","4"
"4 on scale 1-7","2005","Part Time","indirect migration background","21","","","","4"
"4 on scale 1-7","2005","Not Working","no migration background","750","0.119394234544162","0.111529081156077","0.127259387932247","4"
"4 on scale 1-7","2005","Not Working","direct migration background","144","0.140514287487317","0.118789731663485","0.162238843311149","4"
"4 on scale 1-7","2005","Part Time","direct migration background","52","0.0819114316270935","0.0589723267528997","0.104850536501287","4"
"4 on scale 1-7","2005","Part Time","no migration background","323","0.0831922987486346","0.0746762508155369","0.0917083466817323","4"
"4 on scale 1-7","2005","Not Working","indirect migration background","51","0.208097844504894","0.160885183983323","0.255310505026465","4"
"4 on scale 1-7","2005","Full Time","no migration background","385","0.0608593697177624","0.0552143232631131","0.0665044161724118","4"
"5 on scale 1-7","2005","Part Time","no migration background","812","0.204552277771073","0.192113852832343","0.216990702709804","5"
"5 on scale 1-7","2005","Part Time","indirect migration background","40","0.23861166344944","0.182160229561705","0.295063097337175","5"
"5 on scale 1-7","2005","Not Working","no migration background","1418","0.212826019770034","0.2028977748251","0.222754264714969","5"
"5 on scale 1-7","2005","Full Time","direct migration background","133","0.163900137630201","0.13831199270781","0.189488282552591","5"
"5 on scale 1-7","2005","Full Time","indirect migration background","49","0.150967375891932","0.112163245346461","0.189771506437403","5"
"5 on scale 1-7","2005","Part Time","direct migration background","127","0.255373533605275","0.21889653505606","0.291850532154491","5"
"5 on scale 1-7","2005","Not Working","direct migration background","231","0.24099440762441","0.214258354077224","0.267730461171596","5"
"5 on scale 1-7","2005","Not Working","indirect migration background","79","0.275375765044549","0.223423055012091","0.327328475077006","5"
"5 on scale 1-7","2005","Full Time","no migration background","1249","0.183601718752219","0.174459999238003","0.192743438266435","5"
"6 on scale 1-7","2005","Not Working","no migration background","2274","0.328891420057586","0.317495551684787","0.340287288430385","6"
"6 on scale 1-7","2005","Not Working","direct migration background","308","0.310280802694095","0.281361691422372","0.339199913965817","6"
"6 on scale 1-7","2005","Full Time","no migration background","3014","0.420713449641277","0.409056674990308","0.432370224292247","6"
"6 on scale 1-7","2005","Full Time","direct migration background","296","0.354851383568399","0.321778413090489","0.38792435404631","6"
"6 on scale 1-7","2005","Part Time","no migration background","1703","0.4067555667764","0.391608065528317","0.421903068024483","6"
"6 on scale 1-7","2005","Part Time","indirect migration background","75","0.333648957089469","0.271200392503879","0.396097521675059","6"
"6 on scale 1-7","2005","Not Working","indirect migration background","77","0.247090184855234","0.196926648226109","0.297253721484359","6"
"6 on scale 1-7","2005","Full Time","indirect migration background","137","0.403991452671635","0.350806773097669","0.457176132245602","6"
"6 on scale 1-7","2005","Part Time","direct migration background","173","0.297792423831858","0.259540657292139","0.336044190371577","6"
"7 Strongly agree","2005","Part Time","indirect migration background","77","0.2830461368667","0.223383800795597","0.342708472937803","7"
"7 Strongly agree","2005","Not Working","direct migration background","239","0.246944496498367","0.219986693120468","0.273902299876266","7"
"7 Strongly agree","2005","Not Working","indirect migration background","53","0.209248151888085","0.161939579331512","0.256556724444657","7"
"7 Strongly agree","2005","Not Working","no migration background","1723","0.277018342877573","0.266163022145963","0.287873663609182","7"
"7 Strongly agree","2005","Full Time","no migration background","2097","0.312159441456356","0.301218099090475","0.323100783822238","7"
"7 Strongly agree","2005","Full Time","direct migration background","291","0.366794268017156","0.333482034244929","0.400106501789382","7"
"7 Strongly agree","2005","Full Time","indirect migration background","96","0.304880889192249","0.254984521637901","0.354777256746597","7"
"7 Strongly agree","2005","Part Time","no migration background","1090","0.276190949303643","0.262403810925472","0.289978087681815","7"
"7 Strongly agree","2005","Part Time","direct migration background","181","0.336373064636208","0.296851463824436","0.37589466544798","7"
"1 Strongly disagree","2006","Full Time","no migration background","","","","","1"
"1 Strongly disagree","2006","Full Time","direct migration background","","","","","1"
"1 Strongly disagree","2006","Full Time","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Part Time","no migration background","","","","","1"
"1 Strongly disagree","2006","Part Time","direct migration background","","","","","1"
"1 Strongly disagree","2006","Part Time","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Not Working","no migration background","","","","","1"
"1 Strongly disagree","2006","Not Working","direct migration background","","","","","1"
"1 Strongly disagree","2006","Not Working","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","Full Time","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Part Time","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Not Working","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Full Time","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Full Time","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Part Time","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Part Time","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Not Working","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Not Working","indirect migration background","","","","","2"
"3 on scale 1-7 ","2006","Full Time","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Full Time","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","Not Working","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Part Time","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Full Time","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Part Time","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Not Working","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","Not Working","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Part Time","direct migration background","","","","","3"
"4 on scale 1-7","2006","Not Working","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Full Time","no migration background","","","","","4"
"4 on scale 1-7","2006","Full Time","direct migration background","","","","","4"
"4 on scale 1-7","2006","Full Time","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Part Time","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Not Working","no migration background","","","","","4"
"4 on scale 1-7","2006","Not Working","direct migration background","","","","","4"
"4 on scale 1-7","2006","Part Time","no migration background","","","","","4"
"4 on scale 1-7","2006","Part Time","direct migration background","","","","","4"
"5 on scale 1-7","2006","Part Time","indirect migration background","","","","","5"
"5 on scale 1-7","2006","Full Time","no migration background","","","","","5"
"5 on scale 1-7","2006","Full Time","direct migration background","","","","","5"
"5 on scale 1-7","2006","Part Time","direct migration background","","","","","5"
"5 on scale 1-7","2006","Not Working","no migration background","","","","","5"
"5 on scale 1-7","2006","Not Working","direct migration background","","","","","5"
"5 on scale 1-7","2006","Not Working","indirect migration background","","","","","5"
"5 on scale 1-7","2006","Full Time","indirect migration background","","","","","5"
"5 on scale 1-7","2006","Part Time","no migration background","","","","","5"
"6 on scale 1-7","2006","Full Time","direct migration background","","","","","6"
"6 on scale 1-7","2006","Part Time","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Not Working","no migration background","","","","","6"
"6 on scale 1-7","2006","Not Working","direct migration background","","","","","6"
"6 on scale 1-7","2006","Not Working","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Part Time","direct migration background","","","","","6"
"6 on scale 1-7","2006","Full Time","no migration background","","","","","6"
"6 on scale 1-7","2006","Full Time","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Part Time","no migration background","","","","","6"
"7 Strongly agree","2006","Not Working","indirect migration background","","","","","7"
"7 Strongly agree","2006","Part Time","indirect migration background","","","","","7"
"7 Strongly agree","2006","Not Working","no migration background","","","","","7"
"7 Strongly agree","2006","Not Working","direct migration background","","","","","7"
"7 Strongly agree","2006","Full Time","no migration background","","","","","7"
"7 Strongly agree","2006","Full Time","direct migration background","","","","","7"
"7 Strongly agree","2006","Full Time","indirect migration background","","","","","7"
"7 Strongly agree","2006","Part Time","no migration background","","","","","7"
"7 Strongly agree","2006","Part Time","direct migration background","","","","","7"
"1 Strongly disagree","2007","Part Time","direct migration background","","","","","1"
"1 Strongly disagree","2007","Part Time","indirect migration background","","","","","1"
"1 Strongly disagree","2007","Not Working","no migration background","","","","","1"
"1 Strongly disagree","2007","Not Working","direct migration background","","","","","1"
"1 Strongly disagree","2007","Not Working","indirect migration background","","","","","1"
"1 Strongly disagree","2007","Full Time","no migration background","","","","","1"
"1 Strongly disagree","2007","Full Time","direct migration background","","","","","1"
"1 Strongly disagree","2007","Full Time","indirect migration background","","","","","1"
"1 Strongly disagree","2007","Part Time","no migration background","","","","","1"
"2 on scale 1-7 ","2007","Part Time","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Full Time","no migration background","","","","","2"
"2 on scale 1-7 ","2007","Part Time","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","Not Working","no migration background","","","","","2"
"2 on scale 1-7 ","2007","Not Working","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","Not Working","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Full Time","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","Full Time","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Part Time","no migration background","","","","","2"
"3 on scale 1-7 ","2007","Not Working","no migration background","","","","","3"
"3 on scale 1-7 ","2007","Full Time","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","Part Time","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","Not Working","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","Not Working","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","Full Time","no migration background","","","","","3"
"3 on scale 1-7 ","2007","Part Time","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","Part Time","no migration background","","","","","3"
"3 on scale 1-7 ","2007","Full Time","indirect migration background","","","","","3"
"4 on scale 1-7","2007","Not Working","indirect migration background","","","","","4"
"4 on scale 1-7","2007","Part Time","indirect migration background","","","","","4"
"4 on scale 1-7","2007","Not Working","no migration background","","","","","4"
