"plh0222","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","in school","","","",""
"1 Strongly disagree","2005","no migration background","inadequately","","","",""
"1 Strongly disagree","2005","no migration background","general elemantary","","","",""
"1 Strongly disagree","2005","no migration background","middle vocational","48","0.00676804240258838","0.00507594337699853","0.00846014142817824"
"1 Strongly disagree","2005","no migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","no migration background","higher vocational","","","",""
"1 Strongly disagree","2005","no migration background","higher education","","","",""
"1 Strongly disagree","2005","direct migration background","in school","","","",""
"1 Strongly disagree","2005","direct migration background","inadequately","","","",""
"1 Strongly disagree","2005","direct migration background","general elemantary","","","",""
"1 Strongly disagree","2005","direct migration background","middle vocational","","","",""
"1 Strongly disagree","2005","direct migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","direct migration background","higher vocational","","","",""
"1 Strongly disagree","2005","direct migration background","higher education","","","",""
"1 Strongly disagree","2005","indirect migration background","in school","","","",""
"1 Strongly disagree","2005","indirect migration background","inadequately","","","",""
"1 Strongly disagree","2005","indirect migration background","general elemantary","","","",""
"1 Strongly disagree","2005","indirect migration background","middle vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","indirect migration background","higher vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","higher education","","","",""
"2 on scale 1-7 ","2005","no migration background","in school","","","",""
"2 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","no migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","no migration background","middle vocational","67","0.00887009313267699","0.00693501601274156","0.0108051702526124"
"2 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","no migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","no migration background","higher education","","","",""
"2 on scale 1-7 ","2005","direct migration background","in school","","","",""
"2 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"2 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"2 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"3 on scale 1-7 ","2005","no migration background","in school","","","",""
"3 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","no migration background","general elemantary","52","0.0353429926873742","0.0264038321590522","0.0442821532156962"
"3 on scale 1-7 ","2005","no migration background","middle vocational","197","0.0224582465104021","0.0194003380676759","0.0255161549531282"
"3 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","no migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","no migration background","higher education","70","0.0168264851620395","0.0127147634142081","0.0209382069098709"
"3 on scale 1-7 ","2005","direct migration background","in school","","","",""
"3 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"3 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"3 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"4 on scale 1-7","2005","no migration background","in school","87","0.17330351899781","0.140225397836071","0.20638164015955"
"4 on scale 1-7","2005","no migration background","inadequately","","","",""
"4 on scale 1-7","2005","no migration background","general elemantary","221","0.137213809934212","0.120556336917801","0.153871282950622"
"4 on scale 1-7","2005","no migration background","middle vocational","716","0.0852105456241763","0.0794485072618481","0.0909725839865045"
"4 on scale 1-7","2005","no migration background","vocational + Abi","62","0.0964156604430275","0.0768025441856688","0.116028776700386"
"4 on scale 1-7","2005","no migration background","higher vocational","89","0.0646077095672459","0.0516468699940176","0.0775685491404742"
"4 on scale 1-7","2005","no migration background","higher education","247","0.0677735507031597","0.0597382384510962","0.0758088629552232"
"4 on scale 1-7","2005","direct migration background","in school","","","",""
"4 on scale 1-7","2005","direct migration background","inadequately","","","",""
"4 on scale 1-7","2005","direct migration background","general elemantary","87","0.14928396998017","0.119715429524776","0.178852510435564"
"4 on scale 1-7","2005","direct migration background","middle vocational","73","0.0880394114888106","0.0691127891735867","0.106966033804034"
"4 on scale 1-7","2005","direct migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"4 on scale 1-7","2005","direct migration background","higher education","","","",""
"4 on scale 1-7","2005","indirect migration background","in school","","","",""
"4 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"4 on scale 1-7","2005","indirect migration background","general elemantary","","","",""
"4 on scale 1-7","2005","indirect migration background","middle vocational","40","0.120360918083268","0.0855693937940604","0.155152442372476"
"4 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"4 on scale 1-7","2005","indirect migration background","higher education","","","",""
"5 on scale 1-7","2005","no migration background","in school","141","0.284103307435025","0.244691402976054","0.323515211893997"
"5 on scale 1-7","2005","no migration background","inadequately","","","",""
"5 on scale 1-7","2005","no migration background","general elemantary","346","0.206080204184821","0.186497842500891","0.225662565868751"
"5 on scale 1-7","2005","no migration background","middle vocational","1727","0.190730145691631","0.182621930817468","0.198838360565795"
"5 on scale 1-7","2005","no migration background","vocational + Abi","179","0.209086533385592","0.182064627261245","0.23610843950994"
"5 on scale 1-7","2005","no migration background","higher vocational","258","0.192191798463279","0.171418013873116","0.212965583053442"
"5 on scale 1-7","2005","no migration background","higher education","762","0.209248332783774","0.196244751118522","0.222251914449026"
"5 on scale 1-7","2005","direct migration background","in school","","","",""
"5 on scale 1-7","2005","direct migration background","inadequately","32","0.221946872381779","0.153355786895705","0.290537957867854"
"5 on scale 1-7","2005","direct migration background","general elemantary","136","0.226008456940933","0.191305902487864","0.260711011394002"
"5 on scale 1-7","2005","direct migration background","middle vocational","176","0.217733919746727","0.190167090864008","0.245300748629446"
"5 on scale 1-7","2005","direct migration background","vocational + Abi","41","0.183588938837262","0.131839391306358","0.235338486368167"
"5 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"5 on scale 1-7","2005","direct migration background","higher education","63","0.202476119162752","0.15957270114448","0.245379537181024"
"5 on scale 1-7","2005","indirect migration background","in school","30","0.292381024060021","0.198408441335006","0.386353606785035"
"5 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"5 on scale 1-7","2005","indirect migration background","general elemantary","37","0.180124225173861","0.124293600507144","0.235954849840577"
"5 on scale 1-7","2005","indirect migration background","middle vocational","61","0.249384237954259","0.203122516142683","0.295645959765834"
"5 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"5 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"5 on scale 1-7","2005","indirect migration background","higher education","","","",""
"6 on scale 1-7","2005","no migration background","in school","161","0.283015502087416","0.243649247785463","0.322381756389369"
"6 on scale 1-7","2005","no migration background","inadequately","","","",""
"6 on scale 1-7","2005","no migration background","general elemantary","578","0.33696472290122","0.314081396753696","0.359848049048743"
"6 on scale 1-7","2005","no migration background","middle vocational","3554","0.376463582427903","0.366464473612309","0.386462691243497"
"6 on scale 1-7","2005","no migration background","vocational + Abi","378","0.433215377078609","0.400288584632886","0.466142169524333"
"6 on scale 1-7","2005","no migration background","higher vocational","589","0.410962701327852","0.385022898471222","0.436902504184483"
"6 on scale 1-7","2005","no migration background","higher education","1635","0.417393386088595","0.401629168706796","0.433157603470395"
"6 on scale 1-7","2005","direct migration background","in school","","","",""
"6 on scale 1-7","2005","direct migration background","inadequately","38","0.330328645681987","0.252696334778903","0.407960956585071"
"6 on scale 1-7","2005","direct migration background","general elemantary","173","0.294197768955863","0.256389030003189","0.332006507908538"
"6 on scale 1-7","2005","direct migration background","middle vocational","304","0.336745243212839","0.305177943269119","0.368312543156559"
