"plh0222","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","73","0.00717121032538823","0.00569560778447084","0.00864681286630562"
"1 Strongly disagree","2005","no migration background","East Germany","","","",""
"1 Strongly disagree","2005","direct migration background","West Germany","","","",""
"1 Strongly disagree","2005","direct migration background","East Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","94","0.0102148179487251","0.00845640135852277","0.0119732345389274"
"2 on scale 1-7 ","2005","no migration background","East Germany","32","0.0060826042025354","0.00390510188772092","0.00826010651734987"
"2 on scale 1-7 ","2005","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","292","0.0234248727878996","0.020779862088306","0.0260698834874933"
"3 on scale 1-7 ","2005","no migration background","East Germany","104","0.0233424504391273","0.0191139821395768","0.0275709187386779"
"3 on scale 1-7 ","2005","direct migration background","West Germany","61","0.0277709077222151","0.0209617335544284","0.0345800818900017"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","1029","0.086272349204642","0.0813623640501829","0.091182334359101"
"4 on scale 1-7","2005","no migration background","East Germany","429","0.100373828410905","0.0919583272192221","0.108789329602587"
"4 on scale 1-7","2005","direct migration background","West Germany","241","0.105361626431396","0.0926389028048809","0.118084350057911"
"4 on scale 1-7","2005","direct migration background","East Germany","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","101","0.139447361612755","0.115367255422997","0.163527467802513"
"4 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","2489","0.19998225046001","0.19298735029889","0.206977150621131"
"5 on scale 1-7","2005","no migration background","East Germany","990","0.199859518139502","0.188660389316762","0.211058646962242"
"5 on scale 1-7","2005","direct migration background","West Germany","468","0.217261432739557","0.200172506113895","0.234350359365219"
"5 on scale 1-7","2005","direct migration background","East Germany","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","161","0.215940605720126","0.187337962711807","0.244543248728445"
"5 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2005","no migration background","West Germany","4950","0.379527975985948","0.371041664217343","0.388014287754552"
"6 on scale 1-7","2005","no migration background","East Germany","2041","0.384922873153442","0.371296184017006","0.398549562289878"
"6 on scale 1-7","2005","direct migration background","West Germany","745","0.321868059511153","0.302507801532679","0.341228317489628"
"6 on scale 1-7","2005","direct migration background","East Germany","32","0.333567797250576","0.240692430978356","0.426443163522796"
"6 on scale 1-7","2005","indirect migration background","West Germany","280","0.335877168623173","0.303046556979297","0.368707780267048"
"6 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"7 Strongly agree","2005","no migration background","West Germany","3634","0.293406523287387","0.285443909020604","0.301369137554171"
"7 Strongly agree","2005","no migration background","East Germany","1276","0.278239752535365","0.265689722385549","0.290789782685181"
"7 Strongly agree","2005","direct migration background","West Germany","681","0.309676676150277","0.290516671022412","0.328836681278143"
"7 Strongly agree","2005","direct migration background","East Germany","30","0.309156366985096","0.218121141770833","0.400191592199358"
"7 Strongly agree","2005","indirect migration background","West Germany","218","0.268610036294028","0.237799437218691","0.299420635369364"
"7 Strongly agree","2005","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
