"plh0222","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","lower secondary degree","11","","",""
"1 Strongly disagree","2005","Full Time","secondary school degree","5","","",""
"1 Strongly disagree","2005","Full Time","college entrance qualification","10","","",""
"1 Strongly disagree","2005","Full Time","Other degree","2","","",""
"1 Strongly disagree","2005","Full Time","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Part Time","lower secondary degree","6","","",""
"1 Strongly disagree","2005","Part Time","secondary school degree","1","","",""
"1 Strongly disagree","2005","Part Time","college entrance qualification","2","","",""
"1 Strongly disagree","2005","Part Time","Other degree","","","",""
"1 Strongly disagree","2005","Part Time","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Not Working","lower secondary degree","53","0.0167209308228499","0.0126082069076231","0.0208336547380767"
"1 Strongly disagree","2005","Not Working","secondary school degree","11","","",""
"1 Strongly disagree","2005","Not Working","college entrance qualification","3","","",""
"1 Strongly disagree","2005","Not Working","Other degree","7","","",""
"1 Strongly disagree","2005","Not Working","no degree/no degree yet","6","","",""
"2 on scale 1-7 ","2005","Full Time","lower secondary degree","13","","",""
"2 on scale 1-7 ","2005","Full Time","secondary school degree","11","","",""
"2 on scale 1-7 ","2005","Full Time","college entrance qualification","8","","",""
"2 on scale 1-7 ","2005","Full Time","Other degree","7","","",""
"2 on scale 1-7 ","2005","Full Time","no degree/no degree yet","2","","",""
"2 on scale 1-7 ","2005","Part Time","lower secondary degree","7","","",""
"2 on scale 1-7 ","2005","Part Time","secondary school degree","9","","",""
"2 on scale 1-7 ","2005","Part Time","college entrance qualification","7","","",""
"2 on scale 1-7 ","2005","Part Time","Other degree","","","",""
"2 on scale 1-7 ","2005","Part Time","no degree/no degree yet","2","","",""
"2 on scale 1-7 ","2005","Not Working","lower secondary degree","57","0.0179776310691008","0.013715882183072","0.0222393799551297"
"2 on scale 1-7 ","2005","Not Working","secondary school degree","15","","",""
"2 on scale 1-7 ","2005","Not Working","college entrance qualification","5","","",""
"2 on scale 1-7 ","2005","Not Working","Other degree","4","","",""
"2 on scale 1-7 ","2005","Not Working","no degree/no degree yet","11","","",""
"3 on scale 1-7 ","2005","Full Time","lower secondary degree","32","0.016860508183536","0.0112249906731754","0.0224960256938965"
"3 on scale 1-7 ","2005","Full Time","secondary school degree","34","0.0110652216182546","0.00724343373132069","0.0148870095051885"
"3 on scale 1-7 ","2005","Full Time","college entrance qualification","34","0.0106837208972218","0.00671282666911563","0.0146546151253279"
"3 on scale 1-7 ","2005","Full Time","Other degree","10","","",""
"3 on scale 1-7 ","2005","Full Time","no degree/no degree yet","2","","",""
