"plh0222","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","in school","","","","","1"
"1 Strongly disagree","2005","Full Time","inadequately","1","","","","1"
"1 Strongly disagree","2005","Full Time","general elemantary","2","","","","1"
"1 Strongly disagree","2005","Full Time","middle vocational","15","","","","1"
"1 Strongly disagree","2005","Full Time","vocational + Abi","1","","","","1"
"1 Strongly disagree","2005","Full Time","higher vocational","4","","","","1"
"1 Strongly disagree","2005","Full Time","higher education","6","","","","1"
"1 Strongly disagree","2005","Part Time","in school","","","","","1"
"1 Strongly disagree","2005","Part Time","inadequately","","","","","1"
"1 Strongly disagree","2005","Part Time","general elemantary","1","","","","1"
"1 Strongly disagree","2005","Part Time","middle vocational","5","","","","1"
"1 Strongly disagree","2005","Part Time","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Part Time","higher vocational","2","","","","1"
"1 Strongly disagree","2005","Part Time","higher education","1","","","","1"
"1 Strongly disagree","2005","Not Working","in school","2","","","","1"
"1 Strongly disagree","2005","Not Working","inadequately","4","","","","1"
"1 Strongly disagree","2005","Not Working","general elemantary","34","0.0283970094479913","0.0194767660848663","0.0373172528111164","1"
"1 Strongly disagree","2005","Not Working","middle vocational","32","0.00900374675301292","0.00604144283224073","0.0119660506737851","1"
"1 Strongly disagree","2005","Not Working","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Not Working","higher vocational","5","","","","1"
"1 Strongly disagree","2005","Not Working","higher education","3","","","","1"
"2 on scale 1-7 ","2005","Not Working","inadequately","3","","","","2"
"2 on scale 1-7 ","2005","Not Working","in school","7","","","","2"
"2 on scale 1-7 ","2005","Not Working","middle vocational","48","0.0142177429924519","0.0105050605879176","0.0179304253969861","2"
"2 on scale 1-7 ","2005","Not Working","general elemantary","23","","","","2"
"2 on scale 1-7 ","2005","Not Working","higher education","5","","","","2"
"2 on scale 1-7 ","2005","Not Working","vocational + Abi","1","","","","2"
"2 on scale 1-7 ","2005","Not Working","higher vocational","5","","","","2"
"2 on scale 1-7 ","2005","Part Time","in school","1","","","","2"
"2 on scale 1-7 ","2005","Part Time","inadequately","1","","","","2"
