"plh0222","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","Male","19","","","","1"
"1 Strongly disagree","2005","Full Time","Female","10","","","","1"
"1 Strongly disagree","2005","Part Time","Male","","","","","1"
"1 Strongly disagree","2005","Part Time","Female","9","","","","1"
"1 Strongly disagree","2005","Not Working","Male","31","0.0106996369023898","0.00709933072295502","0.0142999430818246","1"
"1 Strongly disagree","2005","Not Working","Female","50","0.0117038950110438","0.00861565897519389","0.0147921310468936","1"
"2 on scale 1-7 ","2005","Part Time","Male","7","","","","2"
"2 on scale 1-7 ","2005","Full Time","Male","27","","","","2"
"2 on scale 1-7 ","2005","Not Working","Female","50","0.0141623356837657","0.0107694292669572","0.0175552421005743","2"
"2 on scale 1-7 ","2005","Full Time","Female","14","","","","2"
"2 on scale 1-7 ","2005","Part Time","Female","18","","","","2"
"2 on scale 1-7 ","2005","Not Working","Male","45","0.0187158973595825","0.0139735480418318","0.0234582466773332","2"
"3 on scale 1-7 ","2005","Not Working","Male","131","0.0396130405442335","0.03278756290692","0.0464385181815471","3"
"3 on scale 1-7 ","2005","Full Time","Male","74","0.0119633558263269","0.00904842735399351","0.0148782842986602","3"
"3 on scale 1-7 ","2005","Part Time","Female","66","0.0198913930304562","0.0152172996434063","0.0245654864175061","3"
"3 on scale 1-7 ","2005","Part Time","Male","34","0.0300816553409813","0.0210695346315215","0.0390937760504411","3"
"3 on scale 1-7 ","2005","Full Time","Female","40","0.0177041569986659","0.0127086141939646","0.0226996998033671","3"
"3 on scale 1-7 ","2005","Not Working","Female","142","0.0311021357311537","0.0261174722820865","0.0360867991802208","3"
"4 on scale 1-7","2005","Not Working","Female","579","0.128544152825634","0.118933550809361","0.138154754841907","4"
"4 on scale 1-7","2005","Full Time","Female","147","0.0601050009182601","0.051101345224535","0.0691086566119851","4"
"4 on scale 1-7","2005","Part Time","Male","123","0.0758997791841272","0.0619268215902061","0.0898727367780483","4"
"4 on scale 1-7","2005","Not Working","Male","366","0.119337004110396","0.107992558656267","0.130681449564525","4"
"4 on scale 1-7","2005","Full Time","Male","328","0.0671527533659252","0.0604422971761391","0.0738632095557113","4"
"4 on scale 1-7","2005","Part Time","Female","273","0.0874769377457069","0.0780190012258865","0.0969348742655273","4"
"5 on scale 1-7","2005","Not Working","Female","1023","0.21485335157887","0.203059702727983","0.226647000429756","5"
"5 on scale 1-7","2005","Part Time","Female","671","0.203391380142938","0.189916762303743","0.216865997982132","5"
"5 on scale 1-7","2005","Not Working","Male","705","0.224045060094768","0.209454338553682","0.238635781635854","5"
"5 on scale 1-7","2005","Full Time","Male","975","0.185517187063044","0.175095263016601","0.195939111109488","5"
"5 on scale 1-7","2005","Full Time","Female","456","0.168254317434302","0.154083258910807","0.182425375957798","5"
"5 on scale 1-7","2005","Part Time","Male","308","0.234708033710794","0.212347297280793","0.257068770140796","5"
"6 on scale 1-7","2005","Not Working","Female","1620","0.32808781321562","0.314605852904371","0.341569773526868","6"
"6 on scale 1-7","2005","Part Time","Male","539","0.391708489801549","0.365954417083339","0.41746256251976","6"
"6 on scale 1-7","2005","Not Working","Male","1039","0.317569264755932","0.301278579514089","0.333859949997775","6"
"6 on scale 1-7","2005","Full Time","Male","2332","0.422041336773977","0.408799728067041","0.435282945480912","6"
"6 on scale 1-7","2005","Part Time","Female","1412","0.38577791852203","0.369482741609297","0.402073095434763","6"
"6 on scale 1-7","2005","Full Time","Female","1115","0.391691421548668","0.373200527676177","0.410182315421158","6"
"7 Strongly agree","2005","Not Working","Female","1195","0.271546315953913","0.258775322997415","0.284317308910412","7"
