"plh0222","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","West Germany","54","0.0114432875971688","0.00867388556165918","0.0142126896326784"
"1 Strongly disagree","2005","lower secondary degree","East Germany","16","","",""
"1 Strongly disagree","2005","secondary school degree","West Germany","8","","",""
"1 Strongly disagree","2005","secondary school degree","East Germany","9","","",""
"1 Strongly disagree","2005","college entrance qualification","West Germany","14","","",""
"1 Strongly disagree","2005","college entrance qualification","East Germany","1","","",""
"1 Strongly disagree","2005","Other degree","West Germany","9","","",""
"1 Strongly disagree","2005","Other degree","East Germany","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","West Germany","6","","",""
"1 Strongly disagree","2005","no degree/no degree yet","East Germany","1","","",""
"2 on scale 1-7 ","2005","lower secondary degree","West Germany","60","0.0126307385538696","0.00972294225025458","0.0155385348574846"
"2 on scale 1-7 ","2005","lower secondary degree","East Germany","17","","",""
"2 on scale 1-7 ","2005","secondary school degree","West Germany","24","","",""
"2 on scale 1-7 ","2005","secondary school degree","East Germany","11","","",""
"2 on scale 1-7 ","2005","college entrance qualification","West Germany","15","","",""
"2 on scale 1-7 ","2005","college entrance qualification","East Germany","5","","",""
"2 on scale 1-7 ","2005","Other degree","West Germany","11","","",""
"2 on scale 1-7 ","2005","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","West Germany","13","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","East Germany","2","","",""
"3 on scale 1-7 ","2005","lower secondary degree","West Germany","143","0.0275558382740317","0.0232934897704257","0.0318181867776378"
"3 on scale 1-7 ","2005","lower secondary degree","East Germany","40","0.0289472813513066","0.0201079510036319","0.0377866116989813"
"3 on scale 1-7 ","2005","secondary school degree","West Germany","65","0.0159185421283503","0.0119322638926882","0.0199048203640124"
"3 on scale 1-7 ","2005","secondary school degree","East Germany","31","0.0165563829936366","0.0112448154370556","0.0218679505502175"
"3 on scale 1-7 ","2005","college entrance qualification","West Germany","85","0.0173035175714789","0.0132958849344605","0.0213111502084972"
"3 on scale 1-7 ","2005","college entrance qualification","East Germany","15","","",""
"3 on scale 1-7 ","2005","Other degree","West Germany","39","0.0347092887949869","0.0236483461052396","0.0457702314847341"
"3 on scale 1-7 ","2005","Other degree","East Germany","4","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","West Germany","32","0.0462404956596897","0.0309749769679866","0.0615060143513927"
"3 on scale 1-7 ","2005","no degree/no degree yet","East Germany","13","","",""
"4 on scale 1-7","2005","lower secondary degree","West Germany","548","0.100557089112293","0.0927263464166861","0.108387831807901"
"4 on scale 1-7","2005","lower secondary degree","East Germany","171","0.130795302257519","0.113018600967039","0.148572003547999"
"4 on scale 1-7","2005","secondary school degree","West Germany","241","0.0648059353472949","0.0569651655915936","0.0726467051029961"
"4 on scale 1-7","2005","secondary school degree","East Germany","143","0.0800240707646766","0.0687296543282337","0.0913184872011196"
"4 on scale 1-7","2005","college entrance qualification","West Germany","303","0.0814796148351761","0.0730718629295561","0.0898873667407962"
"4 on scale 1-7","2005","college entrance qualification","East Germany","80","0.0772522892859129","0.0616576238111754","0.0928469547606504"
"4 on scale 1-7","2005","Other degree","West Germany","129","0.121276040027432","0.101549361867044","0.141002718187821"
"4 on scale 1-7","2005","Other degree","East Germany","7","","",""
"4 on scale 1-7","2005","no degree/no degree yet","West Germany","110","0.124786688438352","0.100763979871858","0.148809397004847"
"4 on scale 1-7","2005","no degree/no degree yet","East Germany","32","0.186879855831803","0.127757945172384","0.246001766491223"
"5 on scale 1-7","2005","lower secondary degree","West Germany","1098","0.194771352161786","0.184459612158817","0.205083092164755"
"5 on scale 1-7","2005","lower secondary degree","East Germany","264","0.203267335658054","0.182050325799933","0.224484345516175"
"5 on scale 1-7","2005","secondary school degree","West Germany","681","0.173174345864764","0.161122621566876","0.185226070162652"
"5 on scale 1-7","2005","secondary school degree","East Germany","411","0.184357881964352","0.168216306482243","0.200499457446461"
"5 on scale 1-7","2005","college entrance qualification","West Germany","846","0.229154116658597","0.216237207202253","0.242071026114941"
"5 on scale 1-7","2005","college entrance qualification","East Germany","270","0.231015545908749","0.206397233483165","0.255633858334334"
"5 on scale 1-7","2005","Other degree","West Germany","229","0.20720651931101","0.182714648276599","0.23169839034542"
"5 on scale 1-7","2005","Other degree","East Germany","9","","",""
"5 on scale 1-7","2005","no degree/no degree yet","West Germany","197","0.290731927123755","0.257722920521449","0.323740933726061"
"5 on scale 1-7","2005","no degree/no degree yet","East Germany","43","0.262374384827199","0.195652459926282","0.329096309728116"
"6 on scale 1-7","2005","lower secondary degree","West Germany","1998","0.334188021187699","0.321905683106662","0.346470359268735"
"6 on scale 1-7","2005","lower secondary degree","East Germany","486","0.320172618289018","0.295575428635439","0.344769807942597"
"6 on scale 1-7","2005","secondary school degree","West Germany","1594","0.432285015598251","0.416507060784666","0.448062970411837"
"6 on scale 1-7","2005","secondary school degree","East Germany","1007","0.419309283507471","0.398769071359195","0.439849495655747"
"6 on scale 1-7","2005","college entrance qualification","West Germany","1733","0.410052865188564","0.394936844475566","0.425168885901561"
"6 on scale 1-7","2005","college entrance qualification","East Germany","497","0.432645720185262","0.403707469841775","0.461583970528749"
"6 on scale 1-7","2005","Other degree","West Germany","322","0.307738689735209","0.279847547444107","0.335629832026311"
"6 on scale 1-7","2005","Other degree","East Germany","12","","",""
"6 on scale 1-7","2005","no degree/no degree yet","West Germany","229","0.288180567430549","0.255257662215228","0.321103472645869"
"6 on scale 1-7","2005","no degree/no degree yet","East Germany","50","0.243535528996084","0.178437882529912","0.308633175462255"
"7 Strongly agree","2005","lower secondary degree","West Germany","1765","0.318853673113152","0.306719065776082","0.330988280450221"
"7 Strongly agree","2005","lower secondary degree","East Germany","388","0.289246433239844","0.265341496457111","0.313151370022576"
"7 Strongly agree","2005","secondary school degree","West Germany","1174","0.30252686627643","0.287896804681288","0.317156927871572"
"7 Strongly agree","2005","secondary school degree","East Germany","605","0.291940478047338","0.273014981379602","0.310865974715075"
"7 Strongly agree","2005","college entrance qualification","West Germany","1071","0.255949619678012","0.242537747040648","0.269361492315376"
"7 Strongly agree","2005","college entrance qualification","East Germany","258","0.239011131448978","0.214100937340345","0.263921325557611"
"7 Strongly agree","2005","Other degree","West Germany","313","0.308971693953567","0.281049631974516","0.336893755932618"
"7 Strongly agree","2005","Other degree","East Germany","17","","",""
"7 Strongly agree","2005","no degree/no degree yet","West Germany","140","0.217897044867923","0.187888943431266","0.24790514630458"
"7 Strongly agree","2005","no degree/no degree yet","East Germany","26","","",""
"1 Strongly disagree","2006","lower secondary degree","West Germany","","","",""
"1 Strongly disagree","2006","lower secondary degree","East Germany","","","",""
"1 Strongly disagree","2006","secondary school degree","West Germany","","","",""
"1 Strongly disagree","2006","secondary school degree","East Germany","","","",""
