"plh0222","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Male","7","","",""
"1 Strongly disagree","2005","16-34 y.","Female","5","","",""
"1 Strongly disagree","2005","35-65 y.","Male","27","","",""
"1 Strongly disagree","2005","35-65 y.","Female","33","0.00675612198818693","0.00467868182598312","0.00883356215039073"
"1 Strongly disagree","2005","66 and older","Male","16","","",""
"1 Strongly disagree","2005","66 and older","Female","31","0.0151800287499598","0.00984674546895916","0.0205133120309604"
"2 on scale 1-7 ","2005","16-34 y.","Male","19","","",""
"2 on scale 1-7 ","2005","16-34 y.","Female","15","","",""
"2 on scale 1-7 ","2005","35-65 y.","Male","30","0.00634005780083261","0.00426215235003436","0.00841796325163087"
"2 on scale 1-7 ","2005","35-65 y.","Female","38","0.00891151535385943","0.00652818728070253","0.0112948434270163"
"2 on scale 1-7 ","2005","66 and older","Male","30","0.021283659007042","0.0144549121256971","0.028112405888387"
"2 on scale 1-7 ","2005","66 and older","Female","29","","",""
"3 on scale 1-7 ","2005","16-34 y.","Male","74","0.0284658763330604","0.0219985832680943","0.0349331693980265"
"3 on scale 1-7 ","2005","16-34 y.","Female","61","0.0216864881749559","0.0162641684898878","0.0271088078600241"
"3 on scale 1-7 ","2005","35-65 y.","Male","106","0.0186380929399443","0.01509750311297","0.0221786827669186"
"3 on scale 1-7 ","2005","35-65 y.","Female","125","0.0220971717382443","0.0183692393235113","0.0258251041529774"
"3 on scale 1-7 ","2005","66 and older","Male","59","0.0316856178153695","0.0233980187982373","0.0399732168325017"
"3 on scale 1-7 ","2005","66 and older","Female","62","0.0329996003155831","0.0252076244582551","0.0407915761729112"
"4 on scale 1-7","2005","16-34 y.","Male","250","0.0866395889582021","0.0756997604002794","0.0975794175161249"
"4 on scale 1-7","2005","16-34 y.","Female","260","0.102733182565587","0.0914308611730109","0.114035503958164"
"4 on scale 1-7","2005","35-65 y.","Male","403","0.0801046470070646","0.07299810462354","0.0872111893905892"
"4 on scale 1-7","2005","35-65 y.","Female","473","0.0831426405378834","0.076140761110583","0.0901445199651837"
"4 on scale 1-7","2005","66 and older","Male","164","0.0996613725755559","0.0854885672130629","0.113834177938049"
"4 on scale 1-7","2005","66 and older","Female","266","0.134427648839495","0.11954857425907","0.149306723419921"
"5 on scale 1-7","2005","16-34 y.","Male","602","0.24564255531531","0.228901931923871","0.262383178706749"
"5 on scale 1-7","2005","16-34 y.","Female","617","0.231467117989999","0.215766116419717","0.247168119560281"
"5 on scale 1-7","2005","35-65 y.","Male","1050","0.1834287244528","0.173296821882012","0.193560627023588"
"5 on scale 1-7","2005","35-65 y.","Female","1113","0.183755168365827","0.173933577535446","0.193576759196207"
"5 on scale 1-7","2005","66 and older","Male","336","0.212418445034185","0.193066111955938","0.231770778112432"
"5 on scale 1-7","2005","66 and older","Female","420","0.205147796226706","0.187533854675642","0.22276173777777"
"6 on scale 1-7","2005","16-34 y.","Male","1022","0.409929145186061","0.390802547923881","0.42905574244824"
"6 on scale 1-7","2005","16-34 y.","Female","1126","0.391094277944034","0.37292794637403","0.409260609514037"
"6 on scale 1-7","2005","35-65 y.","Male","2308","0.390810567068217","0.378036781769658","0.403584352366776"
"6 on scale 1-7","2005","35-65 y.","Female","2387","0.374132820007805","0.361861089020425","0.386404550995185"
"6 on scale 1-7","2005","66 and older","Male","580","0.324040379410896","0.301896720049424","0.346184038772367"
"6 on scale 1-7","2005","66 and older","Female","634","0.299253739693917","0.279279046421293","0.31922843296654"
"7 Strongly agree","2005","16-34 y.","Male","566","0.218493974498777","0.202423928107325","0.234564020890229"
"7 Strongly agree","2005","16-34 y.","Female","688","0.246409461537125","0.230367854019414","0.262451069054835"
"7 Strongly agree","2005","35-65 y.","Male","1681","0.314347719947647","0.302193771157518","0.326501668737775"
"7 Strongly agree","2005","35-65 y.","Female","1804","0.321204562008194","0.30936291411089","0.333046209905499"
"7 Strongly agree","2005","66 and older","Male","531","0.300235614635072","0.27854876487312","0.321922464397025"
"7 Strongly agree","2005","66 and older","Female","577","0.297336678930957","0.277398852234117","0.317274505627797"
"1 Strongly disagree","2006","16-34 y.","Male","","","",""
"1 Strongly disagree","2006","16-34 y.","Female","","","",""
"1 Strongly disagree","2006","35-65 y.","Male","","","",""
"1 Strongly disagree","2006","35-65 y.","Female","","","",""
"1 Strongly disagree","2006","66 and older","Male","","","",""
"1 Strongly disagree","2006","66 and older","Female","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2006","66 and older","Male","","","",""
"2 on scale 1-7 ","2006","66 and older","Female","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2006","66 and older","Male","","","",""
"3 on scale 1-7 ","2006","66 and older","Female","","","",""
"4 on scale 1-7","2006","16-34 y.","Male","","","",""
"4 on scale 1-7","2006","16-34 y.","Female","","","",""
"4 on scale 1-7","2006","35-65 y.","Male","","","",""
"4 on scale 1-7","2006","35-65 y.","Female","","","",""
"4 on scale 1-7","2006","66 and older","Male","","","",""
"4 on scale 1-7","2006","66 and older","Female","","","",""
"5 on scale 1-7","2006","16-34 y.","Male","","","",""
"5 on scale 1-7","2006","16-34 y.","Female","","","",""
"5 on scale 1-7","2006","35-65 y.","Male","","","",""
"5 on scale 1-7","2006","35-65 y.","Female","","","",""
"5 on scale 1-7","2006","66 and older","Male","","","",""
"5 on scale 1-7","2006","66 and older","Female","","","",""
"6 on scale 1-7","2006","16-34 y.","Male","","","",""
"6 on scale 1-7","2006","16-34 y.","Female","","","",""
"6 on scale 1-7","2006","35-65 y.","Male","","","",""
"6 on scale 1-7","2006","35-65 y.","Female","","","",""
"6 on scale 1-7","2006","66 and older","Male","","","",""
"6 on scale 1-7","2006","66 and older","Female","","","",""
"7 Strongly agree","2006","16-34 y.","Male","","","",""
