"plh0222","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","78","0.00596695303595525","0.00468167985875479","0.00725222621315571","1"
"1 Strongly disagree","2005","Rural Area","41","0.00816298343060057","0.00602935506733506","0.0102966117938661","1"
"2 on scale 1-7 ","2005","Rural Area","47","0.00829349590002544","0.00614302009781379","0.0104439717022371","2"
"2 on scale 1-7 ","2005","Urban Area","114","0.0105537818531091","0.00884841084369273","0.0122591528625255","2"
"3 on scale 1-7 ","2005","Urban Area","341","0.0253844321831772","0.0227594937501391","0.0280093706162153","3"
"3 on scale 1-7 ","2005","Rural Area","146","0.0215792088110266","0.0181336889528112","0.025024728669242","3"
"4 on scale 1-7","2005","Rural Area","614","0.0912388915905688","0.08441096208244","0.0980668210986976","4"
"4 on scale 1-7","2005","Urban Area","1202","0.0940779167230606","0.0892059087316002","0.0989499247145209","4"
"5 on scale 1-7","2005","Urban Area","2780","0.204900010776172","0.198164033904479","0.211635987647865","5"
"5 on scale 1-7","2005","Rural Area","1358","0.198663011564063","0.189201941377005","0.208124081751122","5"
"6 on scale 1-7","2005","Rural Area","2752","0.380473576929024","0.368961164761436","0.391985989096612","6"
"6 on scale 1-7","2005","Urban Area","5305","0.36718278106606","0.359138281728534","0.375227280403586","6"
"7 Strongly agree","2005","Rural Area","1874","0.291588831774691","0.280811722043927","0.302365941505454","7"
"7 Strongly agree","2005","Urban Area","3973","0.291934124362466","0.284346636896246","0.299521611828686","7"
"1 Strongly disagree","2006","Urban Area","","","","","1"
"1 Strongly disagree","2006","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","","","","","2"
"3 on scale 1-7 ","2006","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","","","","","3"
"4 on scale 1-7","2006","Urban Area","","","","","4"
"4 on scale 1-7","2006","Rural Area","","","","","4"
"5 on scale 1-7","2006","Rural Area","","","","","5"
"5 on scale 1-7","2006","Urban Area","","","","","5"
"6 on scale 1-7","2006","Rural Area","","","","","6"
"6 on scale 1-7","2006","Urban Area","","","","","6"
"7 Strongly agree","2006","Rural Area","","","","","7"
"7 Strongly agree","2006","Urban Area","","","","","7"
"1 Strongly disagree","2007","Urban Area","","","","","1"
"1 Strongly disagree","2007","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","","","","","3"
"4 on scale 1-7","2007","Rural Area","","","","","4"
"4 on scale 1-7","2007","Urban Area","","","","","4"
"5 on scale 1-7","2007","Rural Area","","","","","5"
"5 on scale 1-7","2007","Urban Area","","","","","5"
"6 on scale 1-7","2007","Rural Area","","","","","6"
"6 on scale 1-7","2007","Urban Area","","","","","6"
"7 Strongly agree","2007","Urban Area","","","","","7"
"7 Strongly agree","2007","Rural Area","","","","","7"
"1 Strongly disagree","2008","Urban Area","","","","","1"
"1 Strongly disagree","2008","Rural Area","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","","","","","2"
"3 on scale 1-7 ","2008","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","","","","","3"
"4 on scale 1-7","2008","Urban Area","","","","","4"
"4 on scale 1-7","2008","Rural Area","","","","","4"
"5 on scale 1-7","2008","Rural Area","","","","","5"
"5 on scale 1-7","2008","Urban Area","","","","","5"
"6 on scale 1-7","2008","Rural Area","","","","","6"
"6 on scale 1-7","2008","Urban Area","","","","","6"
"7 Strongly agree","2008","Urban Area","","","","","7"
"7 Strongly agree","2008","Rural Area","","","","","7"
"1 Strongly disagree","2009","Urban Area","66","0.00663223330715755","0.00516461173326967","0.00809985488104543","1"
"1 Strongly disagree","2009","Rural Area","30","0.00680090940498106","0.00475581270521644","0.00884600610474568","1"
"2 on scale 1-7 ","2009","Rural Area","67","0.0132440014808285","0.0103993655303175","0.0160886374313394","2"
"2 on scale 1-7 ","2009","Urban Area","94","0.00853169931089815","0.00686872191960771","0.0101946767021886","2"
"3 on scale 1-7 ","2009","Urban Area","336","0.0322912209588188","0.0290949489507746","0.0354874929668631","3"
"3 on scale 1-7 ","2009","Rural Area","192","0.0303047979578098","0.0260391450315829","0.0345704508840367","3"
"4 on scale 1-7","2009","Rural Area","602","0.0941839688232056","0.0869158722148634","0.101452065431548","4"
"4 on scale 1-7","2009","Urban Area","1085","0.0992491681237732","0.0938429329807163","0.10465540326683","4"
"5 on scale 1-7","2009","Rural Area","1280","0.204267526726677","0.19423534472284","0.214299708730515","5"
"5 on scale 1-7","2009","Urban Area","2320","0.199397564486396","0.192173235151961","0.20662189382083","5"
"6 on scale 1-7","2009","Rural Area","2412","0.381604522079406","0.36951658737887","0.393692456779943","6"
"6 on scale 1-7","2009","Urban Area","4573","0.382310534914116","0.373523903927156","0.391097165901077","6"
"7 Strongly agree","2009","Urban Area","3276","0.271587578898841","0.263545417570612","0.279629740227069","7"
"7 Strongly agree","2009","Rural Area","1621","0.269594273527091","0.258552225984105","0.280636321070077","7"
"1 Strongly disagree","2010","Urban Area","","","","","1"
"1 Strongly disagree","2010","Rural Area","","","","","1"
"2 on scale 1-7 ","2010","Urban Area","","","","","2"
"2 on scale 1-7 ","2010","Rural Area","","","","","2"
"3 on scale 1-7 ","2010","Rural Area","","","","","3"
"3 on scale 1-7 ","2010","Urban Area","","","","","3"
"4 on scale 1-7","2010","Rural Area","","","","","4"
"4 on scale 1-7","2010","Urban Area","","","","","4"
"5 on scale 1-7","2010","Rural Area","","","","","5"
"5 on scale 1-7","2010","Urban Area","","","","","5"
"6 on scale 1-7","2010","Urban Area","","","","","6"
"6 on scale 1-7","2010","Rural Area","","","","","6"
"7 Strongly agree","2010","Urban Area","","","","","7"
"7 Strongly agree","2010","Rural Area","","","","","7"
"1 Strongly disagree","2011","Urban Area","","","","","1"
"1 Strongly disagree","2011","Rural Area","","","","","1"
"2 on scale 1-7 ","2011","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Urban Area","","","","","2"
"3 on scale 1-7 ","2011","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","","","","","3"
"4 on scale 1-7","2011","Rural Area","","","","","4"
"4 on scale 1-7","2011","Urban Area","","","","","4"
"5 on scale 1-7","2011","Rural Area","","","","","5"
"5 on scale 1-7","2011","Urban Area","","","","","5"
"6 on scale 1-7","2011","Rural Area","","","","","6"
"6 on scale 1-7","2011","Urban Area","","","","","6"
"7 Strongly agree","2011","Urban Area","","","","","7"
"7 Strongly agree","2011","Rural Area","","","","","7"
"1 Strongly disagree","2012","Urban Area","9","","","","1"
"1 Strongly disagree","2012","Rural Area","1","","","","1"
