"plh0222","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","Male","8","","",""
"1 Strongly disagree","2005","1-pers.-HH","Female","14","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","Male","18","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","Female","22","","",""
"1 Strongly disagree","2005","Single parent ","Male","3","","",""
"1 Strongly disagree","2005","Single parent ","Female","4","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","Male","5","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","Female","7","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","Male","12","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","Female","8","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Male","3","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Female","4","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","Male","10","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","Female","21","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","Male","35","0.0132321854237284","0.00942474322935538","0.0170396276181014"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Female","26","","",""
"2 on scale 1-7 ","2005","Single parent ","Male","3","","",""
"2 on scale 1-7 ","2005","Single parent ","Female","3","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","6","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","8","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","12","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","10","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","9","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","9","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","Male","34","0.0257858134302137","0.0169923807901348","0.0345792460702925"
"3 on scale 1-7 ","2005","1-pers.-HH","Female","43","0.0270817478521506","0.0193587895422661","0.034804706162035"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Male","80","0.0225621938148615","0.0176140163059294","0.0275103713237936"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Female","76","0.0217129965883663","0.0169003408846251","0.0265256522921075"
"3 on scale 1-7 ","2005","Single parent ","Male","19","","",""
"3 on scale 1-7 ","2005","Single parent ","Female","17","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","26","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","35","0.0187319167971176","0.0126244975884319","0.0248393360058034"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","49","0.0266002536001086","0.0193857533895273","0.0338147538106899"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","38","0.0260433276476369","0.0185341171617199","0.033552538133554"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","25","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","23","","",""
"4 on scale 1-7","2005","1-pers.-HH","Male","108","0.094447969541859","0.0782226291886859","0.110673309895032"
"4 on scale 1-7","2005","1-pers.-HH","Female","189","0.114792124680124","0.0996256078453971","0.12995864151485"
"4 on scale 1-7","2005","(Married) couple without C. ","Male","285","0.0852827181045833","0.0759762691285974","0.0945891670805692"
"4 on scale 1-7","2005","(Married) couple without C. ","Female","313","0.0988208947395356","0.0889666869187948","0.108675102560276"
"4 on scale 1-7","2005","Single parent ","Male","43","0.115087185710907","0.0810656848986641","0.14910868652315"
"4 on scale 1-7","2005","Single parent ","Female","67","0.0879802022904923","0.0678677412241936","0.108092663356791"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Male","129","0.076515557302435","0.0642728200057934","0.0887582945990765"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Female","141","0.0802075935285197","0.0679719888420644","0.092443198214975"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Male","147","0.0728594304887093","0.0612065464090849","0.0845123145683338"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Female","150","0.0992204181981536","0.0851247387372843","0.113316097659023"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Male","92","0.0989448935982758","0.0789657524031024","0.118924034793449"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Female","95","0.11488892861855","0.0933624852962178","0.136415371940882"
"5 on scale 1-7","2005","1-pers.-HH","Male","276","0.22858959884892","0.205291967106702","0.251887230591139"
"5 on scale 1-7","2005","1-pers.-HH","Female","330","0.209644131599306","0.190277242483571","0.229011020715041"
"5 on scale 1-7","2005","(Married) couple without C. ","Male","640","0.182036657431027","0.169179161714777","0.194894153147277"
"5 on scale 1-7","2005","(Married) couple without C. ","Female","681","0.182422034640815","0.169669544213498","0.195174525068132"
"5 on scale 1-7","2005","Single parent ","Male","76","0.226047884370091","0.18145690509485","0.270638863645331"
"5 on scale 1-7","2005","Single parent ","Female","145","0.188945148031383","0.161150345641049","0.216739950421717"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Male","326","0.192383753966603","0.174229617882974","0.210537890050232"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Female","389","0.22011957777644","0.201455087726548","0.238784067826331"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Male","443","0.235347747251342","0.216327999340721","0.254367495161963"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Female","379","0.207581851695659","0.188459199792614","0.226704503598704"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Male","179","0.217866823612381","0.190245762931377","0.245487884293385"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Female","155","0.205778658770102","0.178488551287307","0.233068766252896"
"6 on scale 1-7","2005","1-pers.-HH","Male","448","0.356617091463734","0.330041885750033","0.383192297177436"
"6 on scale 1-7","2005","1-pers.-HH","Female","596","0.327493174444289","0.305164823753591","0.349821525134987"
"6 on scale 1-7","2005","(Married) couple without C. ","Male","1352","0.385332152290963","0.369115996277864","0.401548308304061"
"6 on scale 1-7","2005","(Married) couple without C. ","Female","1348","0.368950859683879","0.353017490375757","0.384884228992"
"6 on scale 1-7","2005","Single parent ","Male","122","0.348411764799696","0.297616554383142","0.39920697521625"
"6 on scale 1-7","2005","Single parent ","Female","299","0.357120024998648","0.323099371152621","0.391140678844676"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Male","801","0.410419154305978","0.387763617376045","0.433074691235911"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Female","780","0.405161578719015","0.383046605511705","0.427276551926324"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Male","752","0.390372883364709","0.368500822439522","0.412244944289895"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Female","690","0.365391988206844","0.342687667770412","0.388096308643276"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Male","335","0.379854159858598","0.347378363615463","0.412329956101733"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Female","340","0.35979891513559","0.327400599559551","0.392197230711629"
"7 Strongly agree","2005","1-pers.-HH","Male","364","0.279801291869598","0.254895989141447","0.304706594597749"
"7 Strongly agree","2005","1-pers.-HH","Female","504","0.295972874166566","0.274254474485677","0.317691273847454"
"7 Strongly agree","2005","(Married) couple without C. ","Male","1050","0.306538475379399","0.291175910741747","0.321901040017051"
"7 Strongly agree","2005","(Married) couple without C. ","Female","1057","0.311183379456941","0.295895340709802","0.326471418204079"
"7 Strongly agree","2005","Single parent ","Male","72","0.232444664390563","0.187414412198818","0.277474916582308"
"7 Strongly agree","2005","Single parent ","Female","227","0.326225634675722","0.292937697010647","0.359513572340797"
"7 Strongly agree","2005","Couple + C. LE 16 ","Male","518","0.298813733257165","0.277732022846048","0.319895443668281"
"7 Strongly agree","2005","Couple + C. LE 16 ","Female","533","0.26847551659004","0.248511884371404","0.288439148808676"
"7 Strongly agree","2005","Couple + C. GT 16 ","Male","496","0.260788351046841","0.24110286044586","0.280473841647821"
"7 Strongly agree","2005","Couple + C. GT 16 ","Female","453","0.294067520626896","0.272585193092999","0.315549848160793"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Male","215","0.257214399127492","0.227967230856141","0.286461567398842"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Female","217","0.269235804229208","0.23929321578842","0.299178392669997"
"1 Strongly disagree","2006","1-pers.-HH","Male","","","",""
"1 Strongly disagree","2006","1-pers.-HH","Female","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","Male","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","Female","","","",""
"1 Strongly disagree","2006","Single parent ","Male","","","",""
"1 Strongly disagree","2006","Single parent ","Female","","","",""
"1 Strongly disagree","2006","Couple + C. LE 16 ","Male","","","",""
"1 Strongly disagree","2006","Couple + C. LE 16 ","Female","","","",""
"1 Strongly disagree","2006","Couple + C. GT 16 ","Male","","","",""
"1 Strongly disagree","2006","Couple + C. GT 16 ","Female","","","",""
"1 Strongly disagree","2006","Couple + C. LE and GT 16","Male","","","",""
"1 Strongly disagree","2006","Couple + C. LE and GT 16","Female","","","",""
"2 on scale 1-7 ","2006","1-pers.-HH","Male","","","",""
"2 on scale 1-7 ","2006","1-pers.-HH","Female","","","",""
"2 on scale 1-7 ","2006","(Married) couple without C. ","Male","","","",""
"2 on scale 1-7 ","2006","(Married) couple without C. ","Female","","","",""
"2 on scale 1-7 ","2006","Single parent ","Male","","","",""
"2 on scale 1-7 ","2006","Single parent ","Female","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","Male","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","Female","","","",""
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","Male","","","",""
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","Female","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","Male","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","Female","","","",""
"3 on scale 1-7 ","2006","1-pers.-HH","Male","","","",""
"3 on scale 1-7 ","2006","1-pers.-HH","Female","","","",""
"3 on scale 1-7 ","2006","(Married) couple without C. ","Male","","","",""
"3 on scale 1-7 ","2006","(Married) couple without C. ","Female","","","",""
"3 on scale 1-7 ","2006","Single parent ","Male","","","",""
"3 on scale 1-7 ","2006","Single parent ","Female","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","Male","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","Female","","","",""
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","Male","","","",""
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","Female","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","Male","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","Female","","","",""
"4 on scale 1-7","2006","1-pers.-HH","Male","","","",""
"4 on scale 1-7","2006","1-pers.-HH","Female","","","",""
"4 on scale 1-7","2006","(Married) couple without C. ","Male","","","",""
"4 on scale 1-7","2006","(Married) couple without C. ","Female","","","",""
"4 on scale 1-7","2006","Single parent ","Male","","","",""
"4 on scale 1-7","2006","Single parent ","Female","","","",""
"4 on scale 1-7","2006","Couple + C. LE 16 ","Male","","","",""
"4 on scale 1-7","2006","Couple + C. LE 16 ","Female","","","",""
"4 on scale 1-7","2006","Couple + C. GT 16 ","Male","","","",""
"4 on scale 1-7","2006","Couple + C. GT 16 ","Female","","","",""
"4 on scale 1-7","2006","Couple + C. LE and GT 16","Male","","","",""
"4 on scale 1-7","2006","Couple + C. LE and GT 16","Female","","","",""
"5 on scale 1-7","2006","1-pers.-HH","Male","","","",""
"5 on scale 1-7","2006","1-pers.-HH","Female","","","",""
"5 on scale 1-7","2006","(Married) couple without C. ","Male","","","",""
"5 on scale 1-7","2006","(Married) couple without C. ","Female","","","",""
"5 on scale 1-7","2006","Single parent ","Male","","","",""
"5 on scale 1-7","2006","Single parent ","Female","","","",""
"5 on scale 1-7","2006","Couple + C. LE 16 ","Male","","","",""
"5 on scale 1-7","2006","Couple + C. LE 16 ","Female","","","",""
"5 on scale 1-7","2006","Couple + C. GT 16 ","Male","","","",""
"5 on scale 1-7","2006","Couple + C. GT 16 ","Female","","","",""
"5 on scale 1-7","2006","Couple + C. LE and GT 16","Male","","","",""
"5 on scale 1-7","2006","Couple + C. LE and GT 16","Female","","","",""
"6 on scale 1-7","2006","1-pers.-HH","Male","","","",""
"6 on scale 1-7","2006","1-pers.-HH","Female","","","",""
"6 on scale 1-7","2006","(Married) couple without C. ","Male","","","",""
"6 on scale 1-7","2006","(Married) couple without C. ","Female","","","",""
"6 on scale 1-7","2006","Single parent ","Male","","","",""
"6 on scale 1-7","2006","Single parent ","Female","","","",""
"6 on scale 1-7","2006","Couple + C. LE 16 ","Male","","","",""
"6 on scale 1-7","2006","Couple + C. LE 16 ","Female","","","",""
"6 on scale 1-7","2006","Couple + C. GT 16 ","Male","","","",""
"6 on scale 1-7","2006","Couple + C. GT 16 ","Female","","","",""
"6 on scale 1-7","2006","Couple + C. LE and GT 16","Male","","","",""
"6 on scale 1-7","2006","Couple + C. LE and GT 16","Female","","","",""
"7 Strongly agree","2006","1-pers.-HH","Male","","","",""
"7 Strongly agree","2006","1-pers.-HH","Female","","","",""
"7 Strongly agree","2006","(Married) couple without C. ","Male","","","",""
"7 Strongly agree","2006","(Married) couple without C. ","Female","","","",""
"7 Strongly agree","2006","Single parent ","Male","","","",""
"7 Strongly agree","2006","Single parent ","Female","","","",""
"7 Strongly agree","2006","Couple + C. LE 16 ","Male","","","",""
"7 Strongly agree","2006","Couple + C. LE 16 ","Female","","","",""
"7 Strongly agree","2006","Couple + C. GT 16 ","Male","","","",""
"7 Strongly agree","2006","Couple + C. GT 16 ","Female","","","",""
"7 Strongly agree","2006","Couple + C. LE and GT 16","Male","","","",""
"7 Strongly agree","2006","Couple + C. LE and GT 16","Female","","","",""
"1 Strongly disagree","2007","1-pers.-HH","Male","","","",""
"1 Strongly disagree","2007","1-pers.-HH","Female","","","",""
"1 Strongly disagree","2007","(Married) couple without C. ","Male","","","",""
"1 Strongly disagree","2007","(Married) couple without C. ","Female","","","",""
"1 Strongly disagree","2007","Single parent ","Male","","","",""
"1 Strongly disagree","2007","Single parent ","Female","","","",""
"1 Strongly disagree","2007","Couple + C. LE 16 ","Male","","","",""
"1 Strongly disagree","2007","Couple + C. LE 16 ","Female","","","",""
"1 Strongly disagree","2007","Couple + C. GT 16 ","Male","","","",""
"1 Strongly disagree","2007","Couple + C. GT 16 ","Female","","","",""
"1 Strongly disagree","2007","Couple + C. LE and GT 16","Male","","","",""
"1 Strongly disagree","2007","Couple + C. LE and GT 16","Female","","","",""
"2 on scale 1-7 ","2007","1-pers.-HH","Male","","","",""
"2 on scale 1-7 ","2007","1-pers.-HH","Female","","","",""
"2 on scale 1-7 ","2007","(Married) couple without C. ","Male","","","",""
"2 on scale 1-7 ","2007","(Married) couple without C. ","Female","","","",""
"2 on scale 1-7 ","2007","Single parent ","Male","","","",""
"2 on scale 1-7 ","2007","Single parent ","Female","","","",""
"2 on scale 1-7 ","2007","Couple + C. LE 16 ","Male","","","",""
"2 on scale 1-7 ","2007","Couple + C. LE 16 ","Female","","","",""
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","Male","","","",""
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","Female","","","",""
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","Male","","","",""
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","Female","","","",""
"3 on scale 1-7 ","2007","1-pers.-HH","Male","","","",""
"3 on scale 1-7 ","2007","1-pers.-HH","Female","","","",""
"3 on scale 1-7 ","2007","(Married) couple without C. ","Male","","","",""
"3 on scale 1-7 ","2007","(Married) couple without C. ","Female","","","",""
"3 on scale 1-7 ","2007","Single parent ","Male","","","",""
"3 on scale 1-7 ","2007","Single parent ","Female","","","",""
"3 on scale 1-7 ","2007","Couple + C. LE 16 ","Male","","","",""
"3 on scale 1-7 ","2007","Couple + C. LE 16 ","Female","","","",""
"3 on scale 1-7 ","2007","Couple + C. GT 16 ","Male","","","",""
"3 on scale 1-7 ","2007","Couple + C. GT 16 ","Female","","","",""
"3 on scale 1-7 ","2007","Couple + C. LE and GT 16","Male","","","",""
"3 on scale 1-7 ","2007","Couple + C. LE and GT 16","Female","","","",""
"4 on scale 1-7","2007","1-pers.-HH","Male","","","",""
"4 on scale 1-7","2007","1-pers.-HH","Female","","","",""
"4 on scale 1-7","2007","(Married) couple without C. ","Male","","","",""
"4 on scale 1-7","2007","(Married) couple without C. ","Female","","","",""
"4 on scale 1-7","2007","Single parent ","Male","","","",""
"4 on scale 1-7","2007","Single parent ","Female","","","",""
"4 on scale 1-7","2007","Couple + C. LE 16 ","Male","","","",""
"4 on scale 1-7","2007","Couple + C. LE 16 ","Female","","","",""
"4 on scale 1-7","2007","Couple + C. GT 16 ","Male","","","",""
"4 on scale 1-7","2007","Couple + C. GT 16 ","Female","","","",""
"4 on scale 1-7","2007","Couple + C. LE and GT 16","Male","","","",""
"4 on scale 1-7","2007","Couple + C. LE and GT 16","Female","","","",""
"5 on scale 1-7","2007","1-pers.-HH","Male","","","",""
"5 on scale 1-7","2007","1-pers.-HH","Female","","","",""
"5 on scale 1-7","2007","(Married) couple without C. ","Male","","","",""
"5 on scale 1-7","2007","(Married) couple without C. ","Female","","","",""
"5 on scale 1-7","2007","Single parent ","Male","","","",""
"5 on scale 1-7","2007","Single parent ","Female","","","",""
"5 on scale 1-7","2007","Couple + C. LE 16 ","Male","","","",""
"5 on scale 1-7","2007","Couple + C. LE 16 ","Female","","","",""
"5 on scale 1-7","2007","Couple + C. GT 16 ","Male","","","",""
"5 on scale 1-7","2007","Couple + C. GT 16 ","Female","","","",""
"5 on scale 1-7","2007","Couple + C. LE and GT 16","Male","","","",""
"5 on scale 1-7","2007","Couple + C. LE and GT 16","Female","","","",""
"6 on scale 1-7","2007","1-pers.-HH","Male","","","",""
"6 on scale 1-7","2007","1-pers.-HH","Female","","","",""
"6 on scale 1-7","2007","(Married) couple without C. ","Male","","","",""
"6 on scale 1-7","2007","(Married) couple without C. ","Female","","","",""
"6 on scale 1-7","2007","Single parent ","Male","","","",""
"6 on scale 1-7","2007","Single parent ","Female","","","",""
"6 on scale 1-7","2007","Couple + C. LE 16 ","Male","","","",""
"6 on scale 1-7","2007","Couple + C. LE 16 ","Female","","","",""
"6 on scale 1-7","2007","Couple + C. GT 16 ","Male","","","",""
"6 on scale 1-7","2007","Couple + C. GT 16 ","Female","","","",""
"6 on scale 1-7","2007","Couple + C. LE and GT 16","Male","","","",""
