"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","direct migration background","general elemantary","4.47","5","848","3","4","5","5","5","4.41","4.53","1","5","5","5"
"1990","direct migration background","higher education","3.51","4","89","2","3","5","5","5","3.26","3.76","1","5","4","4"
"1990","direct migration background","higher vocational","3.47","4","48","2","2","5","5","5","3.1","3.84","1","5","3","4"
"1990","direct migration background","in school","","","","","","","","","","","","","",""
"1990","direct migration background","inadequately","4.68","5","546","4","5","5","5","5","4.62","4.74","1","5","5","5"
"1990","direct migration background","middle vocational","4.24","5","802","3","4","5","5","5","4.17","4.31","1","5","5","5"
"1990","direct migration background","vocational + Abi","4.11","4","94","3","3","5","5","5","3.91","4.31","1","5","4","5"
"1990","indirect migration background","general elemantary","3.83","4","116","2","3","5","5","5","3.59","4.07","1","5","4","5"
"1990","indirect migration background","higher education","","","","","","","","","","","","","",""
"1990","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1990","indirect migration background","in school","4.01","4.51","31","1","4","5","5","5","3.51","4.51","1","5","4","5"
"1990","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1990","indirect migration background","middle vocational","3.94","4","96","2","3","5","5","5","3.72","4.16","1","5","4","4"
"1990","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1990","no migration background","general elemantary","4.33","5","1504","3","4","5","5","5","4.28","4.38","1","5","5","5"
"1990","no migration background","higher education","3.48","4","603","2","3","4","5","5","3.39","3.57","1","5","4","4"
"1990","no migration background","higher vocational","3.88","4","458","2","3","5","5","5","3.78","3.98","1","5","4","4"
"1990","no migration background","in school","3.04","3","101","1","2","4","5","5","2.76","3.32","1","5","2","4"
"1990","no migration background","inadequately","4.62","5","65","4","5","5","5","5","4.42","4.82","1","5","5","5"
"1990","no migration background","middle vocational","4.05","4","3644","2","4","5","5","5","4.02","4.08","1","5","4","4"
"1990","no migration background","vocational + Abi","3.67","4","191","2","3","5","5","5","3.5","3.84","1","5","4","4"
"1991","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1991","direct migration background","higher education","","","","","","","","","","","","","",""
"1991","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1991","direct migration background","in school","","","","","","","","","","","","","",""
"1991","direct migration background","inadequately","","","","","","","","","","","","","",""
"1991","direct migration background","middle vocational","","","","","","","","","","","","","",""
"1991","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1991","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1991","indirect migration background","higher education","","","","","","","","","","","","","",""
"1991","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1991","indirect migration background","in school","","","","","","","","","","","","","",""
"1991","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1991","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1991","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1991","no migration background","general elemantary","","","","","","","","","","","","","",""
"1991","no migration background","higher education","","","","","","","","","","","","","",""
"1991","no migration background","higher vocational","","","","","","","","","","","","","",""
"1991","no migration background","in school","","","","","","","","","","","","","",""
"1991","no migration background","inadequately","","","","","","","","","","","","","",""
"1991","no migration background","middle vocational","","","","","","","","","","","","","",""
"1991","no migration background","vocational + Abi","","","","","","","","","","","","","",""
"1992","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1992","direct migration background","higher education","","","","","","","","","","","","","",""
"1992","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1992","direct migration background","in school","","","","","","","","","","","","","",""
"1992","direct migration background","inadequately","","","","","","","","","","","","","",""
"1992","direct migration background","middle vocational","","","","","","","","","","","","","",""
"1992","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1992","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1992","indirect migration background","higher education","","","","","","","","","","","","","",""
"1992","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1992","indirect migration background","in school","","","","","","","","","","","","","",""
"1992","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1992","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1992","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1992","no migration background","general elemantary","","","","","","","","","","","","","",""
"1992","no migration background","higher education","","","","","","","","","","","","","",""
"1992","no migration background","higher vocational","","","","","","","","","","","","","",""
"1992","no migration background","in school","","","","","","","","","","","","","",""
"1992","no migration background","inadequately","","","","","","","","","","","","","",""
"1992","no migration background","middle vocational","","","","","","","","","","","","","",""
"1992","no migration background","vocational + Abi","","","","","","","","","","","","","",""
"1993","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1993","direct migration background","higher education","","","","","","","","","","","","","",""
"1993","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1993","direct migration background","in school","","","","","","","","","","","","","",""
"1993","direct migration background","inadequately","","","","","","","","","","","","","",""
"1993","direct migration background","middle vocational","","","","","","","","","","","","","",""
"1993","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1993","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1993","indirect migration background","higher education","","","","","","","","","","","","","",""
"1993","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1993","indirect migration background","in school","","","","","","","","","","","","","",""
"1993","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1993","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1993","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1993","no migration background","general elemantary","","","","","","","","","","","","","",""
"1993","no migration background","higher education","","","","","","","","","","","","","",""
"1993","no migration background","higher vocational","","","","","","","","","","","","","",""
"1993","no migration background","in school","","","","","","","","","","","","","",""
"1993","no migration background","inadequately","","","","","","","","","","","","","",""
"1993","no migration background","middle vocational","","","","","","","","","","","","","",""
"1993","no migration background","vocational + Abi","","","","","","","","","","","","","",""
"1994","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1994","direct migration background","higher education","","","","","","","","","","","","","",""
"1994","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1994","direct migration background","in school","","","","","","","","","","","","","",""
"1994","direct migration background","inadequately","","","","","","","","","","","","","",""
"1994","direct migration background","middle vocational","","","","","","","","","","","","","",""
"1994","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1994","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1994","indirect migration background","higher education","","","","","","","","","","","","","",""
"1994","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1994","indirect migration background","in school","","","","","","","","","","","","","",""
"1994","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1994","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1994","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1994","no migration background","general elemantary","","","","","","","","","","","","","",""
"1994","no migration background","higher education","","","","","","","","","","","","","",""
"1994","no migration background","higher vocational","","","","","","","","","","","","","",""
"1994","no migration background","in school","","","","","","","","","","","","","",""
"1994","no migration background","inadequately","","","","","","","","","","","","","",""
"1994","no migration background","middle vocational","","","","","","","","","","","","","",""
"1994","no migration background","vocational + Abi","","","","","","","","","","","","","",""
"1995","direct migration background","general elemantary","4.53","5","782","4","4","5","5","5","4.47","4.59","1","5","5","5"
"1995","direct migration background","higher education","3.56","4","197","2","2","5","5","5","3.38","3.74","1","5","4","4"
"1995","direct migration background","higher vocational","4.04","4","60","2","3","5","5","5","3.75","4.33","1","5","4","5"
"1995","direct migration background","in school","2.99","3","38","1","1","5","5","5","2.48","3.5","1","5","2","4"
"1995","direct migration background","inadequately","4.86","5","458","4","5","5","5","5","4.81","4.91","2","5","5","5"
"1995","direct migration background","middle vocational","4.3","5","988","2","4","5","5","5","4.24","4.36","1","5","5","5"
"1995","direct migration background","vocational + Abi","4.15","5","160","2","4","5","5","5","3.99","4.31","1","5","5","5"
"1995","indirect migration background","general elemantary","3.76","4","168","2","3","5","5","5","3.57","3.95","1","5","4","5"
"1995","indirect migration background","higher education","","","","","","","","","","","","","",""
"1995","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1995","indirect migration background","in school","3.79","5","53","1","2","5","5","5","3.41","4.17","1","5","4","5"
"1995","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1995","indirect migration background","middle vocational","3.88","4","184","2","3","5","5","5","3.7","4.06","1","5","4","4"
"1995","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1995","no migration background","general elemantary","4.42","5","1550","3","4","5","5","5","4.37","4.47","1","5","5","5"
"1995","no migration background","higher education","3.74","4","1548","2","3","5","5","5","3.68","3.8","1","5","4","4"
"1995","no migration background","higher vocational","3.99","4","690","2","3","5","5","5","3.91","4.07","1","5","4","4"
"1995","no migration background","in school","3.22","3.86","196","1","2","4","5","5","3.02","3.42","1","5","3","4"
"1995","no migration background","inadequately","4.51","5","57","4","4","5","5","5","4.26","4.76","1","5","5","5"
"1995","no migration background","middle vocational","4.19","4","5536","2","4","5","5","5","4.16","4.22","1","5","4","5"
"1995","no migration background","vocational + Abi","3.71","4","303","2","3","5","5","5","3.58","3.84","1","5","4","4"
