"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","3.01","3","833","1","2","4","5","2.9","3.12","3","3"
"2005","16-34 y.","higher education","3.02","3","521","1","2","4","5","2.89","3.15","2","3"
"2005","16-34 y.","higher vocational","3.1","3","206","1","2","4","5","2.88","3.32","2","3"
"2005","16-34 y.","in school","3.14","3","650","1","2","4","5","3.01","3.27","3","3"
"2005","16-34 y.","inadequately","3.19","3","59","1","1","4","6","2.74","3.64","2","3"
"2005","16-34 y.","middle vocational","3.14","3","2334","1","2","4","5","3.07","3.21","3","3"
"2005","16-34 y.","vocational + Abi","3.04","3","438","1","2","4","5","2.89","3.19","2","3"
"2005","35-65 y.","general elemantary","2.83","2","824","1","1","4","5","2.72","2.94","2","3"
"2005","35-65 y.","higher education","2.88","3","2980","1","2","4","5","2.82","2.94","2","3"
"2005","35-65 y.","higher vocational","3.1","3","1095","1","2","4","5","3","3.2","3","3"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","2.96","2","128","1","1","4","5","2.65","3.27","2","3"
"2005","35-65 y.","middle vocational","3.02","3","5954","1","1","4","5","2.98","3.06","3","3"
"2005","35-65 y.","vocational + Abi","2.88","2","593","1","2","4","5","2.75","3.01","2","3"
"2005","66 and older","general elemantary","2.41","2","741","1","1","4","5","2.29","2.53","2","2"
"2005","66 and older","higher education","2.71","2","664","1","1","4","5","2.58","2.84","2","3"
"2005","66 and older","higher vocational","2.67","2","252","1","1","4","5","2.47","2.87","2","3"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","2.54","3","50","1","1","4","5","2.16","2.92","1","3"
"2005","66 and older","middle vocational","2.49","2","1955","1","1","4","5","2.42","2.56","2","2"
"2005","66 and older","vocational + Abi","2.36","1.05","102","1","1","3","5","2","2.72","2","3"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","","","",""
"2006","66 and older","inadequately","","","","","","","","","","",""
"2006","66 and older","middle vocational","","","","","","","","","","",""
"2006","66 and older","vocational + Abi","","","","","","","","","","",""
"2007","16-34 y.","general elemantary","","","","","","","","","","",""
"2007","16-34 y.","higher education","","","","","","","","","","",""
"2007","16-34 y.","higher vocational","","","","","","","","","","",""
"2007","16-34 y.","in school","","","","","","","","","","",""
"2007","16-34 y.","inadequately","","","","","","","","","","",""
"2007","16-34 y.","middle vocational","","","","","","","","","","",""
"2007","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2007","35-65 y.","general elemantary","","","","","","","","","","",""
"2007","35-65 y.","higher education","","","","","","","","","","",""
"2007","35-65 y.","higher vocational","","","","","","","","","","",""
"2007","35-65 y.","in school","","","","","","","","","","",""
"2007","35-65 y.","inadequately","","","","","","","","","","",""
"2007","35-65 y.","middle vocational","","","","","","","","","","",""
"2007","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2007","66 and older","general elemantary","","","","","","","","","","",""
"2007","66 and older","higher education","","","","","","","","","","",""
"2007","66 and older","higher vocational","","","","","","","","","","",""
"2007","66 and older","in school","","","","","","","","","","",""
"2007","66 and older","inadequately","","","","","","","","","","",""
"2007","66 and older","middle vocational","","","","","","","","","","",""
"2007","66 and older","vocational + Abi","","","","","","","","","","",""
"2008","16-34 y.","general elemantary","","","","","","","","","","",""
"2008","16-34 y.","higher education","","","","","","","","","","",""
"2008","16-34 y.","higher vocational","","","","","","","","","","",""
"2008","16-34 y.","in school","","","","","","","","","","",""
"2008","16-34 y.","inadequately","","","","","","","","","","",""
"2008","16-34 y.","middle vocational","","","","","","","","","","",""
"2008","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2008","35-65 y.","general elemantary","","","","","","","","","","",""
"2008","35-65 y.","higher education","","","","","","","","","","",""
"2008","35-65 y.","higher vocational","","","","","","","","","","",""
"2008","35-65 y.","in school","","","","","","","","","","",""
"2008","35-65 y.","inadequately","","","","","","","","","","",""
"2008","35-65 y.","middle vocational","","","","","","","","","","",""
"2008","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2008","66 and older","general elemantary","","","","","","","","","","",""
"2008","66 and older","higher education","","","","","","","","","","",""
"2008","66 and older","higher vocational","","","","","","","","","","",""
"2008","66 and older","in school","","","","","","","","","","",""
"2008","66 and older","inadequately","","","","","","","","","","",""
"2008","66 and older","middle vocational","","","","","","","","","","",""
"2008","66 and older","vocational + Abi","","","","","","","","","","",""
