"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","Female","2.77","2","2472","1","1","4","5","2.71","2.83","2","2"
"2005","college entrance qualification","Male","3.17","3","2718","1","2","4","5","3.11","3.23","3","3"
"2005","lower secondary degree","Female","2.54","2","3620","1","1","4","5","2.49","2.59","2","2"
"2005","lower secondary degree","Male","3.21","3","3458","1","2","5","6","3.15","3.27","3","3"
"2005","no degree/no degree yet","Female","2.62","2","482","1","1","4","5","2.47","2.77","2","3"
"2005","no degree/no degree yet","Male","3.45","3","420","1","2","5","6","3.29","3.61","3","3"
"2005","Other degree","Female","2.37","2","585","1","1","3","5","2.24","2.5","2","2"
"2005","Other degree","Male","2.96","3","532","1","1","4","5","2.82","3.1","2","3"
"2005","secondary school degree","Female","2.74","2","3440","1","1","4","5","2.69","2.79","2","2"
"2005","secondary school degree","Male","3.18","3","2567","1","2","4","5","3.12","3.24","3","3"
"2006","college entrance qualification","Female","","","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","","","",""
"2008","college entrance qualification","Female","","","","","","","","","","",""
"2008","college entrance qualification","Male","","","","","","","","","","",""
"2008","lower secondary degree","Female","","","","","","","","","","",""
"2008","lower secondary degree","Male","","","","","","","","","","",""
"2008","no degree/no degree yet","Female","","","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","","","",""
"2008","Other degree","Female","","","","","","","","","","",""
"2008","Other degree","Male","","","","","","","","","","",""
"2008","secondary school degree","Female","","","","","","","","","","",""
"2008","secondary school degree","Male","","","","","","","","","","",""
"2009","college entrance qualification","Female","2.97","3","2368","1","2","4","5","2.91","3.03","2","3"
