"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","2.98","3","5190","1","2","4","5","2.94","3.02","3","3"
"2005","lower secondary degree","2.87","2","7078","1","1","4","5","2.83","2.91","2","3"
"2005","no degree/no degree yet","3.03","3","902","1","2","4","5","2.92","3.14","2","3"
"2005","Other degree","2.65","2","1117","1","1","4","5","2.55","2.75","2","2"
"2005","secondary school degree","2.94","3","6007","1","2","4","5","2.9","2.98","3","3"
"2006","college entrance qualification","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","",""
"2009","college entrance qualification","3.12","3","4884","1","2","4","5","3.08","3.16","3","3"
"2009","lower secondary degree","3.04","3","5915","1","2","4","5","3","3.08","3","3"
"2009","no degree/no degree yet","3.14","3","485","1","2","4","5","3","3.28","3","3"
"2009","Other degree","2.76","2","803","1","1","4","5","2.65","2.87","2","2"
"2009","secondary school degree","3.14","3","5398","1","2","4","5","3.1","3.18","3","3"
"2010","college entrance qualification","","","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","","","",""
"2010","Other degree","","","","","","","","","","",""
"2010","secondary school degree","","","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","",""
"2012","college entrance qualification","3.01","3","2146","1","2","4","5","2.94","3.08","3","3"
"2012","lower secondary degree","3.35","3","1409","1","2","5","6","3.26","3.44","3","3"
"2012","no degree/no degree yet","3.19","3","352","1","2","5","6","3.01","3.37","3","3"
"2012","Other degree","2.89","2","676","1","1","4","6","2.76","3.02","2","3"
"2012","secondary school degree","3.13","3","2388","1","2","5","6","3.06","3.2","3","3"
"2013","college entrance qualification","3.04","3","5387","1","2","4","5","3","3.08","3","3"
"2013","lower secondary degree","3.04","3","5813","1","1","4","5","3","3.08","3","3"
"2013","no degree/no degree yet","3.25","3","487","1","2","5","5","3.1","3.4","3","3"
"2013","Other degree","2.78","2","1015","1","1","4","5","2.68","2.88","2","2"
"2013","secondary school degree","3.17","3","5622","1","2","5","6","3.13","3.21","3","3"
"2014","college entrance qualification","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","","","",""
"2015","Other degree","","","","","","","","","","",""
"2015","secondary school degree","","","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","","","",""
"2016","Other degree","","","","","","","","","","",""
"2016","secondary school degree","","","","","","","","","","",""
"2017","college entrance qualification","3.13","3","7944","1","2","4","5","3.1","3.16","3","3"
"2017","lower secondary degree","3.09","3","6096","1","2","5","6","3.05","3.13","3","3"
"2017","no degree/no degree yet","3.11","3","1854","1","1","5","6","3.03","3.19","1","2"
"2017","Other degree","2.87","2","4557","1","1","4","5","2.82","2.92","2","2"
"2017","secondary school degree","3.25","3","7609","1","2","5","6","3.21","3.29","3","3"
"2018","college entrance qualification","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","","","",""
"2018","Other degree","","","","","","","","","","",""
"2018","secondary school degree","","","","","","","","","","",""
"2019","college entrance qualification","2.96","3","8543","1","2","4","5","2.93","2.99","2","3"
"2019","lower secondary degree","2.96","3","5293","1","1","4","5","2.91","3.01","3","3"
"2019","no degree/no degree yet","3.05","3","777","1","1","4","6","2.93","3.17","3","3"
"2019","Other degree","2.73","2","2548","1","1","4","5","2.66","2.8","2","2"
"2019","secondary school degree","3.04","3","7410","1","2","4","5","3","3.08","3","3"
