"year","migback","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","general elemantary","2.69","2","566","2.55","2.83","1","1","4","5"
"2005","direct migration background","higher education","2.6","2","339","2.43","2.77","1","1","4","5"
"2005","direct migration background","higher vocational","2.72","2","133","2.41","3.03","1","1","4","5"
"2005","direct migration background","in school","3.02","2.7","55","2.55","3.49","1","1","4","5"
"2005","direct migration background","inadequately","2.43","2","146","2.19","2.67","1","1","3","5"
"2005","direct migration background","middle vocational","2.82","2","870","2.71","2.93","1","1","4","5"
"2005","direct migration background","vocational + Abi","2.63","2","215","2.41","2.85","1","1","4","5"
"2005","indirect migration background","general elemantary","3.05","3","182","2.81","3.29","1","2","4","5"
"2005","indirect migration background","higher education","2.71","2","68","2.3","3.12","1","2","4","5"
"2005","indirect migration background","higher vocational","2.9","2.08","41","2.3","3.5","1","1","4","6"
"2005","indirect migration background","in school","3.33","4","90","2.98","3.68","1","2","5","5"
"2005","indirect migration background","inadequately","","","","","","","","",""
"2005","indirect migration background","middle vocational","2.99","3","338","2.82","3.16","1","2","4","5"
"2005","indirect migration background","vocational + Abi","2.15","2","46","1.7","2.6","1","1","3","4"
"2005","no migration background","general elemantary","2.73","2","1650","2.65","2.81","1","1","4","5"
"2005","no migration background","higher education","2.91","3","3758","2.86","2.96","1","2","4","5"
"2005","no migration background","higher vocational","3.05","3","1379","2.96","3.14","1","2","4","5"
"2005","no migration background","in school","3.11","3","505","2.96","3.26","1","2","4","5"
"2005","no migration background","inadequately","3.61","4","82","3.19","4.03","1","2","5","6"
"2005","no migration background","middle vocational","2.94","3","9035","2.91","2.97","1","1","4","5"
"2005","no migration background","vocational + Abi","2.98","3","872","2.87","3.09","1","2","4","5"
"2006","direct migration background","general elemantary","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","",""
"2006","indirect migration background","in school","","","","","","","","",""
"2006","indirect migration background","inadequately","","","","","","","","",""
"2006","indirect migration background","middle vocational","","","","","","","","",""
"2006","indirect migration background","vocational + Abi","","","","","","","","",""
"2006","no migration background","general elemantary","","","","","","","","",""
"2006","no migration background","higher education","","","","","","","","",""
"2006","no migration background","higher vocational","","","","","","","","",""
"2006","no migration background","in school","","","","","","","","",""
"2006","no migration background","inadequately","","","","","","","","",""
"2006","no migration background","middle vocational","","","","","","","","",""
"2006","no migration background","vocational + Abi","","","","","","","","",""
"2007","direct migration background","general elemantary","","","","","","","","",""
"2007","direct migration background","higher education","","","","","","","","",""
"2007","direct migration background","higher vocational","","","","","","","","",""
"2007","direct migration background","in school","","","","","","","","",""
"2007","direct migration background","inadequately","","","","","","","","",""
"2007","direct migration background","middle vocational","","","","","","","","",""
"2007","direct migration background","vocational + Abi","","","","","","","","",""
"2007","indirect migration background","general elemantary","","","","","","","","",""
"2007","indirect migration background","higher education","","","","","","","","",""
"2007","indirect migration background","higher vocational","","","","","","","","",""
"2007","indirect migration background","in school","","","","","","","","",""
"2007","indirect migration background","inadequately","","","","","","","","",""
"2007","indirect migration background","middle vocational","","","","","","","","",""
"2007","indirect migration background","vocational + Abi","","","","","","","","",""
"2007","no migration background","general elemantary","","","","","","","","",""
"2007","no migration background","higher education","","","","","","","","",""
"2007","no migration background","higher vocational","","","","","","","","",""
"2007","no migration background","in school","","","","","","","","",""
"2007","no migration background","inadequately","","","","","","","","",""
"2007","no migration background","middle vocational","","","","","","","","",""
"2007","no migration background","vocational + Abi","","","","","","","","",""
"2008","direct migration background","general elemantary","","","","","","","","",""
"2008","direct migration background","higher education","","","","","","","","",""
"2008","direct migration background","higher vocational","","","","","","","","",""
"2008","direct migration background","in school","","","","","","","","",""
"2008","direct migration background","inadequately","","","","","","","","",""
"2008","direct migration background","middle vocational","","","","","","","","",""
"2008","direct migration background","vocational + Abi","","","","","","","","",""
"2008","indirect migration background","general elemantary","","","","","","","","",""
"2008","indirect migration background","higher education","","","","","","","","",""
"2008","indirect migration background","higher vocational","","","","","","","","",""
"2008","indirect migration background","in school","","","","","","","","",""
"2008","indirect migration background","inadequately","","","","","","","","",""
"2008","indirect migration background","middle vocational","","","","","","","","",""
"2008","indirect migration background","vocational + Abi","","","","","","","","",""
"2008","no migration background","general elemantary","","","","","","","","",""
"2008","no migration background","higher education","","","","","","","","",""
"2008","no migration background","higher vocational","","","","","","","","",""
"2008","no migration background","in school","","","","","","","","",""
"2008","no migration background","inadequately","","","","","","","","",""
"2008","no migration background","middle vocational","","","","","","","","",""
"2008","no migration background","vocational + Abi","","","","","","","","",""
"2009","direct migration background","general elemantary","2.72","2","360","2.56","2.88","1","1","4","5"
"2009","direct migration background","higher education","2.95","2","293","2.77","3.13","1","2","4","5"
"2009","direct migration background","higher vocational","3.29","3","94","2.94","3.64","1","2","5","6"
"2009","direct migration background","in school","","","","","","","","",""
"2009","direct migration background","inadequately","2.75","3","90","2.45","3.05","1","1","4","5"
"2009","direct migration background","middle vocational","2.92","3","610","2.79","3.05","1","1","4","5"
"2009","direct migration background","vocational + Abi","3.01","2","167","2.75","3.27","1","2","5","6"
"2009","indirect migration background","general elemantary","3.05","3","145","2.79","3.31","1","2","4","5"
"2009","indirect migration background","higher education","3.1","3","88","2.75","3.45","2","2","4","6"
"2009","indirect migration background","higher vocational","3.3","3","30","2.52","4.08","1","1","5","6"
"2009","indirect migration background","in school","3.02","3","49","2.52","3.52","1","1","4","5"
"2009","indirect migration background","inadequately","","","","","","","","",""
