"year","pgcasmin","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","(0) in school","Female","2.8","2","340","2.63","2.97","1","1","4","5"
"2005","(0) in school","Male","3.67","4","310","3.48","3.86","1","2","5","6"
"2005","(1a) inadequately completed","Female","2.56","2","135","2.26","2.86","1","1","3","5"
"2005","(1a) inadequately completed","Male","2.69","2","105","2.35","3.03","1","1","4","5"
"2005","(1b) general elementary school","Female","2.77","2","1281","2.67","2.87","1","1","4","5"
"2005","(1b) general elementary school","Male","3.37","3","573","3.22","3.52","1","2","5","6"
"2005","(1c) basic vocational qualification","Female","2.64","2","2617","2.58","2.7","1","1","4","5"
"2005","(1c) basic vocational qualification","Male","3.13","3","3072","3.07","3.19","1","2","4","6"
"2005","(2a) intermediate vocational","Female","2.61","2","2729","2.55","2.67","1","1","4","5"
"2005","(2a) intermediate vocational","Male","3.22","3","2055","3.15","3.29","1","2","4","5"
"2005","(2b) intermediate general qualification","Female","3.03","3","352","2.85","3.21","1","1","4","6"
"2005","(2b) intermediate general qualification","Male","3.15","3","226","2.93","3.37","1","2","4","5"
"2005","(2c_gen) general maturity certificate","Female","2.69","2","431","2.55","2.83","1","2","4","5"
"2005","(2c_gen) general maturity certificate","Male","3.16","3","364","3.01","3.31","1","2","4","5"
"2005","(2c_voc) vocational maturity certificate","Female","2.56","2","844","2.46","2.66","1","1","3","5"
"2005","(2c_voc) vocational maturity certificate","Male","2.99","3","668","2.87","3.11","1","2","4","5"
"2005","(3a) lower tertiary education","Female","2.41","2","766","2.31","2.51","1","1","3","4"
"2005","(3a) lower tertiary education","Male","2.73","2","881","2.63","2.83","1","1","4","5"
"2005","(3b) higher tertiary education","Female","2.5","2","1086","2.42","2.58","1","1","3","4"
"2005","(3b) higher tertiary education","Male","2.9","3","1426","2.82","2.98","1","2","4","5"
"2006","(0) in school","Female","","","","","","","","",""
"2006","(0) in school","Male","","","","","","","","",""
"2006","(1a) inadequately completed","Female","","","","","","","","",""
"2006","(1a) inadequately completed","Male","","","","","","","","",""
"2006","(1b) general elementary school","Female","","","","","","","","",""
"2006","(1b) general elementary school","Male","","","","","","","","",""
"2006","(1c) basic vocational qualification","Female","","","","","","","","",""
"2006","(1c) basic vocational qualification","Male","","","","","","","","",""
"2006","(2a) intermediate vocational","Female","","","","","","","","",""
"2006","(2a) intermediate vocational","Male","","","","","","","","",""
"2006","(2b) intermediate general qualification","Female","","","","","","","","",""
"2006","(2b) intermediate general qualification","Male","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Female","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Male","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Female","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Male","","","","","","","","",""
"2006","(3a) lower tertiary education","Female","","","","","","","","",""
"2006","(3a) lower tertiary education","Male","","","","","","","","",""
"2006","(3b) higher tertiary education","Female","","","","","","","","",""
"2006","(3b) higher tertiary education","Male","","","","","","","","",""
"2007","(0) in school","Female","","","","","","","","",""
"2007","(0) in school","Male","","","","","","","","",""
"2007","(1a) inadequately completed","Female","","","","","","","","",""
"2007","(1a) inadequately completed","Male","","","","","","","","",""
"2007","(1b) general elementary school","Female","","","","","","","","",""
"2007","(1b) general elementary school","Male","","","","","","","","",""
"2007","(1c) basic vocational qualification","Female","","","","","","","","",""
"2007","(1c) basic vocational qualification","Male","","","","","","","","",""
"2007","(2a) intermediate vocational","Female","","","","","","","","",""
"2007","(2a) intermediate vocational","Male","","","","","","","","",""
"2007","(2b) intermediate general qualification","Female","","","","","","","","",""
"2007","(2b) intermediate general qualification","Male","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Female","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Male","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Female","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Male","","","","","","","","",""
