"year","age_gr","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","(Married) couple without C.","2.93","3","944","1","2","4","5","7","2.83","3.03","1","7","3","3"
"2005","16-34 y.","1-pers.-HH","2.91","3","694","1","2","4","5","7","2.8","3.02","1","7","3","3"
"2005","16-34 y.","Couple + C. GT 16 ","3.22","3","1338","1","2","4","6","7","3.13","3.31","1","7","3","3"
"2005","16-34 y.","Couple + C. LE 16","3.02","3","1088","1","2","4","5","7","2.92","3.12","1","7","3","3"
"2005","16-34 y.","Couple + C. LE and GT 16","3.23","3","633","1","2","5","6","7","3.09","3.37","1","7","3","3"
"2005","16-34 y.","Single parent","3.32","3","463","1","2","4","6","7","3.17","3.47","1","7","3","3"
"2005","35-65 y.","(Married) couple without C.","2.92","3","3720","1","1","4","5","7","2.87","2.97","1","7","2","3"
"2005","35-65 y.","1-pers.-HH","2.84","2.93","1183","1","1","4","5","7","2.75","2.93","1","7","2","3"
"2005","35-65 y.","Couple + C. GT 16 ","2.99","3","2134","1","2","4","5","7","2.92","3.06","1","7","3","3"
"2005","35-65 y.","Couple + C. LE 16","2.96","3","2604","1","2","4","5","7","2.9","3.02","1","7","3","3"
"2005","35-65 y.","Couple + C. LE and GT 16","2.89","3","1062","1","2","4","5","7","2.79","2.99","1","7","2","3"
"2005","35-65 y.","Single parent","2.76","2","572","1","1","4","5","7","2.62","2.9","1","7","2","3"
"2005","66 and older","(Married) couple without C.","2.65","2","2335","1","1","4","5","7","2.58","2.72","1","7","2","2"
"2005","66 and older","1-pers.-HH","2.34","2","1074","1","1","3","5","7","2.24","2.44","1","7","2","2"
"2005","66 and older","Couple + C. GT 16 ","2.82","3","166","1","1","4","5","7","2.56","3.08","1","7","2","3"
"2005","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2005","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2005","66 and older","Single parent","2.54","2","62","1","1","4","4","5","2.19","2.89","1","5","2","3"
"2006","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2006","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2006","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2006","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2006","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2006","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
