"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","Ostdeutschland, neue Bundeslaender","Female","2.61","2","2624","1","1","4","5","2.55","2.67","2","2"
"2005","Ostdeutschland, neue Bundeslaender","Male","3.12","3","2416","1","2","4","5","3.06","3.18","3","3"
"2005","Westdeutschland, alte Bundeslaender","Female","2.65","2","8137","1","1","4","5","2.62","2.68","2","2"
"2005","Westdeutschland, alte Bundeslaender","Male","3.11","3","7455","1","2","4","6","3.07","3.15","3","3"
"2006","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2006","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2009","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2009","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2010","Ostdeutschland, neue Bundeslaender","Female","2.73","2","2146","1","1","4","5","2.66","2.8","2","2"
"2010","Ostdeutschland, neue Bundeslaender","Male","3.11","3","1982","1","2","4","6","3.04","3.18","3","3"
"2010","Westdeutschland, alte Bundeslaender","Female","2.66","2","6566","1","1","4","5","2.62","2.7","2","2"
"2010","Westdeutschland, alte Bundeslaender","Male","3.14","3","5938","1","2","4","5","3.1","3.18","3","3"
"2011","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2012","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2012","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2013","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2013","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2013","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2013","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","Female","2.41","2","2946","1","1","3","5","2.36","2.46","2","2"
"2015","Ostdeutschland, neue Bundeslaender","Male","2.86","2.45","2485","1","2","4","5","2.8","2.92","2","3"
"2015","Westdeutschland, alte Bundeslaender","Female","2.28","2","11484","1","1","3","4","2.25","2.31","2","2"
"2015","Westdeutschland, alte Bundeslaender","Male","2.73","2","9801","1","2","4","5","2.7","2.76","2","2"
"2016","Ostdeutschland, neue Bundeslaender","Female","1.66","1","266","1","1","1","4","1.47","1.85","1","1"
"2016","Ostdeutschland, neue Bundeslaender","Male","1.49","1","463","1","1","1","3","1.36","1.62","1","1"
"2016","Westdeutschland, alte Bundeslaender","Female","2.04","1","1384","1","1","3","5","1.97","2.11","1","1"
"2016","Westdeutschland, alte Bundeslaender","Male","2.01","1","2211","1","1","3","4","1.95","2.07","1","1"
"2017","Ostdeutschland, neue Bundeslaender","Female","1.55","1","123","1","1","1","2","1.28","1.82","1","1"
"2017","Ostdeutschland, neue Bundeslaender","Male","2.06","1","140","1","1","2","5","1.78","2.34","1","1"
"2017","Westdeutschland, alte Bundeslaender","Female","1.66","1","1086","1","1","1","4","1.58","1.74","1","1"
"2017","Westdeutschland, alte Bundeslaender","Male","1.69","1","1488","1","1","2","4","1.62","1.76","1","1"
"2018","Ostdeutschland, neue Bundeslaender","Female","1.4","1","31","1","1","1","1","0.82","1.98","1","1"
"2018","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2018","Westdeutschland, alte Bundeslaender","Female","1.69","1","186","1","1","1","4","1.45","1.93","1","1"
"2018","Westdeutschland, alte Bundeslaender","Male","1.81","1","178","1","1","2","4","1.58","2.04","1","1"
"2019","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2019","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2019","Westdeutschland, alte Bundeslaender","Female","1.95","1","130","1","1","3","4","1.7","2.2","1","1"
"2019","Westdeutschland, alte Bundeslaender","Male","1.8","1","122","1","1","2","4","1.5","2.1","1","1"
