"year","migback","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","2.77","2","100","2.43","3.11","1","1","4","5"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","2.85","3","2252","2.78","2.92","1","1","4","5"
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","2.98","3","35","2.43","3.53","1","2","4","5"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","3.19","3","790","3.07","3.31","1","2","4","6"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","2.86","3","4905","2.82","2.9","1","1","4","5"
"2005","no migration background","Westdeutschland, alte Bundeslaender","2.86","3","12550","2.83","2.89","1","1","4","5"
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2009","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2009","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","3.07","3","63","2.61","3.53","1","1","5","5"
"2010","direct migration background","Westdeutschland, alte Bundeslaender","2.98","3","1395","2.89","3.07","1","1","4","5"
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","2.95","3","38","2.43","3.47","1","1","4","5"
