"year","e11102","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","(Married) couple without C.","2.94","3","3526","1","2","4","5","7","2.89","2.99","1","7","3","3"
"2005","Employed","1-pers.-HH","2.84","3","1528","1","2","4","5","7","2.76","2.92","1","7","2","3"
"2005","Employed","Couple + C. GT 16 ","3.06","3","2561","1","2","4","5","7","3","3.12","1","7","3","3"
"2005","Employed","Couple + C. LE 16","3","3","3030","1","2","4","5","7","2.94","3.06","1","7","3","3"
"2005","Employed","Couple + C. LE and GT 16","2.93","3","1157","1","2","4","5","7","2.83","3.03","1","7","2","3"
"2005","Employed","Single parent","2.97","3","707","1","2","4","5","7","2.85","3.09","1","7","2","3"
"2005","Not Employed","(Married) couple without C.","2.72","2","3473","1","1","4","5","7","2.67","2.77","1","7","2","2"
"2005","Not Employed","1-pers.-HH","2.48","2","1423","1","1","3","5","7","2.4","2.56","1","7","2","2"
"2005","Not Employed","Couple + C. GT 16 ","3.1","3","1077","1","2","4","6","7","3","3.2","1","7","3","3"
"2005","Not Employed","Couple + C. LE 16","2.91","3","666","1","1","4","5","7","2.79","3.03","1","7","2","3"
"2005","Not Employed","Couple + C. LE and GT 16","3.23","3","541","1","2","4","6","7","3.08","3.38","1","7","3","3"
"2005","Not Employed","Single parent","3.06","3","390","1","2","4","5","7","2.89","3.23","1","7","3","3"
"2006","Employed","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","Employed","1-pers.-HH","","","","","","","","","","","","","",""
"2006","Employed","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","Employed","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","Employed","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","Employed","Single parent","","","","","","","","","","","","","",""
"2006","Not Employed","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","Not Employed","1-pers.-HH","","","","","","","","","","","","","",""
"2006","Not Employed","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","Not Employed","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","Not Employed","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
