"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","general elemantary","Female","2.81","2","1617","1","1","4","5","2.73","2.89","2","3"
"2005","general elemantary","Male","3.31","3","778","1","2","4","6","3.18","3.44","3","3"
"2005","higher education","Female","2.47","2","1852","1","1","3","4","2.41","2.53","2","2"
"2005","higher education","Male","2.83","3","2307","1","2","4","5","2.77","2.89","3","3"
"2005","higher vocational","Female","2.48","2","665","1","1","3","4","2.37","2.59","2","2"
"2005","higher vocational","Male","3.03","3","890","1","2","4","5","2.92","3.14","3","3"
"2005","in school","Female","2.81","2","339","1","1","4","5","2.64","2.98","2","3"
"2005","in school","Male","3.67","4","307","1","2","5","6","3.48","3.86","3","4"
"2005","inadequately","Female","2.86","3","130","1","1","4","6","2.53","3.19","2","3"
"2005","inadequately","Male","2.92","3","101","1","1","4","6","2.57","3.27","2","3"
"2005","middle vocational","Female","2.63","2","5348","1","1","4","5","2.59","2.67","2","2"
"2005","middle vocational","Male","3.17","3","4865","1","2","4","6","3.12","3.22","3","3"
"2005","vocational + Abi","Female","2.59","2","666","1","1","4","5","2.48","2.7","2","2"
"2005","vocational + Abi","Male","3.01","3","466","1","2","4","5","2.87","3.15","3","3"
"2006","general elemantary","Female","","","","","","","","","","",""
"2006","general elemantary","Male","","","","","","","","","","",""
"2006","higher education","Female","","","","","","","","","","",""
"2006","higher education","Male","","","","","","","","","","",""
"2006","higher vocational","Female","","","","","","","","","","",""
"2006","higher vocational","Male","","","","","","","","","","",""
"2006","in school","Female","","","","","","","","","","",""
"2006","in school","Male","","","","","","","","","","",""
"2006","inadequately","Female","","","","","","","","","","",""
"2006","inadequately","Male","","","","","","","","","","",""
"2006","middle vocational","Female","","","","","","","","","","",""
"2006","middle vocational","Male","","","","","","","","","","",""
"2006","vocational + Abi","Female","","","","","","","","","","",""
"2006","vocational + Abi","Male","","","","","","","","","","",""
"2007","general elemantary","Female","","","","","","","","","","",""
"2007","general elemantary","Male","","","","","","","","","","",""
"2007","higher education","Female","","","","","","","","","","",""
"2007","higher education","Male","","","","","","","","","","",""
"2007","higher vocational","Female","","","","","","","","","","",""
"2007","higher vocational","Male","","","","","","","","","","",""
"2007","in school","Female","","","","","","","","","","",""
"2007","in school","Male","","","","","","","","","","",""
"2007","inadequately","Female","","","","","","","","","","",""
"2007","inadequately","Male","","","","","","","","","","",""
"2007","middle vocational","Female","","","","","","","","","","",""
"2007","middle vocational","Male","","","","","","","","","","",""
"2007","vocational + Abi","Female","","","","","","","","","","",""
"2007","vocational + Abi","Male","","","","","","","","","","",""
"2008","general elemantary","Female","","","","","","","","","","",""
"2008","general elemantary","Male","","","","","","","","","","",""
"2008","higher education","Female","","","","","","","","","","",""
"2008","higher education","Male","","","","","","","","","","",""
"2008","higher vocational","Female","","","","","","","","","","",""
"2008","higher vocational","Male","","","","","","","","","","",""
"2008","in school","Female","","","","","","","","","","",""
"2008","in school","Male","","","","","","","","","","",""
"2008","inadequately","Female","","","","","","","","","","",""
"2008","inadequately","Male","","","","","","","","","","",""
"2008","middle vocational","Female","","","","","","","","","","",""
"2008","middle vocational","Male","","","","","","","","","","",""
"2008","vocational + Abi","Female","","","","","","","","","","",""
"2008","vocational + Abi","Male","","","","","","","","","","",""
"2009","general elemantary","Female","","","","","","","","","","",""
"2009","general elemantary","Male","","","","","","","","","","",""
"2009","higher education","Female","","","","","","","","","","",""
