"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","2.72","2","5183","1","2","4","5","2.68","2.76","2","3"
"2005","lower secondary degree","2.93","3","7054","1","1","4","5","2.89","2.97","3","3"
"2005","no degree/no degree yet","2.99","3","892","1","1","4","6","2.88","3.1","3","3"
"2005","Other degree","2.84","2","1115","1","1","4","5","2.74","2.94","2","3"
"2005","secondary school degree","2.88","3","6003","1","2","4","5","2.84","2.92","3","3"
"2006","college entrance qualification","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","",""
"2009","college entrance qualification","","","","","","","","","","",""
"2009","lower secondary degree","","","","","","","","","","",""
"2009","no degree/no degree yet","","","","","","","","","","",""
"2009","Other degree","","","","","","","","","","",""
"2009","secondary school degree","","","","","","","","","","",""
"2010","college entrance qualification","2.67","2","4657","1","2","4","5","2.63","2.71","2","2"
"2010","lower secondary degree","3","3","5340","1","2","4","5","2.95","3.05","3","3"
"2010","no degree/no degree yet","3","3","413","1","2","4","5","2.84","3.16","2","3"
"2010","Other degree","2.98","3","715","1","2","4","5","2.86","3.1","2","3"
"2010","secondary school degree","2.93","3","5039","1","2","4","5","2.89","2.97","3","3"
"2011","college entrance qualification","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","",""
"2012","college entrance qualification","","","","","","","","","","",""
"2012","lower secondary degree","","","","","","","","","","",""
"2012","no degree/no degree yet","","","","","","","","","","",""
"2012","Other degree","","","","","","","","","","",""
"2012","secondary school degree","","","","","","","","","","",""
"2013","college entrance qualification","","","","","","","","","","",""
"2013","lower secondary degree","","","","","","","","","","",""
"2013","no degree/no degree yet","","","","","","","","","","",""
"2013","Other degree","","","","","","","","","","",""
"2013","secondary school degree","","","","","","","","","","",""
"2014","college entrance qualification","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","",""
"2015","college entrance qualification","2.34","2","7211","1","1","3","4","2.31","2.37","2","2"
"2015","lower secondary degree","2.66","2","6380","1","1","4","5","2.62","2.7","2","2"
"2015","no degree/no degree yet","2.72","2","955","1","1","4","5","2.61","2.83","2","2"
"2015","Other degree","2.42","2","4015","1","1","3","5","2.37","2.47","2","2"
"2015","secondary school degree","2.56","2","7195","1","1","3","5","2.53","2.59","2","2"
"2016","college entrance qualification","","","","","","","","","","",""
"2016","lower secondary degree","3.78","3","32","1","2","7","7","3.18","4.38","1","3"
"2016","no degree/no degree yet","1.91","1","1567","1","1","2","4","1.84","1.98","1","1"
"2016","Other degree","1.9","1","2338","1","1","2","4","1.85","1.95","1","1"
"2016","secondary school degree","","","","","","","","","","",""
"2017","college entrance qualification","","","","","","","","","","",""
"2017","lower secondary degree","","","","","","","","","","",""
"2017","no degree/no degree yet","1.73","1","1232","1","1","2","4","1.64","1.82","1","1"
"2017","Other degree","1.67","1","1432","1","1","2","4","1.6","1.74","1","1"
"2017","secondary school degree","","","","","","","","","","",""
"2018","college entrance qualification","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","",""
"2018","no degree/no degree yet","1.65","1","171","1","1","1","4","1.41","1.89","1","1"
"2018","Other degree","1.54","1","176","1","1","1","4","1.32","1.76","1","1"
"2018","secondary school degree","","","","","","","","","","",""
"2019","college entrance qualification","","","","","","","","","","",""
"2019","lower secondary degree","","","","","","","","","","",""
"2019","no degree/no degree yet","1.89","1","139","1","1","3","4","1.64","2.14","1","2"
"2019","Other degree","1.92","1","88","1","1","2","4","1.59","2.25","1","1"
"2019","secondary school degree","","","","","","","","","","",""
