"year","bula_h","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","Baden-Württemberg","college entrance qualification","2.5","2","604","1","2","3","4","2.39","2.61","2","2"
"2005","Baden-Württemberg","lower secondary degree","2.9","3","857","1","2","4","5","2.79","3.01","3","3"
"2005","Baden-Württemberg","no degree/no degree yet","3.12","3","153","1","2","5","6","2.84","3.4","2","3"
"2005","Baden-Württemberg","Other degree","3.01","3","267","1","2","4","5","2.81","3.21","2","3"
"2005","Baden-Württemberg","secondary school degree","2.74","2","583","1","1","4","5","2.62","2.86","2","3"
"2005","Bavaria","college entrance qualification","2.82","3","708","1","2","4","5","2.71","2.93","2","3"
"2005","Bavaria","lower secondary degree","3.06","3","1180","1","1","4","5","2.96","3.16","3","3"
"2005","Bavaria","no degree/no degree yet","2.65","2","109","1","2","3","5","2.37","2.93","2","3"
"2005","Bavaria","Other degree","2.89","3","148","1","1","4","5","2.6","3.18","2","4"
"2005","Bavaria","secondary school degree","3.15","3","706","1","2","4","6","3.03","3.27","3","3"
"2005","Berlin","college entrance qualification","2.82","2","277","1","2","4","5","2.63","3.01","2","3"
"2005","Berlin","lower secondary degree","2.93","3","135","1","1","4","5","2.66","3.2","2","3"
"2005","Berlin","no degree/no degree yet","2.88","3","35","1","1","4","6","2.32","3.44","2","3"
"2005","Berlin","Other degree","2.77","2","32","1","1","4","5","2.07","3.47","2","4"
"2005","Berlin","secondary school degree","2.98","2","252","1","2","4","5","2.79","3.17","2","3"
"2005","Brandenburg","college entrance qualification","2.8","3","209","1","2","4","5","2.6","3","2","3"
"2005","Brandenburg","lower secondary degree","3.04","3","235","1","2","4","5","2.83","3.25","3","3"
"2005","Brandenburg","no degree/no degree yet","2.77","2","30","1","1","4","6","2.12","3.42","2","3"
"2005","Brandenburg","Other degree","","","","","","","","","","",""
"2005","Brandenburg","secondary school degree","2.96","3","388","1","2","4","5","2.79","3.13","2","3"
"2005","Bremen","college entrance qualification","2.01","1","37","1","1","2","4","1.4","2.62","1","3"
"2005","Bremen","lower secondary degree","2.6","2","44","1","1","4","4","2.1","3.1","2","3"
"2005","Bremen","no degree/no degree yet","","","","","","","","","","",""
"2005","Bremen","Other degree","","","","","","","","","","",""
"2005","Bremen","secondary school degree","2.92","2","45","1","1","4","6","2.39","3.45","2","4"
"2005","Hamburg","college entrance qualification","2.89","2","108","1","2","4","7","2.61","3.17","2","2"
"2005","Hamburg","lower secondary degree","2.8","2","70","1","2","4","5","2.44","3.16","2","3"
"2005","Hamburg","no degree/no degree yet","","","","","","","","","","",""
"2005","Hamburg","Other degree","","","","","","","","","","",""
"2005","Hamburg","secondary school degree","2.35","2","88","1","1","3","4","2.08","2.62","2","3"
"2005","Hesse","college entrance qualification","2.86","3","406","1","2","4","5","2.72","3","2","3"
"2005","Hesse","lower secondary degree","2.98","3","430","1","1","4","6","2.81","3.15","2","3"
"2005","Hesse","no degree/no degree yet","3.31","3","55","1","1","5","6","2.8","3.82","2","4"
"2005","Hesse","Other degree","2.61","2","105","1","1","4","6","2.3","2.92","2","2"
"2005","Hesse","secondary school degree","2.87","3","343","1","2","4","5","2.7","3.04","2","3"
"2005","Lower Saxony","college entrance qualification","2.57","2","403","1","1","4","4","2.44","2.7","2","3"
"2005","Lower Saxony","lower secondary degree","2.86","2","638","1","1","4","6","2.73","2.99","2","3"
"2005","Lower Saxony","no degree/no degree yet","2.48","2","82","1","1","4","4","2.12","2.84","2","3"
"2005","Lower Saxony","Other degree","2.25","2","84","1","1","3","4","1.9","2.6","2","3"
"2005","Lower Saxony","secondary school degree","2.67","2","538","1","1","4","5","2.53","2.81","2","3"
"2005","Mecklenburg-Western Pomerania","college entrance qualification","2.87","3","95","1","2","4","5","2.58","3.16","2","3"
"2005","Mecklenburg-Western Pomerania","lower secondary degree","3.13","3","131","1","2","4","6","2.81","3.45","2","3"
"2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","","","","","","","","",""
"2005","Mecklenburg-Western Pomerania","Other degree","","","","","","","","","","",""
"2005","Mecklenburg-Western Pomerania","secondary school degree","2.58","2","235","1","1","4","5","2.37","2.79","2","3"
"2005","North Rhine-Westphalia","college entrance qualification","2.83","2","1239","1","2","4","5","2.75","2.91","2","3"
"2005","North Rhine-Westphalia","lower secondary degree","3.05","3","1544","1","1","4","6","2.96","3.14","3","3"
