"year","education","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","direct migration background","2.75","2","265","2.55","2.95","1","1","4","5"
"2005","college entrance qualification","indirect migration background","2.84","3","197","2.63","3.05","1","2","4","5"
"2005","college entrance qualification","no migration background","2.71","2","4721","2.67","2.75","1","2","4","5"
"2005","lower secondary degree","direct migration background","2.99","3","594","2.85","3.13","1","1","4","5"
"2005","lower secondary degree","indirect migration background","3.25","3","251","3.03","3.47","1","2","5","6"
"2005","lower secondary degree","no migration background","2.91","3","6209","2.87","2.95","1","1","4","5"
"2005","no degree/no degree yet","direct migration background","2.7","3","214","2.47","2.93","1","1","4","5"
"2005","no degree/no degree yet","indirect migration background","3.51","3","96","3.17","3.85","1","2","5","6"
"2005","no degree/no degree yet","no migration background","3.04","3","582","2.9","3.18","1","1","4","6"
"2005","Other degree","direct migration background","2.83","2","989","2.72","2.94","1","1","4","5"
"2005","Other degree","indirect migration background","","","","","","","","",""
"2005","Other degree","no migration background","2.85","2","109","2.5","3.2","1","1","4","6"
"2005","secondary school degree","direct migration background","2.76","3","240","2.55","2.97","1","1","4","5"
"2005","secondary school degree","indirect migration background","3.01","3","202","2.79","3.23","1","2","4","5"
"2005","secondary school degree","no migration background","2.88","3","5561","2.84","2.92","1","2","4","5"
"2006","college entrance qualification","direct migration background","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","",""
