"year","age_gr","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","Female","2.83","3","2765","2.77","2.89","1","2","4","5"
"2005","16-34 y.","Male","3.31","3","2540","3.25","3.37","1","2","4","6"
"2005","35-65 y.","Female","2.69","2","5958","2.65","2.73","1","1","4","5"
"2005","35-65 y.","Male","3.14","3","5608","3.1","3.18","1","2","4","6"
"2005","66 and older","Female","2.35","2","2038","2.28","2.42","1","1","3","5"
"2005","66 and older","Male","2.77","2","1723","2.69","2.85","1","1","4","5"
"2006","16-34 y.","Female","","","","","","","","",""
"2006","16-34 y.","Male","","","","","","","","",""
"2006","35-65 y.","Female","","","","","","","","",""
"2006","35-65 y.","Male","","","","","","","","",""
"2006","66 and older","Female","","","","","","","","",""
"2006","66 and older","Male","","","","","","","","",""
"2007","16-34 y.","Female","","","","","","","","",""
"2007","16-34 y.","Male","","","","","","","","",""
"2007","35-65 y.","Female","","","","","","","","",""
"2007","35-65 y.","Male","","","","","","","","",""
"2007","66 and older","Female","","","","","","","","",""
"2007","66 and older","Male","","","","","","","","",""
"2008","16-34 y.","Female","","","","","","","","",""
"2008","16-34 y.","Male","","","","","","","","",""
"2008","35-65 y.","Female","","","","","","","","",""
"2008","35-65 y.","Male","","","","","","","","",""
"2008","66 and older","Female","","","","","","","","",""
"2008","66 and older","Male","","","","","","","","",""
"2009","16-34 y.","Female","","","","","","","","",""
"2009","16-34 y.","Male","","","","","","","","",""
"2009","35-65 y.","Female","","","","","","","","",""
"2009","35-65 y.","Male","","","","","","","","",""
"2009","66 and older","Female","","","","","","","","",""
"2009","66 and older","Male","","","","","","","","",""
"2010","16-34 y.","Female","2.79","3","1853","2.72","2.86","1","2","4","5"
"2010","16-34 y.","Male","3.19","3","1714","3.12","3.26","1","2","4","5"
"2010","35-65 y.","Female","2.71","2","4753","2.67","2.75","1","1","4","5"
"2010","35-65 y.","Male","3.21","3","4295","3.16","3.26","1","2","4","6"
"2010","66 and older","Female","2.54","2","2106","2.47","2.61","1","1","4","5"
"2010","66 and older","Male","2.9","3","1911","2.83","2.97","1","2","4","5"
"2011","16-34 y.","Female","","","","","","","","",""
"2011","16-34 y.","Male","","","","","","","","",""
"2011","35-65 y.","Female","","","","","","","","",""
"2011","35-65 y.","Male","","","","","","","","",""
"2011","66 and older","Female","","","","","","","","",""
"2011","66 and older","Male","","","","","","","","",""
"2012","16-34 y.","Female","","","","","","","","",""
"2012","16-34 y.","Male","","","","","","","","",""
"2012","35-65 y.","Female","","","","","","","","",""
"2012","35-65 y.","Male","","","","","","","","",""
"2012","66 and older","Female","","","","","","","","",""
"2012","66 and older","Male","","","","","","","","",""
"2013","16-34 y.","Female","","","","","","","","",""
"2013","16-34 y.","Male","","","","","","","","",""
"2013","35-65 y.","Female","","","","","","","","",""
"2013","35-65 y.","Male","","","","","","","","",""
"2013","66 and older","Female","","","","","","","","",""
"2013","66 and older","Male","","","","","","","","",""
"2014","16-34 y.","Female","","","","","","","","",""
"2014","16-34 y.","Male","","","","","","","","",""
"2014","35-65 y.","Female","","","","","","","","",""
"2014","35-65 y.","Male","","","","","","","","",""
"2014","66 and older","Female","","","","","","","","",""
"2014","66 and older","Male","","","","","","","","",""
"2015","16-34 y.","Female","2.27","2","3606","2.22","2.32","1","1","3","4"
"2015","16-34 y.","Male","2.76","2","3035","2.7","2.82","1","2","4","5"
"2015","35-65 y.","Female","2.33","2","8296","2.3","2.36","1","1","3","4"
"2015","35-65 y.","Male","2.79","2","6845","2.75","2.83","1","2","4","5"
"2015","66 and older","Female","2.29","2","2528","2.23","2.35","1","1","3","4"
"2015","66 and older","Male","2.64","2","2406","2.58","2.7","1","1","4","5"
"2016","16-34 y.","Female","2.12","1","927","2.03","2.21","1","1","3","5"
"2016","16-34 y.","Male","1.97","1","1532","1.9","2.04","1","1","3","4"
"2016","35-65 y.","Female","1.66","1","706","1.58","1.74","1","1","2","3"
"2016","35-65 y.","Male","1.83","1","1131","1.76","1.9","1","1","2","4"
"2016","66 and older","Female","","","","","","","","",""
"2016","66 and older","Male","","","","","","","","",""
"2017","16-34 y.","Female","1.74","1","752","1.63","1.85","1","1","2","4"
"2017","16-34 y.","Male","1.8","1","1088","1.71","1.89","1","1","2","4"
"2017","35-65 y.","Female","1.46","1","435","1.35","1.57","1","1","1","2"
"2017","35-65 y.","Male","1.54","1","526","1.43","1.65","1","1","1","3"
"2017","66 and older","Female","","","","","","","","",""
"2017","66 and older","Male","","","","","","","","",""
"2018","16-34 y.","Female","1.56","1","140","1.29","1.83","1","1","1","4"
"2018","16-34 y.","Male","1.97","1","108","1.63","2.31","1","1","2","5"
"2018","35-65 y.","Female","1.76","1","76","1.37","2.15","1","1","1","6"
"2018","35-65 y.","Male","1.45","1","83","1.17","1.73","1","1","1","2"
"2018","66 and older","Female","","","","","","","","",""
"2018","66 and older","Male","","","","","","","","",""
"2019","16-34 y.","Female","1.88","1","73","1.5","2.26","1","1","3","3"
"2019","16-34 y.","Male","1.88","1","73","1.45","2.31","1","1","2","5"
"2019","35-65 y.","Female","1.93","1","66","1.67","2.19","1","1","3","5"
"2019","35-65 y.","Male","2.02","1","57","1.56","2.48","1","1","3","4"
"2019","66 and older","Female","","","","","","","","",""
"2019","66 and older","Male","","","","","","","","",""
