"plh0226","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","West Germany","249","0.0442613544245963","0.0389424425024645","0.049580266346728","1"
"1 Strongly disagree","2005","Not Employed","East Germany","73","0.0386643580891031","0.0304185852194579","0.0469101309587482","1"
"1 Strongly disagree","2005","Employed","West Germany","290","0.0312471915643085","0.0278189286535117","0.0346754544751052","1"
"1 Strongly disagree","2005","Employed","East Germany","65","0.0263608800695269","0.0205757826071891","0.0321459775318647","1"
"2 on scale 1-7 ","2005","Not Employed","East Germany","154","0.0729744275606067","0.0618502055064962","0.0840986496147173","2"
"2 on scale 1-7 ","2005","Employed","West Germany","636","0.0704227468784151","0.0653812284101151","0.075464265346715","2"
"2 on scale 1-7 ","2005","Employed","East Germany","180","0.0641959002961724","0.0553451958508763","0.0730466047414684","2"
"2 on scale 1-7 ","2005","Not Employed","West Germany","468","0.0814828171797538","0.0744079623016574","0.0885576720578502","2"
"3 on scale 1-7 ","2005","Not Employed","East Germany","331","0.154268806075075","0.138820044253952","0.169717567896197","3"
"3 on scale 1-7 ","2005","Employed","West Germany","1243","0.124681031271183","0.118171563203426","0.131190499338939","3"
"3 on scale 1-7 ","2005","Employed","East Germany","395","0.134291056069044","0.121978698585861","0.146603413552227","3"
"3 on scale 1-7 ","2005","Not Employed","West Germany","740","0.137007075884471","0.128114737279952","0.14589941448899","3"
"4 on scale 1-7","2005","Employed","East Germany","712","0.242318080250319","0.226845309476556","0.257790851024081","4"
"4 on scale 1-7","2005","Not Employed","East Germany","504","0.238168447678817","0.219950056012147","0.256386839345487","4"
"4 on scale 1-7","2005","Employed","West Germany","2288","0.231588274633114","0.223276047283152","0.239900501983076","4"
"4 on scale 1-7","2005","Not Employed","West Germany","1415","0.239297498271132","0.228263894679969","0.250331101862295","4"
"5 on scale 1-7","2005","Employed","West Germany","2405","0.23824016572518","0.229845978257718","0.246634353192642","5"
"5 on scale 1-7","2005","Not Employed","East Germany","479","0.223605621947185","0.205785076451295","0.241426167443075","5"
"5 on scale 1-7","2005","Not Employed","West Germany","1317","0.227149934933064","0.216314538443263","0.237985331422865","5"
"5 on scale 1-7","2005","Employed","East Germany","730","0.242557208143932","0.227079247755061","0.258035168532802","5"
