"plh0226","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","107","0.036460594381062","0.0297014852589144","0.0432197035032096","1"
"1 Strongly disagree","2005","(Married) couple without C. ","226","0.0329297160434132","0.028753747048875","0.0371056850379515","1"
"1 Strongly disagree","2005","Single parent ","49","0.0508713868094653","0.0378861142426937","0.0638566593762369","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","120","0.0364605509188212","0.0304276722413139","0.0424934295963285","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","105","0.0282561508611267","0.022878989407942","0.0336333123143114","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","43","0.030314015323169","0.0221711348636271","0.0384568957827109","1"
"2 on scale 1-7 ","2005","Single parent ","83","0.0731835758600098","0.057792980430723","0.0885741712892966","2"
"2 on scale 1-7 ","2005","1-pers.-HH","225","0.0844252374966827","0.0743992791140727","0.0944511958792926","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","103","0.0714219086563573","0.0591908032350445","0.0836530140776701","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","506","0.0763023453521983","0.0700898208090917","0.082514869895305","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","258","0.0687303079601121","0.0605872015908539","0.0768734143293703","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","218","0.0565954540187808","0.0490971951019609","0.0640937129356007","2"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","457","0.127409059197285","0.116589086110123","0.138229032284447","3"
"3 on scale 1-7 ","2005","1-pers.-HH","350","0.122388381167088","0.110569833180867","0.134206929153309","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","504","0.135751444704541","0.124726668318783","0.146776221090299","3"
"3 on scale 1-7 ","2005","Single parent ","140","0.134863850160654","0.114678245876292","0.155049454445016","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","948","0.133359042261354","0.125403586000665","0.141314498522043","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","242","0.159198963043083","0.141822655135787","0.176575270950379","3"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","398","0.224432160308044","0.204617199943652","0.244247120672436","4"
"4 on scale 1-7","2005","(Married) couple without C. ","1675","0.235332773537359","0.225405918077838","0.245259628996881","4"
"4 on scale 1-7","2005","Single parent ","289","0.254086453551663","0.228359595433669","0.279813311669657","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","868","0.239722201996819","0.225868655730642","0.253575748262996","4"
"4 on scale 1-7","2005","1-pers.-HH","678","0.227791146131491","0.212666728752695","0.242915563510287","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","883","0.243325125702723","0.229514086337487","0.257136165067959","4"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","413","0.239612603824352","0.219339835789432","0.259885371859272","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","904","0.238009739540288","0.22430249051047","0.251716988570106","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","947","0.265159197600303","0.250834988383421","0.279483406817184","5"
"5 on scale 1-7","2005","1-pers.-HH","686","0.231525185149174","0.21631421951617","0.246736150782179","5"
"5 on scale 1-7","2005","(Married) couple without C. ","1640","0.226876906583107","0.217076282707429","0.236677530458784","5"
"5 on scale 1-7","2005","Single parent ","219","0.194784012324581","0.171380308316306","0.218187716332857","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","356","0.174924777761885","0.156881592640062","0.192967962883709","6"
"6 on scale 1-7","2005","Single parent ","201","0.177548331103414","0.154966183655726","0.200130478551102","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","759","0.191020907344453","0.178264458937257","0.203777355751649","6"
"6 on scale 1-7","2005","1-pers.-HH","579","0.18523218245568","0.171222831968268","0.199241532943093","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","701","0.183914894499561","0.171445240438714","0.196384548560408","6"
"6 on scale 1-7","2005","(Married) couple without C. ","1339","0.197632429132103","0.188313842620542","0.206951015643664","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","148","0.100095571083109","0.085841254748648","0.114349887417571","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","294","0.091837028981233","0.082465477742643","0.101208580219823","7"
"7 Strongly agree","2005","Single parent ","119","0.114662390190213","0.0958338477924872","0.133490932587938","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","338","0.0938079366739532","0.0844235013145068","0.1031923720334","7"
"7 Strongly agree","2005","1-pers.-HH","329","0.112177273218822","0.100796849972595","0.123557696465049","7"
"7 Strongly agree","2005","(Married) couple without C. ","681","0.0975667870904655","0.0906230576481603","0.104510516532771","7"
"1 Strongly disagree","2006","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","Single parent ","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","","","","","1"
"2 on scale 1-7 ","2006","1-pers.-HH","","","","","2"
