"plh0226","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","58","0.0486527552369346","0.0366393538078116","0.0606661566660575"
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","107","0.0333558906230716","0.0269218044776754","0.0397899767684678"
"1 Strongly disagree","2005","lower secondary degree","Single parent ","20","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","37","0.0367945276231284","0.0247147662368075","0.0488742890094493"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","33","0.0366809854292988","0.0248757629494438","0.0484862079091539"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","17","","",""
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","28","","",""
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","53","0.0366191635739875","0.0279350146180088","0.0453033125299662"
"1 Strongly disagree","2005","secondary school degree","Single parent ","14","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","47","0.0425902054869445","0.0318542138771665","0.0533261970967224"
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","29","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","11","","",""
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","12","","",""
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","42","0.0227032808955916","0.0156963027615769","0.0297102590296063"
"1 Strongly disagree","2005","college entrance qualification","Single parent ","4","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","26","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","14","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","Other degree","1-pers.-HH","6","","",""
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","17","","",""
"1 Strongly disagree","2005","Other degree","Single parent ","4","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","8","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. GT 16 ","12","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE and GT 16","3","","",""
"1 Strongly disagree","2005","no degree/no degree yet","1-pers.-HH","2","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(Married) couple without C. ","4","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Single parent ","4","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. GT 16 ","10","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE and GT 16","9","","",""
"2 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","89","0.0763459003399126","0.0615176373915111","0.0911741632883141"
"2 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","230","0.0804547972741867","0.070708720900049","0.0902008736483245"
"2 on scale 1-7 ","2005","lower secondary degree","Single parent ","25","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE 16 ","57","0.0681284162806037","0.0519606713039289","0.0842961612572786"
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. GT 16 ","54","0.0690815137929791","0.0531555632481156","0.0850074643378425"
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE and GT 16","32","0.0645852821787017","0.0401598548546532","0.0890107095027503"
"2 on scale 1-7 ","2005","secondary school degree","1-pers.-HH","63","0.0810040595720267","0.0617075984114457","0.100300520732608"
"2 on scale 1-7 ","2005","secondary school degree","(Married) couple without C. ","121","0.0649090914160951","0.0535183043152829","0.0762998785169073"
"2 on scale 1-7 ","2005","secondary school degree","Single parent ","24","","",""
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. LE 16 ","94","0.0619697022574116","0.0491512231337263","0.0747881813810968"
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. GT 16 ","58","0.0388764900148361","0.0275202743148184","0.0502327057148538"
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. LE and GT 16","31","0.0929252422361553","0.0674773697154807","0.11837311475683"
"2 on scale 1-7 ","2005","college entrance qualification","1-pers.-HH","55","0.0907339512160356","0.0706410031345021","0.110826899297569"
"2 on scale 1-7 ","2005","college entrance qualification","(Married) couple without C. ","122","0.0693970921748576","0.0574427393421161","0.0813514450075992"
"2 on scale 1-7 ","2005","college entrance qualification","Single parent ","20","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE 16 ","78","0.0719171143939533","0.0569984013602444","0.0868358274276621"
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. GT 16 ","61","0.0478933283881882","0.0339267431328809","0.0618599136434955"
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE and GT 16","17","","",""
"2 on scale 1-7 ","2005","Other degree","1-pers.-HH","11","","",""
"2 on scale 1-7 ","2005","Other degree","(Married) couple without C. ","24","","",""
"2 on scale 1-7 ","2005","Other degree","Single parent ","5","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. LE 16 ","21","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. GT 16 ","11","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. LE and GT 16","7","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","1-pers.-HH","3","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","(Married) couple without C. ","6","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Single parent ","6","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE 16 ","6","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. GT 16 ","26","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE and GT 16","13","","",""
"3 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","149","0.122880510016173","0.104548350803427","0.141212669228919"
"3 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","389","0.128069286758714","0.116095520397268","0.140043053120161"
"3 on scale 1-7 ","2005","lower secondary degree","Single parent ","37","0.128874010225468","0.0935181262211601","0.164229894229776"
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE 16 ","127","0.135096432358612","0.113162674052616","0.157030190664608"
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. GT 16 ","139","0.128050696791907","0.107065878979191","0.149035514604623"
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE and GT 16","57","0.145485723267912","0.110447414082855","0.180524032452968"
"3 on scale 1-7 ","2005","secondary school degree","1-pers.-HH","93","0.125030799081386","0.101638529115246","0.148423069047527"
"3 on scale 1-7 ","2005","secondary school degree","(Married) couple without C. ","239","0.135384090667429","0.119565438379956","0.151202742954902"
"3 on scale 1-7 ","2005","secondary school degree","Single parent ","36","0.0904779174470062","0.0603816041351059","0.120574230758907"
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. LE 16 ","178","0.11881250916467","0.101609532184795","0.136015486144546"
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. GT 16 ","139","0.125776383586382","0.106295379934087","0.145257387238678"
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. LE and GT 16","69","0.158821211186346","0.126783498879679","0.190858923493013"
"3 on scale 1-7 ","2005","college entrance qualification","1-pers.-HH","88","0.11416367686501","0.0919175720763766","0.136409781653644"
"3 on scale 1-7 ","2005","college entrance qualification","(Married) couple without C. ","242","0.144122889253922","0.12760154363578","0.160644234872065"
"3 on scale 1-7 ","2005","college entrance qualification","Single parent ","34","0.232111931000227","0.171763378377312","0.292460483623141"
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE 16 ","170","0.152063516222946","0.131327943905654","0.172799088540239"
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. GT 16 ","99","0.100568017189753","0.0808971262859704","0.120238908093535"
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE and GT 16","48","0.201693403460974","0.158465437546456","0.244921369375492"
"3 on scale 1-7 ","2005","Other degree","1-pers.-HH","10","","",""
"3 on scale 1-7 ","2005","Other degree","(Married) couple without C. ","54","0.101803839501447","0.0698953519425145","0.133712327060378"
"3 on scale 1-7 ","2005","Other degree","Single parent ","9","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. LE 16 ","19","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. GT 16 ","28","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. LE and GT 16","22","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","1-pers.-HH","4","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","(Married) couple without C. ","14","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Single parent ","16","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE 16 ","8","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. GT 16 ","35","0.119753759834588","0.0833165730005574","0.15619094666862"
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE and GT 16","37","0.138816161494336","0.0986040505479053","0.179028272440766"
"4 on scale 1-7","2005","lower secondary degree","1-pers.-HH","293","0.231092189303923","0.207554029507004","0.254630349100841"
"4 on scale 1-7","2005","lower secondary degree","(Married) couple without C. ","753","0.245572217241798","0.230149327675801","0.260995106807795"
"4 on scale 1-7","2005","lower secondary degree","Single parent ","90","0.236062224274334","0.191251621710951","0.280872826837717"
"4 on scale 1-7","2005","lower secondary degree","Couple + C. LE 16 ","223","0.252155337083275","0.224291106788935","0.280019567377616"
"4 on scale 1-7","2005","lower secondary degree","Couple + C. GT 16 ","227","0.227340462497918","0.201019542383934","0.253661382611902"
"4 on scale 1-7","2005","lower secondary degree","Couple + C. LE and GT 16","87","0.198057478923698","0.158453343724978","0.237661614122418"
"4 on scale 1-7","2005","secondary school degree","1-pers.-HH","179","0.226188625167208","0.196600297729755","0.255776952604661"
"4 on scale 1-7","2005","secondary school degree","(Married) couple without C. ","418","0.22879508023438","0.209373601708152","0.248216558760607"
"4 on scale 1-7","2005","secondary school degree","Single parent ","97","0.288508049658812","0.240974599250873","0.336041500066751"
"4 on scale 1-7","2005","secondary school degree","Couple + C. LE 16 ","322","0.25113708845181","0.228080505124131","0.27419367177949"
"4 on scale 1-7","2005","secondary school degree","Couple + C. GT 16 ","256","0.242158911618443","0.216991427057203","0.267326396179682"
