"plh0226","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","224","0.0260728246482722","0.0229316283868088","0.0292140209097357"
"1 Strongly disagree","2005","Female","453","0.0443917446331217","0.0405069552098096","0.0482765340564338"
"2 on scale 1-7 ","2005","Male","543","0.0636206591902958","0.0588093553731977","0.0684319630073939"
"2 on scale 1-7 ","2005","Female","895","0.0828333612282122","0.0776345601975652","0.0880321622588593"
"3 on scale 1-7 ","2005","Male","1162","0.12108890263437","0.114658140680662","0.127519664588078"
"3 on scale 1-7 ","2005","Female","1547","0.142396722058621","0.135805443870513","0.148988000246728"
"4 on scale 1-7","2005","Male","2215","0.222894521299853","0.214690486946871","0.231098555652836"
"4 on scale 1-7","2005","Female","2704","0.247699869803359","0.239557798767186","0.255841940839533"
"5 on scale 1-7","2005","Male","2439","0.236301293217164","0.227927314268925","0.244675272165403"
"5 on scale 1-7","2005","Female","2492","0.231676082439025","0.223718352320196","0.239633812557855"
"6 on scale 1-7","2005","Male","2237","0.219571200115137","0.211411163272861","0.227731236957413"
"6 on scale 1-7","2005","Female","1810","0.159540022294082","0.152633335335094","0.166446709253071"
"7 Strongly agree","2005","Male","1066","0.110450598894908","0.104271760147878","0.116629437641938"
"7 Strongly agree","2005","Female","897","0.0914621975435785","0.0860250796936795","0.0968993153934775"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
"6 on scale 1-7","2007","Male","","","",""
"6 on scale 1-7","2007","Female","","","",""
"7 Strongly agree","2007","Male","","","",""
