"plh0226","year","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","322","0.0430823893618467","0.0385890785281356","0.0475757001955578"
"1 Strongly disagree","2005","Employed","355","0.0304224120806979","0.0274517470390452","0.0333930771223506"
"2 on scale 1-7 ","2005","Not Employed","622","0.0796905890809746","0.0736975135846811","0.0856836645772682"
"2 on scale 1-7 ","2005","Employed","816","0.0693716932740533","0.0649768351879922","0.0737665513601144"
"3 on scale 1-7 ","2005","Not Employed","1071","0.140643129152592","0.132949604751502","0.148336653553682"
"3 on scale 1-7 ","2005","Employed","1638","0.126303144658495","0.120557311023627","0.132048978293364"
"4 on scale 1-7","2005","Not Employed","1919","0.23905967227972","0.229621068421239","0.248498276138202"
"4 on scale 1-7","2005","Employed","3000","0.233399400171396","0.226082956652283","0.240715843690509"
"5 on scale 1-7","2005","Not Employed","1796","0.226403352135555","0.217141922862406","0.235664781408704"
"5 on scale 1-7","2005","Employed","3135","0.238968856071808","0.23159257518074","0.246345136962875"
"6 on scale 1-7","2005","Not Employed","1359","0.168577423274953","0.160292472911494","0.176862373638411"
"6 on scale 1-7","2005","Employed","2688","0.20212756542044","0.195181400631203","0.209073730209676"
"7 Strongly agree","2005","Not Employed","755","0.102543444714359","0.0958300842470481","0.10925680518167"
"7 Strongly agree","2005","Employed","1208","0.0994069283231098","0.0942315964199638","0.104582260226256"
"1 Strongly disagree","2006","Not Employed","","","",""
"1 Strongly disagree","2006","Employed","","","",""
"2 on scale 1-7 ","2006","Not Employed","","","",""
"2 on scale 1-7 ","2006","Employed","","","",""
"3 on scale 1-7 ","2006","Not Employed","","","",""
"3 on scale 1-7 ","2006","Employed","","","",""
"4 on scale 1-7","2006","Not Employed","","","",""
"4 on scale 1-7","2006","Employed","","","",""
"5 on scale 1-7","2006","Not Employed","","","",""
"5 on scale 1-7","2006","Employed","","","",""
"6 on scale 1-7","2006","Not Employed","","","",""
"6 on scale 1-7","2006","Employed","","","",""
"7 Strongly agree","2006","Not Employed","","","",""
"7 Strongly agree","2006","Employed","","","",""
"1 Strongly disagree","2007","Not Employed","","","",""
"1 Strongly disagree","2007","Employed","","","",""
"2 on scale 1-7 ","2007","Not Employed","","","",""
"2 on scale 1-7 ","2007","Employed","","","",""
"3 on scale 1-7 ","2007","Not Employed","","","",""
"3 on scale 1-7 ","2007","Employed","","","",""
"4 on scale 1-7","2007","Not Employed","","","",""
"4 on scale 1-7","2007","Employed","","","",""
"5 on scale 1-7","2007","Not Employed","","","",""
"5 on scale 1-7","2007","Employed","","","",""
"6 on scale 1-7","2007","Not Employed","","","",""
"6 on scale 1-7","2007","Employed","","","",""
"7 Strongly agree","2007","Not Employed","","","",""
"7 Strongly agree","2007","Employed","","","",""
"1 Strongly disagree","2008","Not Employed","","","",""
"1 Strongly disagree","2008","Employed","","","",""
"2 on scale 1-7 ","2008","Not Employed","","","",""
"2 on scale 1-7 ","2008","Employed","","","",""
"3 on scale 1-7 ","2008","Not Employed","","","",""
"3 on scale 1-7 ","2008","Employed","","","",""
"4 on scale 1-7","2008","Not Employed","","","",""
"4 on scale 1-7","2008","Employed","","","",""
"5 on scale 1-7","2008","Not Employed","","","",""
"5 on scale 1-7","2008","Employed","","","",""
"6 on scale 1-7","2008","Not Employed","","","",""
"6 on scale 1-7","2008","Employed","","","",""
"7 Strongly agree","2008","Not Employed","","","",""
"7 Strongly agree","2008","Employed","","","",""
"1 Strongly disagree","2009","Not Employed","251","0.0409453524529575","0.0362301846925591","0.0456605202133559"
"1 Strongly disagree","2009","Employed","310","0.0277636336403128","0.0247223985129698","0.0308048687676558"
