"plh0226","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","87","0.0618354641625562","0.0496140349131562","0.0740568934119562"
"1 Strongly disagree","2005","lower secondary degree","middle vocational","177","0.0365436347025877","0.0313026732611538","0.0417845961440217"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","2","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","12","","",""
"1 Strongly disagree","2005","lower secondary degree","higher education","6","","",""
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","24","","",""
"1 Strongly disagree","2005","secondary school degree","middle vocational","140","0.0386949648104307","0.0327805756511322","0.0446093539697292"
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","16","","",""
"1 Strongly disagree","2005","secondary school degree","higher education","12","","",""
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","18","","",""
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","33","0.0354095156480317","0.0236881588783805","0.0471308724176828"
"1 Strongly disagree","2005","college entrance qualification","higher vocational","6","","",""
"1 Strongly disagree","2005","college entrance qualification","higher education","43","0.0130052623231348","0.00905628958945194","0.0169542350568176"
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","5","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","14","","",""
"1 Strongly disagree","2005","Other degree","middle vocational","20","","",""
"1 Strongly disagree","2005","Other degree","vocational + Abi","8","","",""
"1 Strongly disagree","2005","Other degree","higher vocational","1","","",""
"1 Strongly disagree","2005","Other degree","higher education","4","","",""
"1 Strongly disagree","2005","no degree/no degree yet","in school","15","","",""
"1 Strongly disagree","2005","no degree/no degree yet","inadequately","18","","",""
"1 Strongly disagree","2005","no degree/no degree yet","general elemantary","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","middle vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","vocational + Abi","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher education","","","",""
