"plh0226","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","483","0.0366452228368431","0.0335146130997116","0.0397758325739747"
"1 Strongly disagree","2005","Rural Area","194","0.0330061911216693","0.0287745631529325","0.0372378190904062"
"2 on scale 1-7 ","2005","Urban Area","939","0.0723731081375961","0.0680559058566963","0.0766903104184959"
"2 on scale 1-7 ","2005","Rural Area","499","0.0760499403371831","0.0697712131265752","0.0823286675477909"
"3 on scale 1-7 ","2005","Urban Area","1808","0.134529919167271","0.128844498673158","0.140215339661385"
"3 on scale 1-7 ","2005","Rural Area","901","0.126628249126174","0.11875121370535","0.134505284546998"
"4 on scale 1-7","2005","Urban Area","3272","0.234784306191123","0.227721885454844","0.241846726927401"
"4 on scale 1-7","2005","Rural Area","1647","0.237640011647771","0.22755821909526","0.247721804200283"
"5 on scale 1-7","2005","Urban Area","3321","0.231537829647044","0.224509544937","0.238566114357088"
"5 on scale 1-7","2005","Rural Area","1610","0.239174758716835","0.229070648950516","0.249278868483154"
"6 on scale 1-7","2005","Urban Area","2671","0.187704714885305","0.181198600752409","0.194210829018201"
"6 on scale 1-7","2005","Rural Area","1376","0.190713533706255","0.181408031368519","0.200019036043991"
"7 Strongly agree","2005","Urban Area","1343","0.102424899134818","0.0973728764578566","0.107476921811779"
"7 Strongly agree","2005","Rural Area","620","0.0967873153441122","0.089784024496701","0.103790606191524"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
