"plh0226","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","West Germany","539","0.0363172789535092","0.0333851627793845","0.0392493951276339","1"
"1 Strongly disagree","2005","East Germany","138","0.031972884693126","0.0271187799895516","0.0368269893967004","1"
"2 on scale 1-7 ","2005","East Germany","334","0.0682000636325891","0.0612445661768662","0.0751555610883121","2"
"2 on scale 1-7 ","2005","West Germany","1104","0.074731554410677","0.0706101676630134","0.0788529411583405","2"
"3 on scale 1-7 ","2005","West Germany","1983","0.129483039976887","0.124221019320888","0.134745060632886","3"
"3 on scale 1-7 ","2005","East Germany","726","0.143403538346378","0.133733180624441","0.153073896068314","3"
"4 on scale 1-7","2005","East Germany","1216","0.240425301871681","0.228634324720397","0.252216279022964","4"
"4 on scale 1-7","2005","West Germany","3703","0.234591651643779","0.227950240592725","0.241233062694834","4"
"5 on scale 1-7","2005","West Germany","3722","0.233919608199808","0.2272848060943","0.240554410305316","5"
"5 on scale 1-7","2005","East Germany","1209","0.233912791565835","0.2222328529771","0.24559273015457","5"
"6 on scale 1-7","2005","East Germany","1012","0.193722296494781","0.182817775389321","0.20462681760024","6"
"6 on scale 1-7","2005","West Germany","3035","0.187484834128252","0.181367583192508","0.193602085063995","6"
"7 Strongly agree","2005","East Germany","411","0.088363123395611","0.0805320563989278","0.0961941903922942","7"
"7 Strongly agree","2005","West Germany","1552","0.103472032687087","0.0986983791226563","0.108245686251519","7"
"1 Strongly disagree","2006","West Germany","","","","","1"
"1 Strongly disagree","2006","East Germany","","","","","1"
"2 on scale 1-7 ","2006","West Germany","","","","","2"
"2 on scale 1-7 ","2006","East Germany","","","","","2"
"3 on scale 1-7 ","2006","East Germany","","","","","3"
"3 on scale 1-7 ","2006","West Germany","","","","","3"
"4 on scale 1-7","2006","West Germany","","","","","4"
"4 on scale 1-7","2006","East Germany","","","","","4"
"5 on scale 1-7","2006","East Germany","","","","","5"
"5 on scale 1-7","2006","West Germany","","","","","5"
"6 on scale 1-7","2006","East Germany","","","","","6"
