"plh0039","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","2008","16-34 y.","in school","92","0.31997234034925","0.271311428136422","0.368633252562078"
"Big worries","2008","16-34 y.","inadequately","14","","",""
"Big worries","2008","16-34 y.","general elemantary","193","0.33233495025047","0.295226732513219","0.369443167987721"
"Big worries","2008","16-34 y.","middle vocational","537","0.281086518266354","0.261350807867962","0.300822228664746"
"Big worries","2008","16-34 y.","vocational + Abi","93","0.255889363007369","0.211841759081805","0.299936966932934"
"Big worries","2008","16-34 y.","higher vocational","45","0.317819732970912","0.235864393411858","0.399775072529965"
"Big worries","2008","16-34 y.","higher education","113","0.230925999371789","0.19508159968902","0.266770399054558"
"Big worries","2008","35-65 y.","in school","","","",""
"Big worries","2008","35-65 y.","inadequately","35","0.421358927881959","0.322066297252959","0.520651558510958"
"Big worries","2008","35-65 y.","general elemantary","280","0.426670134286714","0.389191527594755","0.464148740978674"
"Big worries","2008","35-65 y.","middle vocational","2094","0.387112062234423","0.374235672547578","0.399988451921267"
"Big worries","2008","35-65 y.","vocational + Abi","200","0.312853368424866","0.276119428741932","0.3495873081078"
"Big worries","2008","35-65 y.","higher vocational","317","0.357153675057565","0.327046305371809","0.387261044743321"
"Big worries","2008","35-65 y.","higher education","742","0.250068486130961","0.234002460433148","0.266134511828774"
"Big worries","2008","66 and older","in school","","","",""
"Big worries","2008","66 and older","inadequately","17","","",""
"Big worries","2008","66 and older","general elemantary","316","0.440548906318788","0.404609224242117","0.476488588395459"
"Big worries","2008","66 and older","middle vocational","1077","0.485966087393195","0.46530061094458","0.50663156384181"
"Big worries","2008","66 and older","vocational + Abi","50","0.42931423441441","0.336815048040781","0.521813420788039"
"Big worries","2008","66 and older","higher vocational","162","0.506988622404782","0.451952726889003","0.562024517920561"
"Big worries","2008","66 and older","higher education","382","0.430219370136064","0.397395393468807","0.463043346803321"
"Some worries","2008","16-34 y.","in school","193","0.507188922381396","0.455035135400197","0.559342709362596"
"Some worries","2008","16-34 y.","inadequately","24","","",""
"Some worries","2008","16-34 y.","general elemantary","292","0.457637376188268","0.41839020257026","0.496884549806276"
"Some worries","2008","16-34 y.","middle vocational","1077","0.538061001473932","0.51617318121198","0.559948821735883"
"Some worries","2008","16-34 y.","vocational + Abi","219","0.588064215736163","0.538381588610288","0.637746842862038"
"Some worries","2008","16-34 y.","higher vocational","64","0.538114320460237","0.450365402055272","0.625863238865202"
"Some worries","2008","16-34 y.","higher education","302","0.531748636742172","0.489306860802987","0.574190412681358"
"Some worries","2008","35-65 y.","in school","","","",""
"Some worries","2008","35-65 y.","inadequately","40","0.434115376739857","0.334448047785072","0.533782705694642"
"Some worries","2008","35-65 y.","general elemantary","307","0.44775183215961","0.410070967513159","0.48543269680606"
"Some worries","2008","35-65 y.","middle vocational","2726","0.495004306419096","0.481787286380062","0.50822132645813"
"Some worries","2008","35-65 y.","vocational + Abi","320","0.533180818835525","0.493654717035529","0.572706920635522"
"Some worries","2008","35-65 y.","higher vocational","524","0.49745431766502","0.466037944543539","0.528870690786501"
"Some worries","2008","35-65 y.","higher education","1568","0.553298243762593","0.5348541785706","0.571742308954586"
"Some worries","2008","66 and older","in school","","","",""
"Some worries","2008","66 and older","inadequately","15","","",""
"Some worries","2008","66 and older","general elemantary","321","0.437125716334417","0.401216577851238","0.473034854817596"
"Some worries","2008","66 and older","middle vocational","960","0.425395419003136","0.404953225204733","0.445837612801539"
"Some worries","2008","66 and older","vocational + Abi","51","0.511330879077879","0.41791725807353","0.604744500082228"
"Some worries","2008","66 and older","higher vocational","129","0.417408474116037","0.36312330783826","0.471693640393814"
"Some worries","2008","66 and older","higher education","400","0.451209545043821","0.418219357198473","0.484199732889168"
"No worries","2008","16-34 y.","in school","68","0.172838737269354","0.133395152842567","0.21228232169614"
"No worries","2008","16-34 y.","inadequately","10","","",""
"No worries","2008","16-34 y.","general elemantary","134","0.210027673561262","0.177939354573199","0.242115992549326"
"No worries","2008","16-34 y.","middle vocational","379","0.180852480259714","0.163954385679807","0.197750574839621"
"No worries","2008","16-34 y.","vocational + Abi","65","0.156046421256467","0.119414170614787","0.192678671898148"
"No worries","2008","16-34 y.","higher vocational","15","","",""
"No worries","2008","16-34 y.","higher education","116","0.237325363886038","0.201139198817479","0.273511528954597"
"No worries","2008","35-65 y.","in school","","","",""
"No worries","2008","35-65 y.","inadequately","20","","",""
"No worries","2008","35-65 y.","general elemantary","82","0.125578033553676","0.100467704684045","0.150688362423307"
"No worries","2008","35-65 y.","middle vocational","677","0.117883631346481","0.109359013561078","0.126408249131884"
"No worries","2008","35-65 y.","vocational + Abi","92","0.153965812739609","0.125371577498858","0.182560047980359"
"No worries","2008","35-65 y.","higher vocational","132","0.145392007277415","0.123243451529146","0.167540563025684"
"No worries","2008","35-65 y.","higher education","481","0.196633270106446","0.181887970722144","0.211378569490748"
"No worries","2008","66 and older","in school","","","",""
"No worries","2008","66 and older","inadequately","9","","",""
"No worries","2008","66 and older","general elemantary","96","0.122325377346795","0.0986050238781125","0.146045730815477"
"No worries","2008","66 and older","middle vocational","210","0.0886384936036692","0.0768867291330541","0.100390258074284"
"No worries","2008","66 and older","vocational + Abi","9","","",""
"No worries","2008","66 and older","higher vocational","26","","",""
"No worries","2008","66 and older","higher education","92","0.118571084820115","0.097138457217683","0.140003712422548"
"Big worries","2009","16-34 y.","in school","72","0.267407669004964","0.217977642206242","0.316837695803685"
"Big worries","2009","16-34 y.","inadequately","14","","",""
"Big worries","2009","16-34 y.","general elemantary","155","0.310441829012298","0.271633285768632","0.349250372255964"
"Big worries","2009","16-34 y.","middle vocational","465","0.267092639677575","0.246607704685896","0.287577574669255"
"Big worries","2009","16-34 y.","vocational + Abi","78","0.246787632280317","0.200824442785233","0.292750821775402"
"Big worries","2009","16-34 y.","higher vocational","32","0.216398494487187","0.139093137431952","0.293703851542421"
"Big worries","2009","16-34 y.","higher education","84","0.155744392166022","0.125132026347873","0.18635675798417"
"Big worries","2009","35-65 y.","in school","","","",""
"Big worries","2009","35-65 y.","inadequately","38","0.466654871997002","0.359968114413006","0.573341629580999"
"Big worries","2009","35-65 y.","general elemantary","241","0.416341838308065","0.376361544931401","0.456322131684729"
"Big worries","2009","35-65 y.","middle vocational","1859","0.385443696689956","0.37208884170509","0.398798551674821"
"Big worries","2009","35-65 y.","vocational + Abi","173","0.293330319052771","0.255888181897613","0.330772456207929"
"Big worries","2009","35-65 y.","higher vocational","291","0.361675968166424","0.330319636736912","0.393032299595936"
"Big worries","2009","35-65 y.","higher education","650","0.257909684411156","0.241122677914942","0.27469669090737"
"Big worries","2009","66 and older","in school","","","",""
"Big worries","2009","66 and older","inadequately","14","","",""
"Big worries","2009","66 and older","general elemantary","273","0.416931080250479","0.379343926294165","0.454518234206793"
"Big worries","2009","66 and older","middle vocational","1013","0.462725670247964","0.441766303199719","0.483685037296209"
"Big worries","2009","66 and older","vocational + Abi","48","0.554273879467973","0.455359718167445","0.6531880407685"
"Big worries","2009","66 and older","higher vocational","154","0.471782263716941","0.416915186502318","0.526649340931565"
"Big worries","2009","66 and older","higher education","356","0.423532948536968","0.391015450188068","0.456050446885869"
"Some worries","2009","16-34 y.","in school","169","0.512627463747016","0.456805617791478","0.568449309702554"
"Some worries","2009","16-34 y.","inadequately","17","","",""
"Some worries","2009","16-34 y.","general elemantary","267","0.462028988090665","0.420210741496854","0.503847234684477"
"Some worries","2009","16-34 y.","middle vocational","952","0.535654473090882","0.512563507746895","0.55874543843487"
"Some worries","2009","16-34 y.","vocational + Abi","196","0.545825263220842","0.492745614030011","0.598904912411673"
"Some worries","2009","16-34 y.","higher vocational","60","0.608499049620887","0.5168704172323","0.700127682009474"
"Some worries","2009","16-34 y.","higher education","338","0.614845163321388","0.573762908985744","0.655927417657031"
"Some worries","2009","35-65 y.","in school","","","",""
"Some worries","2009","35-65 y.","inadequately","34","0.382045623364709","0.278138751944309","0.485952494785109"
"Some worries","2009","35-65 y.","general elemantary","268","0.447583800157909","0.40725530190664","0.487912298409178"
"Some worries","2009","35-65 y.","middle vocational","2621","0.505058712758024","0.491339612200171","0.518777813315878"
"Some worries","2009","35-65 y.","vocational + Abi","322","0.585434826654759","0.544920408333689","0.625949244975829"
"Some worries","2009","35-65 y.","higher vocational","487","0.501101362420439","0.468471610419885","0.533731114420993"
"Some worries","2009","35-65 y.","higher education","1482","0.563803482011119","0.544774479407339","0.582832484614899"
"Some worries","2009","66 and older","in school","","","",""
"Some worries","2009","66 and older","inadequately","21","","",""
"Some worries","2009","66 and older","general elemantary","311","0.476616648542835","0.438541472724325","0.514691824361344"
"Some worries","2009","66 and older","middle vocational","948","0.43819403039344","0.417337372175456","0.459050688611423"
