"plh0039","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2008","1-pers.-HH","in school","","","","","1"
"Big worries","2008","1-pers.-HH","inadequately","10","","","","1"
"Big worries","2008","1-pers.-HH","general elemantary","155","0.393880368336022","0.346057320851779","0.441703415820266","1"
"Big worries","2008","1-pers.-HH","middle vocational","623","0.380749655769644","0.356784230921146","0.404715080618142","1"
"Big worries","2008","1-pers.-HH","vocational + Abi","71","0.400156951532199","0.329558329429939","0.470755573634459","1"
"Big worries","2008","1-pers.-HH","higher vocational","84","0.429044741681948","0.359036397328801","0.499053086035094","1"
"Big worries","2008","1-pers.-HH","higher education","181","0.296383148139874","0.260350151716961","0.332416144562786","1"
"Big worries","2008","(Married) couple without C. ","in school","","","","","1"
"Big worries","2008","(Married) couple without C. ","inadequately","21","","","","1"
"Big worries","2008","(Married) couple without C. ","general elemantary","278","0.468213944844718","0.428968167518334","0.507459722171101","1"
"Big worries","2008","(Married) couple without C. ","middle vocational","1624","0.448042865204615","0.432043046098461","0.464042684310769","1"
"Big worries","2008","(Married) couple without C. ","vocational + Abi","95","0.285701522361785","0.23549454963087","0.335908495092699","1"
"Big worries","2008","(Married) couple without C. ","higher vocational","226","0.419996129225157","0.378597128388795","0.461395130061518","1"
"Big worries","2008","(Married) couple without C. ","higher education","568","0.306748161912344","0.285349472987922","0.328146850836766","1"
"Big worries","2008","Single parent ","in school","12","","","","1"
"Big worries","2008","Single parent ","inadequately","6","","","","1"
"Big worries","2008","Single parent ","general elemantary","69","0.373747266411671","0.303843108366203","0.44365142445714","1"
"Big worries","2008","Single parent ","middle vocational","171","0.324470583547186","0.284724505211063","0.36421666188331","1"
"Big worries","2008","Single parent ","vocational + Abi","14","","","","1"
"Big worries","2008","Single parent ","higher vocational","9","","","","1"
"Big worries","2008","Single parent ","higher education","37","0.247502162320291","0.178439297673498","0.316565026967084","1"
"Big worries","2008","Couple + C. LE 16 ","in school","","","","","1"
"Big worries","2008","Couple + C. LE 16 ","inadequately","9","","","","1"
"Big worries","2008","Couple + C. LE 16 ","general elemantary","84","0.397797457120596","0.331282591599297","0.464312322641896","1"
"Big worries","2008","Couple + C. LE 16 ","middle vocational","540","0.361209920538237","0.337195612702629","0.385224228373844","1"
"Big worries","2008","Couple + C. LE 16 ","vocational + Abi","93","0.267257108436819","0.218619191057526","0.315895025816111","1"
"Big worries","2008","Couple + C. LE 16 ","higher vocational","103","0.36118860167902","0.308559440465626","0.413817762892414","1"
"Big worries","2008","Couple + C. LE 16 ","higher education","203","0.252067000220206","0.221497623504701","0.282636376935712","1"
"Big worries","2008","Couple + C. GT 16 ","in school","45","0.350579719706764","0.275942649568124","0.425216789845404","1"
"Big worries","2008","Couple + C. GT 16 ","inadequately","14","","","","1"
"Big worries","2008","Couple + C. GT 16 ","general elemantary","126","0.360979656167796","0.313004496144626","0.408954816190967","1"
"Big worries","2008","Couple + C. GT 16 ","middle vocational","534","0.335767418413489","0.313245124104052","0.358289712722926","1"
"Big worries","2008","Couple + C. GT 16 ","vocational + Abi","46","0.326926434808784","0.251606273218687","0.402246596398881","1"
"Big worries","2008","Couple + C. GT 16 ","higher vocational","65","0.337422239050041","0.271227216523533","0.40361726157655","1"
"Big worries","2008","Couple + C. GT 16 ","higher education","182","0.276407594249606","0.24077131205776","0.312043876441452","1"
"Big worries","2008","Couple + C. LE and GT 16","in school","34","0.34320737989118","0.261592592068852","0.424822167713509","1"
"Big worries","2008","Couple + C. LE and GT 16","inadequately","3","","","","1"
"Big worries","2008","Couple + C. LE and GT 16","general elemantary","57","0.375140817611392","0.297138865487975","0.453142769734809","1"
"Big worries","2008","Couple + C. LE and GT 16","middle vocational","157","0.312703846844421","0.271697987895547","0.353709705793295","1"
"Big worries","2008","Couple + C. LE and GT 16","vocational + Abi","18","","","","1"
"Big worries","2008","Couple + C. LE and GT 16","higher vocational","24","","","","1"
"Big worries","2008","Couple + C. LE and GT 16","higher education","50","0.199374171657706","0.145719500741165","0.253028842574247","1"
"No worries","2008","Couple + C. GT 16 ","higher vocational","25","","","","3"
"No worries","2008","Couple + C. GT 16 ","in school","25","","","","3"
"No worries","2008","Couple + C. GT 16 ","inadequately","6","","","","3"
"No worries","2008","Couple + C. GT 16 ","general elemantary","66","0.18826793683924","0.149218726281555","0.227317147396925","3"
"No worries","2008","Couple + C. GT 16 ","middle vocational","243","0.1291139421265","0.113122025908551","0.14510585834445","3"
"No worries","2008","Couple + C. GT 16 ","vocational + Abi","20","","","","3"
"No worries","2008","Couple + C. GT 16 ","higher education","96","0.161510616739043","0.132186852072777","0.190834381405309","3"
"No worries","2008","Couple + C. LE and GT 16","in school","30","0.152916964667624","0.0910487987737037","0.214785130561545","3"
"No worries","2008","Couple + C. LE and GT 16","inadequately","4","","","","3"
"No worries","2008","Couple + C. LE and GT 16","general elemantary","21","","","","3"
"No worries","2008","Couple + C. LE and GT 16","middle vocational","69","0.147449568794119","0.116088624028487","0.178810513559752","3"
"No worries","2008","Couple + C. LE and GT 16","vocational + Abi","9","","","","3"
"No worries","2008","Couple + C. LE and GT 16","higher vocational","12","","","","3"
"No worries","2008","Couple + C. LE and GT 16","higher education","40","0.216779218012698","0.161443033188903","0.272115402836494","3"
"No worries","2008","Single parent ","higher vocational","9","","","","3"
"No worries","2008","Single parent ","higher education","34","0.226441780127084","0.159464540562897","0.293419019691271","3"
"No worries","2008","Couple + C. LE 16 ","in school","","","","","3"
"No worries","2008","Couple + C. LE 16 ","inadequately","4","","","","3"
"No worries","2008","Couple + C. LE 16 ","general elemantary","41","0.203990490786106","0.149228337960573","0.25875264361164","3"
"No worries","2008","Couple + C. LE 16 ","middle vocational","193","0.120242088438623","0.10398207114417","0.136502105733077","3"
"No worries","2008","Couple + C. LE 16 ","vocational + Abi","59","0.166987657358778","0.125995343312195","0.207979971405362","3"
"No worries","2008","Couple + C. LE 16 ","higher vocational","35","0.0975328654147389","0.0650268085214594","0.130038922308018","3"
"No worries","2008","Couple + C. LE 16 ","higher education","125","0.180362116479382","0.15329257416743","0.207431658791333","3"
"No worries","2008","Single parent ","in school","11","","","","3"
"No worries","2008","Single parent ","inadequately","6","","","","3"
"No worries","2008","Single parent ","general elemantary","31","0.168110186384934","0.114075940146226","0.222144432623642","3"
"No worries","2008","Single parent ","middle vocational","86","0.186326463082128","0.153270725480509","0.219382200683747","3"
"No worries","2008","Single parent ","vocational + Abi","7","","","","3"
"No worries","2008","1-pers.-HH","higher vocational","23","","","","3"
"No worries","2008","1-pers.-HH","higher education","129","0.221183277963305","0.188434184105624","0.253932371820985","3"
"No worries","2008","(Married) couple without C. ","in school","","","","","3"
"No worries","2008","(Married) couple without C. ","inadequately","11","","","","3"
"No worries","2008","(Married) couple without C. ","general elemantary","67","0.110157358634304","0.0855329587891937","0.134781758479414","3"
"No worries","2008","(Married) couple without C. ","middle vocational","398","0.08841340212865","0.0792794100453907","0.0975473942119092","3"
"No worries","2008","(Married) couple without C. ","vocational + Abi","48","0.169721875910836","0.128001462246518","0.211442289575153","3"
"No worries","2008","(Married) couple without C. ","higher vocational","64","0.116428114532057","0.08952505664194","0.143331172422175","3"
"No worries","2008","(Married) couple without C. ","higher education","256","0.168242148025222","0.150883474988773","0.18560082106167","3"
"No worries","2008","1-pers.-HH","in school","2","","","","3"
"No worries","2008","1-pers.-HH","inadequately","6","","","","3"
"No worries","2008","1-pers.-HH","general elemantary","60","0.133867026610187","0.100539352996609","0.167194700223764","3"
"No worries","2008","1-pers.-HH","middle vocational","245","0.158065882257595","0.140060996560507","0.176070767954684","3"
"No worries","2008","1-pers.-HH","vocational + Abi","20","","","","3"
"Some worries","2008","Couple + C. GT 16 ","higher vocational","106","0.525604244370747","0.455697370024194","0.5955111187173","2"
