"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","general elemantary","4.45","4","565","2","4","5","7","4.32","4.58","4","4"
"2005","direct migration background","higher education","5","5","336","3","4","6","7","4.84","5.16","5","5"
"2005","direct migration background","higher vocational","5.01","5","132","3","4","6","7","4.73","5.29","5","5"
"2005","direct migration background","in school","5.35","5","55","4","4","7","7","4.97","5.73","5","6"
"2005","direct migration background","inadequately","4.14","4","145","2","3","5","7","3.86","4.42","4","4"
"2005","direct migration background","middle vocational","4.68","5","865","2","4","6","7","4.57","4.79","4","5"
"2005","direct migration background","vocational + Abi","4.68","5","215","3","3","6","7","4.48","4.88","4","5"
"2005","indirect migration background","general elemantary","5.36","5","182","3","4","7","7","5.13","5.59","5","5"
"2005","indirect migration background","higher education","5.2","5","69","3","4","6","7","4.85","5.55","5","6"
"2005","indirect migration background","higher vocational","4.68","5","41","2","4","6","6","4.18","5.18","4","6"
"2005","indirect migration background","in school","5.2","5","90","3","4","6","7","4.93","5.47","5","5"
"2005","indirect migration background","inadequately","","","","","","","","","","",""
"2005","indirect migration background","middle vocational","4.94","5","336","3","4","6","7","4.79","5.09","5","5"
"2005","indirect migration background","vocational + Abi","5.06","5","46","3","4","7","7","4.62","5.5","4","6"
"2005","no migration background","general elemantary","4.57","5","1645","2","3","6","7","4.49","4.65","5","5"
"2005","no migration background","higher education","4.99","5","3761","3","4","6","7","4.95","5.03","5","5"
"2005","no migration background","higher vocational","4.76","5","1382","3","4","6","7","4.68","4.84","5","5"
"2005","no migration background","in school","5.44","6","505","3","5","7","7","5.32","5.56","5","6"
"2005","no migration background","inadequately","4.77","5","81","2","3","6","7","4.35","5.19","4","5"
"2005","no migration background","middle vocational","4.73","5","9030","3","4","6","7","4.7","4.76","5","5"
"2005","no migration background","vocational + Abi","5.03","5","869","3","4","6","7","4.93","5.13","5","5"
"2006","direct migration background","general elemantary","","","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","","","",""
"2006","indirect migration background","in school","","","","","","","","","","",""
"2006","indirect migration background","inadequately","","","","","","","","","","",""
"2006","indirect migration background","middle vocational","","","","","","","","","","",""
"2006","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2006","no migration background","general elemantary","","","","","","","","","","",""
"2006","no migration background","higher education","","","","","","","","","","",""
"2006","no migration background","higher vocational","","","","","","","","","","",""
"2006","no migration background","in school","","","","","","","","","","",""
"2006","no migration background","inadequately","","","","","","","","","","",""
"2006","no migration background","middle vocational","","","","","","","","","","",""
"2006","no migration background","vocational + Abi","","","","","","","","","","",""
"2007","direct migration background","general elemantary","","","","","","","","","","",""
"2007","direct migration background","higher education","","","","","","","","","","",""
"2007","direct migration background","higher vocational","","","","","","","","","","",""
"2007","direct migration background","in school","","","","","","","","","","",""
"2007","direct migration background","inadequately","","","","","","","","","","",""
"2007","direct migration background","middle vocational","","","","","","","","","","",""
"2007","direct migration background","vocational + Abi","","","","","","","","","","",""
"2007","indirect migration background","general elemantary","","","","","","","","","","",""
"2007","indirect migration background","higher education","","","","","","","","","","",""
"2007","indirect migration background","higher vocational","","","","","","","","","","",""
"2007","indirect migration background","in school","","","","","","","","","","",""
"2007","indirect migration background","inadequately","","","","","","","","","","",""
"2007","indirect migration background","middle vocational","","","","","","","","","","",""
"2007","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2007","no migration background","general elemantary","","","","","","","","","","",""
"2007","no migration background","higher education","","","","","","","","","","",""
"2007","no migration background","higher vocational","","","","","","","","","","",""
"2007","no migration background","in school","","","","","","","","","","",""
"2007","no migration background","inadequately","","","","","","","","","","",""
"2007","no migration background","middle vocational","","","","","","","","","","",""
"2007","no migration background","vocational + Abi","","","","","","","","","","",""
"2008","direct migration background","general elemantary","","","","","","","","","","",""
"2008","direct migration background","higher education","","","","","","","","","","",""
"2008","direct migration background","higher vocational","","","","","","","","","","",""
"2008","direct migration background","in school","","","","","","","","","","",""
"2008","direct migration background","inadequately","","","","","","","","","","",""
"2008","direct migration background","middle vocational","","","","","","","","","","",""
"2008","direct migration background","vocational + Abi","","","","","","","","","","",""
"2008","indirect migration background","general elemantary","","","","","","","","","","",""
"2008","indirect migration background","higher education","","","","","","","","","","",""
"2008","indirect migration background","higher vocational","","","","","","","","","","",""
"2008","indirect migration background","in school","","","","","","","","","","",""
"2008","indirect migration background","inadequately","","","","","","","","","","",""
"2008","indirect migration background","middle vocational","","","","","","","","","","",""
"2008","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2008","no migration background","general elemantary","","","","","","","","","","",""
"2008","no migration background","higher education","","","","","","","","","","",""
"2008","no migration background","higher vocational","","","","","","","","","","",""
"2008","no migration background","in school","","","","","","","","","","",""
"2008","no migration background","inadequately","","","","","","","","","","",""
