"ple0022","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Not Employed","no migration background","1745","0.268185682172515","0.257855445941092","0.278515918403938"
"Yes","2011","Not Employed","direct migration background","212","0.255517513139827","0.226282545826749","0.284752480452904"
"Yes","2011","Not Employed","indirect migration background","14","","",""
"Yes","2011","Employed","no migration background","1481","0.138567459871927","0.132103966523091","0.145030953220763"
"Yes","2011","Employed","direct migration background","164","0.138634151321211","0.118790843618975","0.158477459023447"
"Yes","2011","Employed","indirect migration background","54","0.0675962248004566","0.0470404423629352","0.0881520072379779"
"No","2011","Not Employed","no migration background","5320","0.731814317827485","0.721484081596062","0.742144554058908"
"No","2011","Not Employed","direct migration background","643","0.744482486860173","0.715247519547096","0.773717454173251"
"No","2011","Not Employed","indirect migration background","212","0.956773717568189","0.930259889653355","0.983287545483024"
"No","2011","Employed","no migration background","9495","0.861432540128073","0.854969046779237","0.867896033476909"
"No","2011","Employed","direct migration background","1001","0.861365848678789","0.841522540976553","0.881209156381025"
"No","2011","Employed","indirect migration background","519","0.932403775199543","0.911847992762022","0.952959557637065"
"Yes","2012","Not Employed","no migration background","","","",""
"Yes","2012","Not Employed","direct migration background","","","",""
"Yes","2012","Not Employed","indirect migration background","","","",""
"Yes","2012","Employed","no migration background","","","",""
"Yes","2012","Employed","direct migration background","","","",""
"Yes","2012","Employed","indirect migration background","","","",""
"No","2012","Not Employed","no migration background","","","",""
"No","2012","Not Employed","direct migration background","","","",""
"No","2012","Not Employed","indirect migration background","","","",""
"No","2012","Employed","no migration background","","","",""
"No","2012","Employed","direct migration background","","","",""
"No","2012","Employed","indirect migration background","","","",""
"Yes","2013","Not Employed","no migration background","1650","0.267067535785688","0.256335866378213","0.277799205193163"
"Yes","2013","Not Employed","direct migration background","172","0.291053887630384","0.256987110122266","0.325120665138501"
"Yes","2013","Not Employed","indirect migration background","14","","",""
"Yes","2013","Employed","no migration background","1370","0.141281167573597","0.13446460766561","0.148097727481584"
"Yes","2013","Employed","direct migration background","163","0.173718421917354","0.15038758374963","0.197049260085079"
"Yes","2013","Employed","indirect migration background","45","0.0788480614905911","0.0563658153839513","0.101330307597231"
"No","2013","Not Employed","no migration background","4879","0.732932464214312","0.722200794806837","0.743664133621787"
"No","2013","Not Employed","direct migration background","511","0.708946112369616","0.674879334861499","0.743012889877734"
"No","2013","Not Employed","indirect migration background","150","0.875022326995494","0.824410507397025","0.925634146593962"
"No","2013","Employed","no migration background","8660","0.858718832426403","0.851902272518416","0.86553539233439"
