"ple0022","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","no migration background","1553","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","97","1","1","1"
"Yes","2011","lower secondary degree","indirect migration background","24","","",""
"Yes","2011","secondary school degree","no migration background","947","1","1","1"
"Yes","2011","secondary school degree","direct migration background","27","","",""
"Yes","2011","secondary school degree","indirect migration background","14","","",""
"Yes","2011","college entrance qualification","no migration background","630","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","23","","",""
"Yes","2011","college entrance qualification","indirect migration background","20","","",""
"Yes","2011","Other degree","no migration background","32","1","1","1"
"Yes","2011","Other degree","direct migration background","184","1","1","1"
"Yes","2011","Other degree","indirect migration background","2","","",""
"Yes","2011","no degree/no degree yet","no migration background","40","1","1","1"
"Yes","2011","no degree/no degree yet","direct migration background","38","1","1","1"
"Yes","2011","no degree/no degree yet","indirect migration background","3","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","1401","1","1","1"
"Yes","2013","lower secondary degree","direct migration background","63","1","1","1"
"Yes","2013","lower secondary degree","indirect migration background","24","","",""
"Yes","2013","secondary school degree","no migration background","911","1","1","1"
"Yes","2013","secondary school degree","direct migration background","27","","",""
"Yes","2013","secondary school degree","indirect migration background","14","","",""
"Yes","2013","college entrance qualification","no migration background","620","1","1","1"
"Yes","2013","college entrance qualification","direct migration background","23","","",""
"Yes","2013","college entrance qualification","indirect migration background","17","","",""
"Yes","2013","Other degree","no migration background","34","1","1","1"
"Yes","2013","Other degree","direct migration background","183","1","1","1"
"Yes","2013","Other degree","indirect migration background","1","","",""
"Yes","2013","no degree/no degree yet","no migration background","37","1","1","1"
"Yes","2013","no degree/no degree yet","direct migration background","28","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2014","lower secondary degree","no migration background","","","",""
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","","","",""
"Yes","2014","secondary school degree","no migration background","","","",""
"Yes","2014","secondary school degree","direct migration background","","","",""
"Yes","2014","secondary school degree","indirect migration background","","","",""
"Yes","2014","college entrance qualification","no migration background","","","",""
"Yes","2014","college entrance qualification","direct migration background","","","",""
"Yes","2014","college entrance qualification","indirect migration background","","","",""
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","","","",""
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"Yes","2015","lower secondary degree","no migration background","1373","1","1","1"
"Yes","2015","lower secondary degree","direct migration background","93","1","1","1"
"Yes","2015","lower secondary degree","indirect migration background","49","1","1","1"
"Yes","2015","secondary school degree","no migration background","1113","1","1","1"
"Yes","2015","secondary school degree","direct migration background","47","1","1","1"
"Yes","2015","secondary school degree","indirect migration background","42","1","1","1"
"Yes","2015","college entrance qualification","no migration background","694","1","1","1"
"Yes","2015","college entrance qualification","direct migration background","35","1","1","1"
"Yes","2015","college entrance qualification","indirect migration background","37","1","1","1"
"Yes","2015","Other degree","no migration background","33","1","1","1"
"Yes","2015","Other degree","direct migration background","434","1","1","1"
"Yes","2015","Other degree","indirect migration background","7","","",""
"Yes","2015","no degree/no degree yet","no migration background","48","1","1","1"
"Yes","2015","no degree/no degree yet","direct migration background","54","1","1","1"
"Yes","2015","no degree/no degree yet","indirect migration background","8","","",""
"Yes","2016","lower secondary degree","no migration background","","","",""
"Yes","2016","lower secondary degree","direct migration background","","","",""
"Yes","2016","lower secondary degree","indirect migration background","","","",""
"Yes","2016","secondary school degree","no migration background","","","",""
"Yes","2016","secondary school degree","direct migration background","","","",""
"Yes","2016","secondary school degree","indirect migration background","","","",""
"Yes","2016","college entrance qualification","no migration background","","","",""
"Yes","2016","college entrance qualification","direct migration background","","","",""
"Yes","2016","college entrance qualification","indirect migration background","","","",""
"Yes","2016","Other degree","no migration background","","","",""
"Yes","2016","Other degree","direct migration background","","","",""
"Yes","2016","Other degree","indirect migration background","","","",""
"Yes","2016","no degree/no degree yet","no migration background","","","",""
"Yes","2016","no degree/no degree yet","direct migration background","","","",""
"Yes","2016","no degree/no degree yet","indirect migration background","","","",""
"Yes","2017","lower secondary degree","no migration background","1258","1","1","1"
"Yes","2017","lower secondary degree","direct migration background","81","1","1","1"
"Yes","2017","lower secondary degree","indirect migration background","54","1","1","1"
"Yes","2017","secondary school degree","no migration background","1150","1","1","1"
"Yes","2017","secondary school degree","direct migration background","37","1","1","1"
"Yes","2017","secondary school degree","indirect migration background","42","1","1","1"
"Yes","2017","college entrance qualification","no migration background","733","1","1","1"
"Yes","2017","college entrance qualification","direct migration background","37","1","1","1"
"Yes","2017","college entrance qualification","indirect migration background","50","1","1","1"
"Yes","2017","Other degree","no migration background","37","1","1","1"
"Yes","2017","Other degree","direct migration background","455","1","1","1"
"Yes","2017","Other degree","indirect migration background","5","","",""
"Yes","2017","no degree/no degree yet","no migration background","52","1","1","1"
"Yes","2017","no degree/no degree yet","direct migration background","53","1","1","1"
"Yes","2017","no degree/no degree yet","indirect migration background","6","","",""
"Yes","2018","lower secondary degree","no migration background","","","",""
"Yes","2018","lower secondary degree","direct migration background","","","",""
"Yes","2018","lower secondary degree","indirect migration background","","","",""
"Yes","2018","secondary school degree","no migration background","","","",""
"Yes","2018","secondary school degree","direct migration background","","","",""
