"ple0022","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2011","16-34 y.","no migration background","3255","0.946497333038445","0.938950989487543","0.954043676589347","2"
"No","2011","16-34 y.","indirect migration background","500","0.978500140008727","0.966057541107294","0.990942738910159","2"
"No","2011","35-65 y.","no migration background","8080","0.811606246822274","0.803889228806997","0.819323264837551","2"
"No","2011","35-65 y.","direct migration background","963","0.779019848607998","0.755823317459821","0.802216379756174","2"
"No","2011","66 and older","no migration background","3480","0.712426724533966","0.699570964458081","0.72528248460985","2"
"No","2011","66 and older","direct migration background","321","0.754498761050493","0.713436016334963","0.795561505766022","2"
"No","2011","66 and older","indirect migration background","4","","","","2"
"No","2011","16-34 y.","direct migration background","360","0.987711291857243","0.976470341438074","0.998952242276412","2"
"No","2011","35-65 y.","indirect migration background","227","0.824553022267532","0.779268928059416","0.869837116475648","2"
"Yes","2011","16-34 y.","no migration background","161","0.0535026669615551","0.0459563234106535","0.0610490105124568","1"
"Yes","2011","16-34 y.","direct migration background","9","","","","1"
"Yes","2011","16-34 y.","indirect migration background","22","","","","1"
"Yes","2011","35-65 y.","no migration background","1783","0.188393753177726","0.180676735162449","0.196110771193003","1"
"Yes","2011","35-65 y.","direct migration background","266","0.220980151392002","0.197783620243826","0.244176682540179","1"
"Yes","2011","35-65 y.","indirect migration background","44","0.175446977732468","0.130162883524352","0.220731071940584","1"
"Yes","2011","66 and older","no migration background","1282","0.287573275466034","0.27471751539015","0.300429035541919","1"
"Yes","2011","66 and older","direct migration background","101","0.245501238949507","0.204438494233978","0.286563983665037","1"
"Yes","2011","66 and older","indirect migration background","2","","","","1"
"No","2012","16-34 y.","no migration background","","","","","2"
"No","2012","16-34 y.","direct migration background","","","","","2"
"No","2012","16-34 y.","indirect migration background","","","","","2"
"No","2012","35-65 y.","no migration background","","","","","2"
"No","2012","35-65 y.","direct migration background","","","","","2"
"No","2012","66 and older","no migration background","","","","","2"
"No","2012","66 and older","direct migration background","","","","","2"
"No","2012","66 and older","indirect migration background","","","","","2"
"No","2012","35-65 y.","indirect migration background","","","","","2"
"Yes","2012","16-34 y.","no migration background","","","","","1"
"Yes","2012","16-34 y.","direct migration background","","","","","1"
"Yes","2012","16-34 y.","indirect migration background","","","","","1"
"Yes","2012","35-65 y.","no migration background","","","","","1"
"Yes","2012","35-65 y.","direct migration background","","","","","1"
"Yes","2012","35-65 y.","indirect migration background","","","","","1"
"Yes","2012","66 and older","no migration background","","","","","1"
"Yes","2012","66 and older","direct migration background","","","","","1"
"Yes","2012","66 and older","indirect migration background","","","","","1"
"No","2013","16-34 y.","no migration background","2844","0.948487671716132","0.940575354109512","0.956399989322752","2"
"No","2013","16-34 y.","indirect migration background","410","0.952886397451093","0.932742321666247","0.973030473235939","2"
"No","2013","35-65 y.","no migration background","7301","0.805077288255422","0.796865658845461","0.813288917665383","2"
"No","2013","35-65 y.","direct migration background","805","0.740211160616924","0.713482580973898","0.76693974025995","2"
"No","2013","16-34 y.","direct migration background","272","0.978366004168849","0.961504973353722","0.995227034983977","2"
"No","2013","35-65 y.","indirect migration background","243","0.839897054215444","0.797398146827399","0.882395961603489","2"
"No","2013","66 and older","no migration background","3394","0.722560121619381","0.709650855789183","0.735469387449579","2"
"No","2013","66 and older","direct migration background","284","0.730086157310688","0.685216391304263","0.774955923317114","2"
"No","2013","66 and older","indirect migration background","4","","","","2"
"Yes","2013","16-34 y.","no migration background","154","0.0515123282838679","0.0436000106772483","0.0594246458904876","1"
"Yes","2013","16-34 y.","direct migration background","14","","","","1"
"Yes","2013","16-34 y.","indirect migration background","15","","","","1"
"Yes","2013","35-65 y.","no migration background","1639","0.194922711744578","0.186711082334617","0.203134341154539","1"
"Yes","2013","35-65 y.","direct migration background","229","0.259788839383076","0.23306025974005","0.286517419026102","1"
"Yes","2013","35-65 y.","indirect migration background","43","0.160102945784556","0.117604038396511","0.202601853172601","1"
"Yes","2013","66 and older","no migration background","1227","0.277439878380619","0.264530612550421","0.290349144210817","1"
"Yes","2013","66 and older","direct migration background","92","0.269913842689312","0.225044076682886","0.314783608695737","1"
"Yes","2013","66 and older","indirect migration background","1","","","","1"
"No","2014","16-34 y.","no migration background","","","","","2"
"No","2014","16-34 y.","direct migration background","","","","","2"
"No","2014","16-34 y.","indirect migration background","","","","","2"
"No","2014","35-65 y.","no migration background","","","","","2"
"No","2014","35-65 y.","direct migration background","","","","","2"
"No","2014","35-65 y.","indirect migration background","","","","","2"
"No","2014","66 and older","no migration background","","","","","2"
"No","2014","66 and older","direct migration background","","","","","2"
"No","2014","66 and older","indirect migration background","","","","","2"
"Yes","2014","16-34 y.","no migration background","","","","","1"
"Yes","2014","16-34 y.","direct migration background","","","","","1"
"Yes","2014","16-34 y.","indirect migration background","","","","","1"
"Yes","2014","35-65 y.","no migration background","","","","","1"
"Yes","2014","35-65 y.","direct migration background","","","","","1"
"Yes","2014","66 and older","indirect migration background","","","","","1"
"Yes","2014","35-65 y.","indirect migration background","","","","","1"
"Yes","2014","66 and older","no migration background","","","","","1"
"Yes","2014","66 and older","direct migration background","","","","","1"
"No","2015","16-34 y.","indirect migration background","913","0.958156967409781","0.945477668397328","0.970836266422234","2"
"No","2015","35-65 y.","no migration background","9105","0.817349510374071","0.81011751571411","0.824581505034031","2"
"No","2015","16-34 y.","direct migration background","1025","0.951003062179124","0.938129117450292","0.963877006907957","2"
"No","2015","16-34 y.","no migration background","3528","0.945692476869216","0.938421676200426","0.952963277538005","2"
"No","2015","35-65 y.","direct migration background","2296","0.793510541657493","0.778554683510189","0.808466399804797","2"
"No","2015","35-65 y.","indirect migration background","566","0.857255988459354","0.830768248613121","0.883743728305587","2"
"No","2015","66 and older","no migration background","3283","0.715329277190528","0.70217244539192","0.728486108989135","2"
"No","2015","66 and older","direct migration background","312","0.73701034236236","0.69525228567553","0.778768399049191","2"
"No","2015","66 and older","indirect migration background","4","","","","2"
"Yes","2015","16-34 y.","no migration background","204","0.0543075231307841","0.0470367224619946","0.0615783237995737","1"
"Yes","2015","16-34 y.","direct migration background","55","0.0489969378208755","0.0361229930920427","0.0618708825497084","1"
"Yes","2015","16-34 y.","indirect migration background","45","0.041843032590219","0.0291637335777662","0.0545223316026718","1"
"Yes","2015","35-65 y.","no migration background","1860","0.182650489625929","0.175418494965969","0.18988248428589","1"
"Yes","2015","35-65 y.","direct migration background","518","0.206489458342507","0.191533600195203","0.221445316489811","1"
"Yes","2015","66 and older","indirect migration background","1","","","","1"
"Yes","2015","66 and older","direct migration background","115","0.26298965763764","0.221231600950809","0.30474771432447","1"
"Yes","2015","35-65 y.","indirect migration background","104","0.142744011540646","0.116256271694413","0.169231751386879","1"
"Yes","2015","66 and older","no migration background","1236","0.284670722809472","0.271513891010864","0.29782755460808","1"
"No","2016","16-34 y.","direct migration background","","","","","2"
"No","2016","16-34 y.","indirect migration background","","","","","2"
"No","2016","35-65 y.","no migration background","","","","","2"
"No","2016","16-34 y.","no migration background","","","","","2"
"No","2016","35-65 y.","direct migration background","","","","","2"
"No","2016","35-65 y.","indirect migration background","","","","","2"
"No","2016","66 and older","no migration background","","","","","2"
"No","2016","66 and older","direct migration background","","","","","2"
"No","2016","66 and older","indirect migration background","","","","","2"
"Yes","2016","16-34 y.","no migration background","","","","","1"
"Yes","2016","16-34 y.","direct migration background","","","","","1"
"Yes","2016","16-34 y.","indirect migration background","","","","","1"
"Yes","2016","35-65 y.","no migration background","","","","","1"
"Yes","2016","35-65 y.","direct migration background","","","","","1"
"Yes","2016","35-65 y.","indirect migration background","","","","","1"
"Yes","2016","66 and older","no migration background","","","","","1"
"Yes","2016","66 and older","direct migration background","","","","","1"
"Yes","2016","66 and older","indirect migration background","","","","","1"
"No","2017","16-34 y.","no migration background","3908","0.960696661689164","0.954745853148401","0.966647470229927","2"
"No","2017","16-34 y.","direct migration background","1111","0.941887483025376","0.92850463955572","0.955270326495032","2"
"No","2017","16-34 y.","indirect migration background","932","0.952208009608591","0.938817741979252","0.96559827723793","2"
"No","2017","35-65 y.","no migration background","9748","0.823915700688549","0.817002456462998","0.830828944914101","2"
"No","2017","35-65 y.","direct migration background","2548","0.811994855755832","0.798151260828756","0.825838450682908","2"
"No","2017","35-65 y.","indirect migration background","608","0.834583554042491","0.807518863736976","0.861648244348006","2"
"No","2017","66 and older","no migration background","3420","0.73378148060455","0.720985438288384","0.746577522920716","2"
"No","2017","66 and older","direct migration background","327","0.777780255674269","0.738667086614814","0.816893424733723","2"
"No","2017","66 and older","indirect migration background","14","","","","2"
"Yes","2017","16-34 y.","no migration background","188","0.0393033383108357","0.0333525297700729","0.0452541468515986","1"
"Yes","2017","16-34 y.","direct migration background","63","0.0581125169746242","0.0447296735049686","0.0714953604442797","1"
"Yes","2017","16-34 y.","indirect migration background","43","0.0477919903914089","0.0344017227620701","0.0611822580207478","1"
"Yes","2017","35-65 y.","no migration background","1913","0.176084299311451","0.169171055085899","0.182997543537002","1"
"Yes","2017","66 and older","direct migration background","107","0.222219744325731","0.183106575266277","0.261332913385186","1"
"Yes","2017","35-65 y.","direct migration background","512","0.188005144244168","0.174161549317093","0.201848739171244","1"
"Yes","2017","35-65 y.","indirect migration background","116","0.165416445957509","0.138351755651994","0.192481136263024","1"
"Yes","2017","66 and older","no migration background","1163","0.26621851939545","0.253422477079284","0.279014561711616","1"
"Yes","2017","66 and older","indirect migration background","2","","","","1"
"No","2018","16-34 y.","no migration background","","","","","2"
"No","2018","16-34 y.","direct migration background","","","","","2"
"No","2018","16-34 y.","indirect migration background","","","","","2"
"No","2018","35-65 y.","no migration background","","","","","2"
"No","2018","35-65 y.","direct migration background","","","","","2"
"No","2018","35-65 y.","indirect migration background","","","","","2"
"No","2018","66 and older","no migration background","","","","","2"
"No","2018","66 and older","direct migration background","","","","","2"
"No","2018","66 and older","indirect migration background","","","","","2"
"Yes","2018","35-65 y.","no migration background","","","","","1"
"Yes","2018","16-34 y.","no migration background","","","","","1"
"Yes","2018","16-34 y.","direct migration background","","","","","1"
"Yes","2018","16-34 y.","indirect migration background","","","","","1"
"Yes","2018","35-65 y.","direct migration background","","","","","1"
"Yes","2018","35-65 y.","indirect migration background","","","","","1"
"Yes","2018","66 and older","no migration background","","","","","1"
"Yes","2018","66 and older","direct migration background","","","","","1"
"Yes","2018","66 and older","indirect migration background","","","","","1"
"No","2019","16-34 y.","no migration background","3586","0.949058688388078","0.942028753554128","0.956088623222029","2"
"No","2019","16-34 y.","direct migration background","776","0.934121454215188","0.917079885741796","0.951163022688581","2"
"No","2019","16-34 y.","indirect migration background","844","0.947955580454093","0.9333134916379","0.962597669270286","2"
"No","2019","35-65 y.","no migration background","9882","0.827968235524374","0.821150305007838","0.834786166040911","2"
"No","2019","35-65 y.","direct migration background","2196","0.83456470789484","0.820323188246789","0.848806227542892","2"
"No","2019","35-65 y.","indirect migration background","667","0.855110426748241","0.830580880370461","0.879639973126021","2"
"No","2019","66 and older","no migration background","3574","0.720514839005392","0.707794767252848","0.733234910757937","2"
"No","2019","66 and older","direct migration background","327","0.767703996943389","0.727789410606828","0.80761858327995","2"
"No","2019","66 and older","indirect migration background","32","0.925750666920183","0.84010800923272","1.01139332460765","2"
"Yes","2019","35-65 y.","no migration background","1889","0.172031764475626","0.165213833959089","0.178849694992162","1"
"Yes","2019","66 and older","direct migration background","103","0.232296003056611","0.19238141672005","0.272210589393172","1"
"Yes","2019","16-34 y.","no migration background","172","0.0509413116119218","0.043911376777971","0.0579712464458725","1"
"Yes","2019","16-34 y.","direct migration background","38","0.0658785457848118","0.0488369773114194","0.0829201142582041","1"
"Yes","2019","16-34 y.","indirect migration background","40","0.0520444195459072","0.0374023307297141","0.0666865083621003","1"
"Yes","2019","35-65 y.","direct migration background","419","0.16543529210516","0.151193772457108","0.179676811753211","1"
"Yes","2019","35-65 y.","indirect migration background","124","0.144889573251759","0.120360026873979","0.169419119629539","1"
"Yes","2019","66 and older","no migration background","1207","0.279485160994608","0.266765089242063","0.292205232747152","1"
"Yes","2019","66 and older","indirect migration background","4","","","","1"
