"ple0022","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","1-pers.-HH","397","1","1","1"
"Yes","2011","lower secondary degree","(Married) couple without C. ","878","1","1","1"
"Yes","2011","lower secondary degree","Single parent ","68","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE 16 ","77","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. GT 16 ","167","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE and GT 16","50","1","1","1"
"Yes","2011","secondary school degree","1-pers.-HH","197","1","1","1"
"Yes","2011","secondary school degree","(Married) couple without C. ","445","1","1","1"
"Yes","2011","secondary school degree","Single parent ","48","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE 16 ","112","1","1","1"
"Yes","2011","secondary school degree","Couple + C. GT 16 ","131","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE and GT 16","38","1","1","1"
"Yes","2011","college entrance qualification","1-pers.-HH","120","1","1","1"
"Yes","2011","college entrance qualification","(Married) couple without C. ","320","1","1","1"
"Yes","2011","college entrance qualification","Single parent ","27","","",""
"Yes","2011","college entrance qualification","Couple + C. LE 16 ","85","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. GT 16 ","80","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. LE and GT 16","30","1","1","1"
"Yes","2011","Other degree","1-pers.-HH","42","1","1","1"
"Yes","2011","Other degree","(Married) couple without C. ","90","1","1","1"
"Yes","2011","Other degree","Single parent ","13","","",""
"Yes","2011","Other degree","Couple + C. LE 16 ","16","","",""
"Yes","2011","Other degree","Couple + C. GT 16 ","29","","",""
"Yes","2011","Other degree","Couple + C. LE and GT 16","13","","",""
"Yes","2011","no degree/no degree yet","1-pers.-HH","18","","",""
"Yes","2011","no degree/no degree yet","(Married) couple without C. ","33","1","1","1"
"Yes","2011","no degree/no degree yet","Single parent ","9","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE 16 ","4","","",""
"Yes","2011","no degree/no degree yet","Couple + C. GT 16 ","7","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE and GT 16","5","","",""
"Yes","2012","lower secondary degree","1-pers.-HH","","","",""
"Yes","2012","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2012","lower secondary degree","Single parent ","","","",""
