"ple0022","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","16-34 y.","in school","8","","",""
"Yes","2011","16-34 y.","inadequately","4","","",""
"Yes","2011","16-34 y.","general elemantary","30","0.0704386454700067","0.0494320732648816","0.0914452176751317"
"Yes","2011","16-34 y.","middle vocational","87","0.0412524436727605","0.0324005505533656","0.0501043367921554"
"Yes","2011","16-34 y.","vocational + Abi","22","","",""
"Yes","2011","16-34 y.","higher vocational","6","","",""
"Yes","2011","16-34 y.","higher education","21","","",""
"Yes","2011","35-65 y.","in school","","","",""
"Yes","2011","35-65 y.","inadequately","32","0.294813322274064","0.212544990779313","0.377081653768815"
"Yes","2011","35-65 y.","general elemantary","194","0.2519824401675","0.221534100954339","0.282430779380661"
"Yes","2011","35-65 y.","middle vocational","1193","0.207538400464057","0.197222600488695","0.217854200439418"
"Yes","2011","35-65 y.","vocational + Abi","116","0.192303010725807","0.162917967007284","0.22168805444433"
"Yes","2011","35-65 y.","higher vocational","173","0.186231569257088","0.161450445721437","0.211012692792738"
"Yes","2011","35-65 y.","higher education","377","0.132605070566212","0.1201712245743","0.145038916558123"
"Yes","2011","66 and older","in school","","","",""
"Yes","2011","66 and older","inadequately","22","","",""
"Yes","2011","66 and older","general elemantary","247","0.304222204274668","0.273053690152234","0.335390718397102"
"Yes","2011","66 and older","middle vocational","741","0.292488345477767","0.275239860844153","0.30973683011138"
"Yes","2011","66 and older","vocational + Abi","43","0.325430402216237","0.244262270504612","0.406598533927862"
"Yes","2011","66 and older","higher vocational","109","0.299859210014085","0.253911084795885","0.345807335232285"
"Yes","2011","66 and older","higher education","221","0.214578378501137","0.190262753484213","0.238894003518061"
"No","2011","16-34 y.","in school","305","0.966242113546941","0.946233982307615","0.986250244786268"
"No","2011","16-34 y.","inadequately","50","0.965359333071408","0.916585281476353","1.01413338466646"
"No","2011","16-34 y.","general elemantary","540","0.929561354529993","0.908554782324868","0.950567926735118"
"No","2011","16-34 y.","middle vocational","1852","0.95874755632724","0.949895663207845","0.967599449446634"
"No","2011","16-34 y.","vocational + Abi","368","0.945431516718979","0.922889032889916","0.967974000548042"
"No","2011","16-34 y.","higher vocational","118","0.962353022096972","0.928851116136605","0.995854928057339"
"No","2011","16-34 y.","higher education","626","0.966538581149793","0.952681309714546","0.980395852585041"
"No","2011","35-65 y.","in school","","","",""
"No","2011","35-65 y.","inadequately","86","0.705186677725936","0.622918346231185","0.787455009220687"
"No","2011","35-65 y.","general elemantary","587","0.7480175598325","0.717569220619339","0.778465899045661"
"No","2011","35-65 y.","middle vocational","4744","0.792461599535943","0.782145799560582","0.802777399511305"
"No","2011","35-65 y.","vocational + Abi","575","0.807696989274193","0.77831194555567","0.837082032992716"
"No","2011","35-65 y.","higher vocational","775","0.813768430742912","0.788987307207262","0.838549554278563"
"No","2011","35-65 y.","higher education","2481","0.867394929433788","0.854961083441876","0.8798287754257"
"No","2011","66 and older","in school","","","",""
"No","2011","66 and older","inadequately","39","0.639922304731243","0.519461736474575","0.760382872987911"
"No","2011","66 and older","general elemantary","590","0.695777795725332","0.664609281602898","0.726946309847766"
"No","2011","66 and older","middle vocational","1931","0.707511654522233","0.69026316988862","0.724760139155847"
"No","2011","66 and older","vocational + Abi","85","0.674569597783763","0.593401466072138","0.755737729495388"
"No","2011","66 and older","higher vocational","273","0.700140789985915","0.654192664767715","0.746088915204115"
"No","2011","66 and older","higher education","874","0.785421621498863","0.761105996481939","0.809737246515787"
"Yes","2012","16-34 y.","in school","","","",""
"Yes","2012","16-34 y.","inadequately","","","",""
"Yes","2012","16-34 y.","general elemantary","","","",""
"Yes","2012","16-34 y.","middle vocational","","","",""
"Yes","2012","16-34 y.","vocational + Abi","","","",""
"Yes","2012","16-34 y.","higher vocational","","","",""
"Yes","2012","16-34 y.","higher education","","","",""
"Yes","2012","35-65 y.","in school","","","",""
"Yes","2012","35-65 y.","inadequately","","","",""
"Yes","2012","35-65 y.","general elemantary","","","",""
"Yes","2012","35-65 y.","middle vocational","","","",""
"Yes","2012","35-65 y.","vocational + Abi","","","",""
"Yes","2012","35-65 y.","higher vocational","","","",""
"Yes","2012","35-65 y.","higher education","","","",""
"Yes","2012","66 and older","in school","","","",""
"Yes","2012","66 and older","inadequately","","","",""
"Yes","2012","66 and older","general elemantary","","","",""
"Yes","2012","66 and older","middle vocational","","","",""
"Yes","2012","66 and older","vocational + Abi","","","",""
"Yes","2012","66 and older","higher vocational","","","",""
"Yes","2012","66 and older","higher education","","","",""
"No","2012","16-34 y.","in school","","","",""
"No","2012","16-34 y.","inadequately","","","",""
"No","2012","16-34 y.","general elemantary","","","",""
"No","2012","16-34 y.","middle vocational","","","",""
"No","2012","16-34 y.","vocational + Abi","","","",""
"No","2012","16-34 y.","higher vocational","","","",""
"No","2012","16-34 y.","higher education","","","",""
"No","2012","35-65 y.","in school","","","",""
"No","2012","35-65 y.","inadequately","","","",""
"No","2012","35-65 y.","general elemantary","","","",""
"No","2012","35-65 y.","middle vocational","","","",""
"No","2012","35-65 y.","vocational + Abi","","","",""
"No","2012","35-65 y.","higher vocational","","","",""
"No","2012","35-65 y.","higher education","","","",""
"No","2012","66 and older","in school","","","",""
"No","2012","66 and older","inadequately","","","",""
"No","2012","66 and older","general elemantary","","","",""
"No","2012","66 and older","middle vocational","","","",""
"No","2012","66 and older","vocational + Abi","","","",""
"No","2012","66 and older","higher vocational","","","",""
"No","2012","66 and older","higher education","","","",""
"Yes","2013","16-34 y.","in school","5","","",""
"Yes","2013","16-34 y.","inadequately","2","","",""
"Yes","2013","16-34 y.","general elemantary","29","","",""
"Yes","2013","16-34 y.","middle vocational","91","0.0545055469564225","0.0434441831590367","0.0655669107538083"
"Yes","2013","16-34 y.","vocational + Abi","20","","",""
"Yes","2013","16-34 y.","higher vocational","6","","",""
"Yes","2013","16-34 y.","higher education","19","","",""
"Yes","2013","35-65 y.","in school","","","",""
"Yes","2013","35-65 y.","inadequately","31","0.322996478574847","0.230882646218315","0.41511031093138"
"Yes","2013","35-65 y.","general elemantary","174","0.270541808140637","0.236624390370959","0.304459225910316"
"Yes","2013","35-65 y.","middle vocational","1086","0.221504399480447","0.210299319594855","0.232709479366038"
"Yes","2013","35-65 y.","vocational + Abi","97","0.146437942243597","0.120096508873555","0.172779375613639"
"Yes","2013","35-65 y.","higher vocational","165","0.193467700462605","0.167324219577943","0.219611181347266"
"Yes","2013","35-65 y.","higher education","354","0.142437583837418","0.129115795340875","0.155759372333962"
"Yes","2013","66 and older","in school","","","",""
"Yes","2013","66 and older","inadequately","17","","",""
"Yes","2013","66 and older","general elemantary","223","0.305056907426569","0.271882949918046","0.338230864935092"
"Yes","2013","66 and older","middle vocational","697","0.277193029239045","0.259870682613794","0.294515375864297"
"Yes","2013","66 and older","vocational + Abi","39","0.378327860295284","0.29155731384068","0.465098406749888"
"Yes","2013","66 and older","higher vocational","96","0.288268785479372","0.241017072845623","0.33552049811312"
"Yes","2013","66 and older","higher education","244","0.219205953615858","0.195367623436128","0.243044283795589"
"No","2013","16-34 y.","in school","255","0.986723144394746","0.972810595918566","1.00063569287093"
