"ple0022","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","in school","8","","",""
"Yes","2011","inadequately","58","0.248481723064649","0.192995248877791","0.303968197251508"
"Yes","2011","general elemantary","471","0.228112175214875","0.210529872198952","0.245694478230798"
"Yes","2011","middle vocational","2021","0.19798289320365","0.19037842795479","0.205587358452509"
"Yes","2011","vocational + Abi","181","0.164605159496617","0.143702451344709","0.185507867648524"
"Yes","2011","higher vocational","288","0.20349110868346","0.182797610140131","0.224184607226789"
"Yes","2011","higher education","619","0.133796132791985","0.123958264255472","0.143634001328498"
"No","2011","in school","305","0.966242113546941","0.946233982307615","0.986250244786268"
"No","2011","inadequately","175","0.751518276935351","0.696031802748492","0.807004751122209"
"No","2011","general elemantary","1717","0.771887824785125","0.754305521769202","0.789470127801048"
"No","2011","middle vocational","8527","0.80201710679635","0.794412641547491","0.80962157204521"
"No","2011","vocational + Abi","1028","0.835394840503383","0.814492132351476","0.856297548655291"
"No","2011","higher vocational","1166","0.79650889131654","0.775815392773211","0.817202389859869"
"No","2011","higher education","3981","0.866203867208015","0.856365998671502","0.876041735744528"
"Yes","2012","in school","","","",""
"Yes","2012","inadequately","","","",""
"Yes","2012","general elemantary","","","",""
"Yes","2012","middle vocational","","","",""
"Yes","2012","vocational + Abi","","","",""
"Yes","2012","higher vocational","","","",""
"Yes","2012","higher education","","","",""
"No","2012","in school","","","",""
"No","2012","inadequately","","","",""
"No","2012","general elemantary","","","",""
"No","2012","middle vocational","","","",""
"No","2012","vocational + Abi","","","",""
"No","2012","higher vocational","","","",""
"No","2012","higher education","","","",""
"Yes","2013","in school","5","","",""
"Yes","2013","inadequately","50","0.291654506436593","0.227859351194577","0.355449661678608"
"Yes","2013","general elemantary","426","0.238749189012115","0.21940604309437","0.25809233492986"
"Yes","2013","middle vocational","1874","0.208840866815868","0.200649334576723","0.217032399055013"
"Yes","2013","vocational + Abi","156","0.163498911517933","0.141674073812773","0.185323749223093"
"Yes","2013","higher vocational","267","0.207265980589263","0.185505886094643","0.229026075083882"
"Yes","2013","higher education","617","0.138633982065138","0.128512717844442","0.148755246285834"
"No","2013","in school","255","0.986723144394746","0.972810595918566","1.00063569287093"
"No","2013","inadequately","145","0.708345493563408","0.644550338321392","0.772140648805423"
"No","2013","general elemantary","1440","0.761250810987885","0.74190766507014","0.78059395690563"
"No","2013","middle vocational","7585","0.791159133184132","0.782967600944987","0.799350665423277"
"No","2013","vocational + Abi","947","0.836501088482067","0.814676250776907","0.858325926187227"
"No","2013","higher vocational","1066","0.792734019410737","0.770973924916118","0.814494113905357"
"No","2013","higher education","3861","0.861366017934862","0.851244753714166","0.871487282155557"
"Yes","2014","in school","","","",""
"Yes","2014","inadequately","","","",""
"Yes","2014","general elemantary","","","",""
"Yes","2014","middle vocational","","","",""
"Yes","2014","vocational + Abi","","","",""
"Yes","2014","higher vocational","","","",""
"Yes","2014","higher education","","","",""
"No","2014","in school","","","",""
"No","2014","inadequately","","","",""
"No","2014","general elemantary","","","",""
"No","2014","middle vocational","","","",""
"No","2014","vocational + Abi","","","",""
"No","2014","higher vocational","","","",""
"No","2014","higher education","","","",""
"Yes","2015","in school","11","","",""
"Yes","2015","inadequately","80","0.233693061299984","0.192830670700052","0.274555451899916"
"Yes","2015","general elemantary","512","0.203823556879396","0.188594770006861","0.219052343751932"
"Yes","2015","middle vocational","2209","0.207087972571433","0.19974890237784","0.214427042765026"
"Yes","2015","vocational + Abi","266","0.145097196172934","0.129508952892545","0.160685439453323"
"Yes","2015","higher vocational","281","0.185775812313917","0.166300461357654","0.205251163270181"
"Yes","2015","higher education","738","0.128411258418186","0.11986969779955","0.136952819036822"
