"ple0022","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2011","no migration background","(0) in school","6","","",""
"Yes","2011","no migration background","(1a) inadequately completed","34","1","1","1"
"Yes","2011","no migration background","(1b) general elementary school","337","1","1","1"
"Yes","2011","no migration background","(1c) basic vocational qualification","1209","1","1","1"
"Yes","2011","no migration background","(2b) intermediate general qualification","44","1","1","1"
"Yes","2011","no migration background","(2a) intermediate vocational","790","1","1","1"
"Yes","2011","no migration background","(2c_gen) general maturity certificate","35","1","1","1"
"Yes","2011","no migration background","(2c_voc) vocational maturity certificate","189","1","1","1"
"Yes","2011","no migration background","(3a) lower tertiary education","253","1","1","1"
"Yes","2011","no migration background","(3b) higher tertiary education","307","1","1","1"
"Yes","2011","direct migration background","(0) in school","","","",""
"Yes","2011","direct migration background","(1a) inadequately completed","38","1","1","1"
"Yes","2011","direct migration background","(1b) general elementary school","78","1","1","1"
"Yes","2011","direct migration background","(1c) basic vocational qualification","116","1","1","1"
"Yes","2011","direct migration background","(2b) intermediate general qualification","6","","",""
"Yes","2011","direct migration background","(2a) intermediate vocational","14","","",""
"Yes","2011","direct migration background","(2c_gen) general maturity certificate","20","","",""
"Yes","2011","direct migration background","(2c_voc) vocational maturity certificate","48","1","1","1"
"Yes","2011","direct migration background","(3a) lower tertiary education","10","","",""
"Yes","2011","direct migration background","(3b) higher tertiary education","39","1","1","1"
"Yes","2011","indirect migration background","(0) in school","2","","",""
"Yes","2011","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","2011","indirect migration background","(1b) general elementary school","9","","",""
"Yes","2011","indirect migration background","(1c) basic vocational qualification","16","","",""
"Yes","2011","indirect migration background","(2b) intermediate general qualification","3","","",""
"Yes","2011","indirect migration background","(2a) intermediate vocational","11","","",""
"Yes","2011","indirect migration background","(2c_gen) general maturity certificate","4","","",""
"Yes","2011","indirect migration background","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2011","indirect migration background","(3a) lower tertiary education","4","","",""
"Yes","2011","indirect migration background","(3b) higher tertiary education","6","","",""
"Yes","2012","no migration background","(0) in school","","","",""
"Yes","2012","no migration background","(1a) inadequately completed","","","",""
"Yes","2012","no migration background","(1b) general elementary school","","","",""
"Yes","2012","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","no migration background","(2a) intermediate vocational","","","",""
"Yes","2012","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","no migration background","(3a) lower tertiary education","","","",""
"Yes","2012","no migration background","(3b) higher tertiary education","","","",""
"Yes","2012","direct migration background","(0) in school","","","",""
"Yes","2012","direct migration background","(1a) inadequately completed","","","",""
"Yes","2012","direct migration background","(1b) general elementary school","","","",""
"Yes","2012","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2012","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2012","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2012","indirect migration background","(0) in school","","","",""
"Yes","2012","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2012","indirect migration background","(1b) general elementary school","","","",""
"Yes","2012","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2012","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2012","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2013","no migration background","(0) in school","4","","",""
"Yes","2013","no migration background","(1a) inadequately completed","33","1","1","1"
"Yes","2013","no migration background","(1b) general elementary school","306","1","1","1"
"Yes","2013","no migration background","(1c) basic vocational qualification","1087","1","1","1"
"Yes","2013","no migration background","(2b) intermediate general qualification","50","1","1","1"
"Yes","2013","no migration background","(2a) intermediate vocational","757","1","1","1"
"Yes","2013","no migration background","(2c_gen) general maturity certificate","38","1","1","1"
"Yes","2013","no migration background","(2c_voc) vocational maturity certificate","181","1","1","1"
"Yes","2013","no migration background","(3a) lower tertiary education","233","1","1","1"
"Yes","2013","no migration background","(3b) higher tertiary education","316","1","1","1"
"Yes","2013","direct migration background","(0) in school","","","",""
"Yes","2013","direct migration background","(1a) inadequately completed","28","","",""
"Yes","2013","direct migration background","(1b) general elementary school","59","1","1","1"
"Yes","2013","direct migration background","(1c) basic vocational qualification","101","1","1","1"
"Yes","2013","direct migration background","(2b) intermediate general qualification","7","","",""
"Yes","2013","direct migration background","(2a) intermediate vocational","14","","",""
"Yes","2013","direct migration background","(2c_gen) general maturity certificate","19","","",""
"Yes","2013","direct migration background","(2c_voc) vocational maturity certificate","37","1","1","1"
"Yes","2013","direct migration background","(3a) lower tertiary education","7","","",""
"Yes","2013","direct migration background","(3b) higher tertiary education","52","1","1","1"
"Yes","2013","indirect migration background","(0) in school","1","","",""
"Yes","2013","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2013","indirect migration background","(1b) general elementary school","5","","",""
"Yes","2013","indirect migration background","(1c) basic vocational qualification","20","","",""
"Yes","2013","indirect migration background","(2b) intermediate general qualification","3","","",""
"Yes","2013","indirect migration background","(2a) intermediate vocational","11","","",""
"Yes","2013","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","2013","indirect migration background","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2013","indirect migration background","(3a) lower tertiary education","4","","",""
"Yes","2013","indirect migration background","(3b) higher tertiary education","5","","",""
"Yes","2014","no migration background","(0) in school","","","",""
"Yes","2014","no migration background","(1a) inadequately completed","","","",""
"Yes","2014","no migration background","(1b) general elementary school","","","",""
"Yes","2014","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","no migration background","(2a) intermediate vocational","","","",""
"Yes","2014","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","no migration background","(3a) lower tertiary education","","","",""
"Yes","2014","no migration background","(3b) higher tertiary education","","","",""
"Yes","2014","direct migration background","(0) in school","","","",""
"Yes","2014","direct migration background","(1a) inadequately completed","","","",""
"Yes","2014","direct migration background","(1b) general elementary school","","","",""
"Yes","2014","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2014","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2014","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2014","indirect migration background","(0) in school","","","",""
"Yes","2014","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2014","indirect migration background","(1b) general elementary school","","","",""
"Yes","2014","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2014","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2014","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2015","no migration background","(0) in school","5","","",""
"Yes","2015","no migration background","(1a) inadequately completed","42","1","1","1"
"Yes","2015","no migration background","(1b) general elementary school","302","1","1","1"
"Yes","2015","no migration background","(1c) basic vocational qualification","1060","1","1","1"
"Yes","2015","no migration background","(2b) intermediate general qualification","52","1","1","1"
"Yes","2015","no migration background","(2a) intermediate vocational","945","1","1","1"
"Yes","2015","no migration background","(2c_gen) general maturity certificate","42","1","1","1"
"Yes","2015","no migration background","(2c_voc) vocational maturity certificate","220","1","1","1"
"Yes","2015","no migration background","(3a) lower tertiary education","259","1","1","1"
"Yes","2015","no migration background","(3b) higher tertiary education","337","1","1","1"
"Yes","2015","direct migration background","(0) in school","3","","",""
"Yes","2015","direct migration background","(1a) inadequately completed","51","1","1","1"
"Yes","2015","direct migration background","(1b) general elementary school","128","1","1","1"
"Yes","2015","direct migration background","(1c) basic vocational qualification","166","1","1","1"
"Yes","2015","direct migration background","(2b) intermediate general qualification","5","","",""
"Yes","2015","direct migration background","(2a) intermediate vocational","36","1","1","1"
"Yes","2015","direct migration background","(2c_gen) general maturity certificate","44","1","1","1"
"Yes","2015","direct migration background","(2c_voc) vocational maturity certificate","108","1","1","1"
"Yes","2015","direct migration background","(3a) lower tertiary education","8","","",""
"Yes","2015","direct migration background","(3b) higher tertiary education","115","1","1","1"
"Yes","2015","indirect migration background","(0) in school","3","","",""
"Yes","2015","indirect migration background","(1a) inadequately completed","5","","",""
