"ple0022","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2011","in school","West Germany","271","0.964181013793437","0.942335532088406","0.986026495498467","2"
"No","2011","in school","East Germany","34","0.989219843502501","0.955008272978125","1.02343141402688","2"
"No","2011","general elemantary","West Germany","1481","0.772254488736946","0.753342498032694","0.791166479441198","2"
"No","2011","general elemantary","East Germany","236","0.768945223704301","0.721168355959529","0.816722091449074","2"
"No","2011","vocational + Abi","West Germany","872","0.835356670803798","0.812719257476963","0.857994084130633","2"
"No","2011","vocational + Abi","East Germany","156","0.8356985384023","0.781262861888439","0.890134214916162","2"
"No","2011","inadequately","East Germany","27","","","","2"
"No","2011","middle vocational","East Germany","2165","0.806337357116358","0.791277648449891","0.821397065782826","2"
"No","2011","higher vocational","East Germany","314","0.78691372405802","0.74698377942716","0.826843668688879","2"
"No","2011","higher education","West Germany","2908","0.878418942882878","0.867282432033911","0.889555453731846","2"
"No","2011","higher education","East Germany","1073","0.821185782384166","0.800290965551481","0.842080599216852","2"
"No","2011","inadequately","West Germany","148","0.728069032091574","0.667010181997673","0.789127882185475","2"
"No","2011","middle vocational","West Germany","6362","0.800948239387928","0.792145104890321","0.809751373885535","2"
"No","2011","higher vocational","West Germany","852","0.799329488948583","0.775104804005834","0.823554173891332","2"
"Yes","2011","in school","West Germany","7","","","","1"
"Yes","2011","in school","East Germany","1","","","","1"
"Yes","2011","inadequately","West Germany","56","0.271930967908426","0.210872117814525","0.332989818002327","1"
"Yes","2011","inadequately","East Germany","2","","","","1"
"Yes","2011","general elemantary","West Germany","408","0.227745511263054","0.208833520558802","0.246657501967306","1"
"Yes","2011","general elemantary","East Germany","63","0.231054776295699","0.183277908550926","0.278831644040471","1"
"Yes","2011","middle vocational","West Germany","1541","0.199051760612072","0.190248626114465","0.207854895109679","1"
"Yes","2011","middle vocational","East Germany","480","0.193662642883642","0.178602934217174","0.208722351550109","1"
"Yes","2011","vocational + Abi","West Germany","159","0.164643329196202","0.142005915869367","0.187280742523037","1"
"Yes","2011","vocational + Abi","East Germany","22","","","","1"
"Yes","2011","higher vocational","West Germany","198","0.200670511051417","0.176445826108668","0.224895195994166","1"
"Yes","2011","higher vocational","East Germany","90","0.21308627594198","0.173156331311121","0.25301622057284","1"
"Yes","2011","higher education","West Germany","400","0.121581057117122","0.110444546268154","0.132717567966089","1"
"Yes","2011","higher education","East Germany","219","0.178814217615834","0.157919400783148","0.199709034448519","1"
"No","2012","higher vocational","West Germany","","","","","2"
"No","2012","higher vocational","East Germany","","","","","2"
"No","2012","higher education","West Germany","","","","","2"
"No","2012","in school","West Germany","","","","","2"
"No","2012","in school","East Germany","","","","","2"
"No","2012","general elemantary","West Germany","","","","","2"
"No","2012","general elemantary","East Germany","","","","","2"
"No","2012","vocational + Abi","West Germany","","","","","2"
"No","2012","vocational + Abi","East Germany","","","","","2"
"No","2012","higher education","East Germany","","","","","2"
"No","2012","inadequately","West Germany","","","","","2"
"No","2012","inadequately","East Germany","","","","","2"
"No","2012","middle vocational","West Germany","","","","","2"
"No","2012","middle vocational","East Germany","","","","","2"
"Yes","2012","in school","West Germany","","","","","1"
"Yes","2012","in school","East Germany","","","","","1"
"Yes","2012","inadequately","West Germany","","","","","1"
"Yes","2012","inadequately","East Germany","","","","","1"
"Yes","2012","general elemantary","West Germany","","","","","1"
"Yes","2012","general elemantary","East Germany","","","","","1"
"Yes","2012","middle vocational","West Germany","","","","","1"
"Yes","2012","middle vocational","East Germany","","","","","1"
"Yes","2012","vocational + Abi","West Germany","","","","","1"
"Yes","2012","vocational + Abi","East Germany","","","","","1"
"Yes","2012","higher vocational","West Germany","","","","","1"
"Yes","2012","higher vocational","East Germany","","","","","1"
"Yes","2012","higher education","West Germany","","","","","1"
"Yes","2012","higher education","East Germany","","","","","1"
"No","2013","in school","West Germany","223","0.989884861711002","0.976867786443284","1.00290193697872","2"
"No","2013","in school","East Germany","32","0.95564744134101","0.885405046295358","1.02588983638666","2"
"No","2013","general elemantary","West Germany","1245","0.762928008951759","0.742205576361806","0.783650441541712","2"
"No","2013","general elemantary","East Germany","195","0.748258080014149","0.694241668613656","0.802274491414642","2"
"No","2013","vocational + Abi","West Germany","800","0.842342963137212","0.818946980476453","0.865738945797971","2"
"No","2013","vocational + Abi","East Germany","147","0.79336713120506","0.73268136488776","0.85405289752236","2"
"No","2013","higher vocational","West Germany","778","0.813930136839991","0.789274075274031","0.83858619840595","2"
"No","2013","higher vocational","East Germany","288","0.728057202892225","0.683081733967972","0.773032671816478","2"
"No","2013","higher education","West Germany","2845","0.868069329494779","0.856464904798698","0.87967375419086","2"
"No","2013","higher education","East Germany","1016","0.836196094048287","0.815351558946105","0.857040629150469","2"
"No","2013","inadequately","West Germany","117","0.673503481596611","0.601734734134182","0.74527222905904","2"
"No","2013","inadequately","East Germany","28","","","","2"
"No","2013","middle vocational","West Germany","5651","0.786407137878268","0.776865930670349","0.795948345086188","2"
"No","2013","middle vocational","East Germany","1934","0.809398744713613","0.793588941816474","0.825208547610751","2"
"Yes","2013","in school","West Germany","4","","","","1"
"Yes","2013","in school","East Germany","1","","","","1"
"Yes","2013","inadequately","West Germany","47","0.326496518403389","0.25472777094096","0.398265265865818","1"
"Yes","2013","inadequately","East Germany","3","","","","1"
"Yes","2013","general elemantary","West Germany","373","0.237071991048241","0.216349558458288","0.257794423638194","1"
"Yes","2013","general elemantary","East Germany","53","0.251741919985851","0.197725508585358","0.305758331386344","1"
"Yes","2013","middle vocational","West Germany","1437","0.213592862121732","0.204051654913812","0.223134069329651","1"
"Yes","2013","middle vocational","East Germany","437","0.190601255286387","0.174791452389249","0.206411058183526","1"
"Yes","2013","vocational + Abi","West Germany","132","0.157657036862788","0.134261054202029","0.181053019523547","1"
"Yes","2013","vocational + Abi","East Germany","24","","","","1"
"Yes","2013","higher vocational","West Germany","179","0.186069863160009","0.16141380159405","0.210725924725969","1"
"Yes","2013","higher vocational","East Germany","88","0.271942797107775","0.226967328183523","0.316918266032028","1"
"Yes","2013","higher education","West Germany","422","0.131930670505221","0.12032624580914","0.143535095201302","1"
"Yes","2013","higher education","East Germany","195","0.163803905951713","0.142959370849531","0.184648441053895","1"
"No","2014","in school","West Germany","","","","","2"
"No","2014","general elemantary","West Germany","","","","","2"
"No","2014","in school","East Germany","","","","","2"
"No","2014","general elemantary","East Germany","","","","","2"
"No","2014","inadequately","West Germany","","","","","2"
"No","2014","inadequately","East Germany","","","","","2"
"No","2014","middle vocational","West Germany","","","","","2"
"No","2014","middle vocational","East Germany","","","","","2"
"No","2014","vocational + Abi","West Germany","","","","","2"
"No","2014","vocational + Abi","East Germany","","","","","2"
"No","2014","higher vocational","West Germany","","","","","2"
"No","2014","higher vocational","East Germany","","","","","2"
"No","2014","higher education","West Germany","","","","","2"
"No","2014","higher education","East Germany","","","","","2"
"Yes","2014","higher vocational","West Germany","","","","","1"
"Yes","2014","higher vocational","East Germany","","","","","1"
"Yes","2014","in school","West Germany","","","","","1"
"Yes","2014","in school","East Germany","","","","","1"
"Yes","2014","inadequately","West Germany","","","","","1"
"Yes","2014","inadequately","East Germany","","","","","1"
"Yes","2014","general elemantary","West Germany","","","","","1"
"Yes","2014","general elemantary","East Germany","","","","","1"
"Yes","2014","middle vocational","West Germany","","","","","1"
"Yes","2014","middle vocational","East Germany","","","","","1"
"Yes","2014","vocational + Abi","West Germany","","","","","1"
"Yes","2014","vocational + Abi","East Germany","","","","","1"
"Yes","2014","higher education","West Germany","","","","","1"
"Yes","2014","higher education","East Germany","","","","","1"
"No","2015","in school","West Germany","287","0.947707698184516","0.922347168546878","0.973068227822155","2"
"No","2015","in school","East Germany","54","0.988652702755217","0.960911698930847","1.01639370657959","2"
"No","2015","general elemantary","West Germany","1896","0.795213408081684","0.778880283533928","0.81154653262944","2"
"No","2015","general elemantary","East Germany","280","0.80352886982557","0.761480308109079","0.84557743154206","2"
"No","2015","middle vocational","West Germany","7315","0.791277177387441","0.782882971109559","0.799671383665323","2"
"No","2015","middle vocational","East Germany","2187","0.799524951667084","0.784443257231611","0.814606646102557","2"
"No","2015","vocational + Abi","West Germany","1452","0.859985829884575","0.843412541384055","0.876559118385095","2"
"No","2015","vocational + Abi","East Germany","243","0.815197781015228","0.769489668083361","0.860905893947095","2"
"No","2015","higher vocational","West Germany","939","0.823967283287281","0.801791201444567","0.846143365129994","2"
