"ple0022","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","in school","Male","5","","",""
"Yes","2011","in school","Female","3","","",""
"Yes","2011","inadequately","Male","20","","",""
"Yes","2011","inadequately","Female","38","0.290193028222289","0.215806602744598","0.36457945369998"
"Yes","2011","general elemantary","Male","101","0.163430262849093","0.135453069418514","0.191407456279673"
"Yes","2011","general elemantary","Female","370","0.260577809703637","0.238489104702848","0.282666514704427"
"Yes","2011","middle vocational","Male","869","0.174745243373658","0.164139486352447","0.185351000394869"
"Yes","2011","middle vocational","Female","1152","0.220010250531971","0.209182706595749","0.230837794468193"
"Yes","2011","vocational + Abi","Male","67","0.139505337202421","0.107669821104767","0.171340853300076"
"Yes","2011","vocational + Abi","Female","114","0.184341463606603","0.156663882850509","0.212019044362696"
"Yes","2011","higher vocational","Male","181","0.197760215698552","0.171766618571582","0.223753812825521"
"Yes","2011","higher vocational","Female","107","0.21321768655348","0.179049851654454","0.247385521452507"
"Yes","2011","higher education","Male","311","0.123333881357795","0.110379436698051","0.13628832601754"
"Yes","2011","higher education","Female","308","0.146723856107298","0.131679839927216","0.16176787228738"
"No","2011","in school","Male","157","0.958665522374155","0.92801200150952","0.989319043238789"
"No","2011","in school","Female","148","0.973965367275719","0.948566923789188","0.999363810762249"
"No","2011","inadequately","Male","70","0.807951331201753","0.726569944211192","0.889332718192314"
"No","2011","inadequately","Female","105","0.709806971777711","0.63542054630002","0.784193397255402"
"No","2011","general elemantary","Male","570","0.836569737150907","0.808592543720327","0.864546930581486"
"No","2011","general elemantary","Female","1147","0.739422190296363","0.717333485295573","0.761510895297152"
"No","2011","middle vocational","Male","4056","0.825254756626342","0.814648999605131","0.835860513647553"
"No","2011","middle vocational","Female","4471","0.779989749468029","0.769162205531807","0.790817293404251"
"No","2011","vocational + Abi","Male","388","0.860494662797579","0.828659146699924","0.892330178895233"
"No","2011","vocational + Abi","Female","640","0.815658536393398","0.787980955637304","0.843336117149491"
"No","2011","higher vocational","Male","721","0.802239784301448","0.776246187174479","0.828233381428418"
"No","2011","higher vocational","Female","445","0.78678231344652","0.752614478547493","0.820950148345546"
"No","2011","higher education","Male","2164","0.876666118642205","0.86371167398246","0.889620563301949"
"No","2011","higher education","Female","1817","0.853276143892702","0.83823212771262","0.868320160072784"
"Yes","2012","in school","Male","","","",""
"Yes","2012","in school","Female","","","",""
"Yes","2012","inadequately","Male","","","",""
"Yes","2012","inadequately","Female","","","",""
"Yes","2012","general elemantary","Male","","","",""
"Yes","2012","general elemantary","Female","","","",""
"Yes","2012","middle vocational","Male","","","",""
"Yes","2012","middle vocational","Female","","","",""
"Yes","2012","vocational + Abi","Male","","","",""
"Yes","2012","vocational + Abi","Female","","","",""
"Yes","2012","higher vocational","Male","","","",""
"Yes","2012","higher vocational","Female","","","",""
"Yes","2012","higher education","Male","","","",""
"Yes","2012","higher education","Female","","","",""
"No","2012","in school","Male","","","",""
"No","2012","in school","Female","","","",""
"No","2012","inadequately","Male","","","",""
"No","2012","inadequately","Female","","","",""
"No","2012","general elemantary","Male","","","",""
"No","2012","general elemantary","Female","","","",""
"No","2012","middle vocational","Male","","","",""
"No","2012","middle vocational","Female","","","",""
"No","2012","vocational + Abi","Male","","","",""
"No","2012","vocational + Abi","Female","","","",""
"No","2012","higher vocational","Male","","","",""
"No","2012","higher vocational","Female","","","",""
"No","2012","higher education","Male","","","",""
"No","2012","higher education","Female","","","",""
"Yes","2013","in school","Male","3","","",""
"Yes","2013","in school","Female","2","","",""
"Yes","2013","inadequately","Male","17","","",""
"Yes","2013","inadequately","Female","33","0.359816925423647","0.270126798928864","0.449507051918429"
"Yes","2013","general elemantary","Male","94","0.159626341798423","0.129946700089833","0.189305983507012"
"Yes","2013","general elemantary","Female","332","0.277723802724086","0.253197520060401","0.30225008538777"
"Yes","2013","middle vocational","Male","817","0.195623124956986","0.183814660559792","0.20743158935418"
"Yes","2013","middle vocational","Female","1057","0.220978234866398","0.209617849169142","0.232338620563654"
"Yes","2013","vocational + Abi","Male","58","0.159775137845229","0.12473419281067","0.194816082879788"
"Yes","2013","vocational + Abi","Female","98","0.166498119532368","0.13856009479254","0.194436144272197"
"Yes","2013","higher vocational","Male","159","0.196605466705664","0.169502283659175","0.223708649752153"
"Yes","2013","higher vocational","Female","108","0.226392014328719","0.189964030488028","0.262819998169411"
"Yes","2013","higher education","Male","306","0.131388848302389","0.117756330488232","0.145021366116546"
"Yes","2013","higher education","Female","311","0.147481911797916","0.132384455081208","0.162579368514624"
"No","2013","in school","Male","119","0.975264962048521","0.947704545507926","1.00282537858912"
"No","2013","in school","Female","136","0.997976941204805","0.990480190769596","1.00547369164001"
"No","2013","inadequately","Male","68","0.803074378492033","0.718533330781969","0.887615426202096"
"No","2013","inadequately","Female","77","0.640183074576353","0.550492948081571","0.729873201071136"
