"ple0022","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","Male","749","1","1","1"
"Yes","2011","lower secondary degree","Female","925","1","1","1"
"Yes","2011","secondary school degree","Male","350","1","1","1"
"Yes","2011","secondary school degree","Female","638","1","1","1"
"Yes","2011","college entrance qualification","Male","328","1","1","1"
"Yes","2011","college entrance qualification","Female","345","1","1","1"
"Yes","2011","Other degree","Male","93","1","1","1"
"Yes","2011","Other degree","Female","125","1","1","1"
"Yes","2011","no degree/no degree yet","Male","31","1","1","1"
"Yes","2011","no degree/no degree yet","Female","50","1","1","1"
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","672","1","1","1"
"Yes","2013","lower secondary degree","Female","816","1","1","1"
"Yes","2013","secondary school degree","Male","342","1","1","1"
"Yes","2013","secondary school degree","Female","610","1","1","1"
"Yes","2013","college entrance qualification","Male","322","1","1","1"
"Yes","2013","college entrance qualification","Female","338","1","1","1"
"Yes","2013","Other degree","Male","94","1","1","1"
"Yes","2013","Other degree","Female","124","1","1","1"
"Yes","2013","no degree/no degree yet","Male","23","","",""
"Yes","2013","no degree/no degree yet","Female","43","1","1","1"
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","696","1","1","1"
"Yes","2015","lower secondary degree","Female","819","1","1","1"
"Yes","2015","secondary school degree","Male","418","1","1","1"
"Yes","2015","secondary school degree","Female","784","1","1","1"
"Yes","2015","college entrance qualification","Male","338","1","1","1"
"Yes","2015","college entrance qualification","Female","428","1","1","1"
"Yes","2015","Other degree","Male","215","1","1","1"
"Yes","2015","Other degree","Female","259","1","1","1"
"Yes","2015","no degree/no degree yet","Male","39","1","1","1"
"Yes","2015","no degree/no degree yet","Female","71","1","1","1"
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","661","1","1","1"
"Yes","2017","lower secondary degree","Female","732","1","1","1"
"Yes","2017","secondary school degree","Male","452","1","1","1"
"Yes","2017","secondary school degree","Female","777","1","1","1"
"Yes","2017","college entrance qualification","Male","359","1","1","1"
"Yes","2017","college entrance qualification","Female","461","1","1","1"
"Yes","2017","Other degree","Male","221","1","1","1"
"Yes","2017","Other degree","Female","276","1","1","1"
"Yes","2017","no degree/no degree yet","Male","37","1","1","1"
"Yes","2017","no degree/no degree yet","Female","74","1","1","1"
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","613","1","1","1"
"Yes","2019","lower secondary degree","Female","638","1","1","1"
"Yes","2019","secondary school degree","Male","463","1","1","1"
"Yes","2019","secondary school degree","Female","757","1","1","1"
"Yes","2019","college entrance qualification","Male","457","1","1","1"
"Yes","2019","college entrance qualification","Female","475","1","1","1"
"Yes","2019","Other degree","Male","157","1","1","1"
"Yes","2019","Other degree","Female","229","1","1","1"
"Yes","2019","no degree/no degree yet","Male","40","1","1","1"
"Yes","2019","no degree/no degree yet","Female","61","1","1","1"
