"ple0022","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","no migration background","in school","6","","",""
"Yes","2011","no migration background","inadequately","27","","",""
"Yes","2011","no migration background","general elemantary","375","0.244730210254293","0.223903599522012","0.265556820986575"
"Yes","2011","no migration background","middle vocational","1852","0.206044434395506","0.197884068047553","0.21420480074346"
"Yes","2011","no migration background","vocational + Abi","132","0.157236464309555","0.134112668815923","0.180360259803186"
"Yes","2011","no migration background","higher vocational","261","0.198884647311101","0.177383964338096","0.220385330284105"
"Yes","2011","no migration background","higher education","560","0.137226232369112","0.126719527846754","0.14773293689147"
"Yes","2011","direct migration background","in school","","","",""
"Yes","2011","direct migration background","inadequately","30","0.374439796364625","0.278618816080103","0.470260776649146"
"Yes","2011","direct migration background","general elemantary","84","0.200484382194243","0.162149438590677","0.23881932579781"
"Yes","2011","direct migration background","middle vocational","142","0.176353875326343","0.149469356105331","0.203238394547354"
"Yes","2011","direct migration background","vocational + Abi","44","0.210752778956867","0.155722711013741","0.265782846899993"
"Yes","2011","direct migration background","higher vocational","21","","",""
"Yes","2011","direct migration background","higher education","49","0.119892160229643","0.0868381259067022","0.152946194552583"
"Yes","2011","indirect migration background","in school","2","","",""
"Yes","2011","indirect migration background","inadequately","1","","",""
"Yes","2011","indirect migration background","general elemantary","12","","",""
"Yes","2011","indirect migration background","middle vocational","27","","",""
"Yes","2011","indirect migration background","vocational + Abi","5","","",""
"Yes","2011","indirect migration background","higher vocational","6","","",""
"Yes","2011","indirect migration background","higher education","10","","",""
"No","2011","no migration background","in school","236","0.957827147168791","0.932505003462432","0.983149290875151"
"No","2011","no migration background","inadequately","93","0.827418808051146","0.759807880446705","0.895029735655587"
"No","2011","no migration background","general elemantary","1262","0.755269789745707","0.734443179013425","0.776096400477988"
"No","2011","no migration background","middle vocational","7585","0.793955565604494","0.78579519925654","0.802115931952447"
"No","2011","no migration background","vocational + Abi","820","0.842763535690445","0.819639740196814","0.865887331184077"
"No","2011","no migration background","higher vocational","1063","0.801115352688899","0.779614669715895","0.822616035661904"
"No","2011","no migration background","higher education","3560","0.862773767630888","0.852267063108531","0.873280472153246"
"No","2011","direct migration background","in school","13","","",""
"No","2011","direct migration background","inadequately","68","0.625560203635375","0.529739223350854","0.721381183919896"
"No","2011","direct migration background","general elemantary","335","0.799515617805757","0.76118067420219","0.837850561409323"
"No","2011","direct migration background","middle vocational","630","0.823646124673657","0.796761605452646","0.850530643894669"
"No","2011","direct migration background","vocational + Abi","167","0.789247221043133","0.734217153100007","0.844277288986259"
"No","2011","direct migration background","higher vocational","73","0.72811934591558","0.63817484788394","0.818063843947219"
"No","2011","direct migration background","higher education","322","0.880107839770357","0.847053805447417","0.913161874093298"
"No","2011","indirect migration background","in school","56","0.988114093958204","0.960223755307208","1.0160044326092"
"No","2011","indirect migration background","inadequately","14","","",""
"No","2011","indirect migration background","general elemantary","120","0.909554633112937","0.860625369121077","0.958483897104797"
"No","2011","indirect migration background","middle vocational","312","0.943953825947244","0.919469023572294","0.968438628322193"
"No","2011","indirect migration background","vocational + Abi","41","0.938448465858548","0.868995014747684","1.00790191696941"
"No","2011","indirect migration background","higher vocational","30","0.880874217822333","0.775056918634978","0.986691517009687"
"No","2011","indirect migration background","higher education","99","0.915316136405131","0.863049959582667","0.967582313227596"
"Yes","2012","no migration background","in school","","","",""
"Yes","2012","no migration background","inadequately","","","",""
"Yes","2012","no migration background","general elemantary","","","",""
"Yes","2012","no migration background","middle vocational","","","",""
"Yes","2012","no migration background","vocational + Abi","","","",""
"Yes","2012","no migration background","higher vocational","","","",""
"Yes","2012","no migration background","higher education","","","",""
"Yes","2012","direct migration background","in school","","","",""
"Yes","2012","direct migration background","inadequately","","","",""
"Yes","2012","direct migration background","general elemantary","","","",""
"Yes","2012","direct migration background","middle vocational","","","",""
"Yes","2012","direct migration background","vocational + Abi","","","",""
"Yes","2012","direct migration background","higher vocational","","","",""
"Yes","2012","direct migration background","higher education","","","",""
"Yes","2012","indirect migration background","in school","","","",""
"Yes","2012","indirect migration background","inadequately","","","",""
"Yes","2012","indirect migration background","general elemantary","","","",""
"Yes","2012","indirect migration background","middle vocational","","","",""
"Yes","2012","indirect migration background","vocational + Abi","","","",""
"Yes","2012","indirect migration background","higher vocational","","","",""
"Yes","2012","indirect migration background","higher education","","","",""
"No","2012","no migration background","in school","","","",""
"No","2012","no migration background","inadequately","","","",""
"No","2012","no migration background","general elemantary","","","",""
"No","2012","no migration background","middle vocational","","","",""
"No","2012","no migration background","vocational + Abi","","","",""
"No","2012","no migration background","higher vocational","","","",""
"No","2012","no migration background","higher education","","","",""
"No","2012","direct migration background","in school","","","",""
"No","2012","direct migration background","inadequately","","","",""
"No","2012","direct migration background","general elemantary","","","",""
"No","2012","direct migration background","middle vocational","","","",""
"No","2012","direct migration background","vocational + Abi","","","",""
"No","2012","direct migration background","higher vocational","","","",""
"No","2012","direct migration background","higher education","","","",""
"No","2012","indirect migration background","in school","","","",""
"No","2012","indirect migration background","inadequately","","","",""
"No","2012","indirect migration background","general elemantary","","","",""
"No","2012","indirect migration background","middle vocational","","","",""
"No","2012","indirect migration background","vocational + Abi","","","",""
"No","2012","indirect migration background","higher vocational","","","",""
"No","2012","indirect migration background","higher education","","","",""
"Yes","2013","no migration background","in school","4","","",""
"Yes","2013","no migration background","inadequately","25","","",""
"Yes","2013","no migration background","general elemantary","352","0.25297377881515","0.230299346653117","0.275648210977182"
"Yes","2013","no migration background","middle vocational","1711","0.208400882617641","0.199774421040793","0.217027344194489"
"Yes","2013","no migration background","vocational + Abi","120","0.158434527724107","0.134267838033156","0.182601217415058"
"Yes","2013","no migration background","higher vocational","250","0.207343450140039","0.184696655013962","0.229990245266115"
"Yes","2013","no migration background","higher education","549","0.139015866273684","0.128306597403738","0.14972513514363"
"Yes","2013","direct migration background","in school","","","",""
"Yes","2013","direct migration background","inadequately","25","","",""
"Yes","2013","direct migration background","general elemantary","66","0.213066995355139","0.169349012889858","0.256784977820421"
"Yes","2013","direct migration background","middle vocational","129","0.235987369344872","0.202987350954396","0.268987387735349"
"Yes","2013","direct migration background","vocational + Abi","33","0.21327496563113","0.154876879501294","0.271673051760966"
"Yes","2013","direct migration background","higher vocational","15","","",""
"Yes","2013","direct migration background","higher education","59","0.157635936740414","0.119729632339069","0.19554224114176"
"Yes","2013","indirect migration background","in school","1","","",""
"Yes","2013","indirect migration background","inadequately","","","",""
"Yes","2013","indirect migration background","general elemantary","8","","",""
"Yes","2013","indirect migration background","middle vocational","34","0.146108370720712","0.106597388119347","0.185619353322078"
"Yes","2013","indirect migration background","vocational + Abi","3","","",""
"Yes","2013","indirect migration background","higher vocational","2","","",""
"Yes","2013","indirect migration background","higher education","9","","",""
"No","2013","no migration background","in school","192","0.984078892085621","0.966555359655866","1.00160242451538"
"No","2013","no migration background","inadequately","90","0.787063443617041","0.712241470844491","0.861885416389591"
"No","2013","no migration background","general elemantary","1060","0.74702622118485","0.724351789022818","0.769700653346883"
"No","2013","no migration background","middle vocational","6805","0.791599117382359","0.782972655805511","0.800225578959207"
"No","2013","no migration background","vocational + Abi","757","0.841565472275893","0.817398782584942","0.865732161966844"
"No","2013","no migration background","higher vocational","981","0.792656549859961","0.770009754733885","0.815303344986038"
"No","2013","no migration background","higher education","3460","0.860984133726316","0.85027486485637","0.871693402596262"
"No","2013","direct migration background","in school","11","","",""
"No","2013","direct migration background","inadequately","42","0.529353167991811","0.409835800758724","0.648870535224899"
"No","2013","direct migration background","general elemantary","271","0.786933004644861","0.743215022179579","0.830650987110142"
"No","2013","direct migration background","middle vocational","507","0.764012630655128","0.731012612264652","0.797012649045604"
"No","2013","direct migration background","vocational + Abi","156","0.78672503436887","0.728326948239034","0.845123120498706"
"No","2013","direct migration background","higher vocational","57","0.75695468791497","0.657880525682007","0.856028850147932"
"No","2013","direct migration background","higher education","296","0.842364063259586","0.80445775885824","0.880270367660931"
