"ple0022","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Schleswig-Holstein","110","0.159923914655942","0.131810893640912","0.188036935670971"
"Yes","2011","Hamburg","44","0.129780546372832","0.0926687473983682","0.166892345347295"
"Yes","2011","Lower Saxony","360","0.198171764720305","0.1803414488182","0.216002080622411"
"Yes","2011","Bremen","17","","",""
"Yes","2011","North Rhine-Westphalia","772","0.197731408111443","0.185620957533836","0.209841858689051"
"Yes","2011","Hesse","260","0.202041575986517","0.181135444784615","0.222947707188419"
"Yes","2011","Rhineland-Palatinate,Saarland","206","0.157426898669077","0.136922830066341","0.177930967271813"
"Yes","2011","Baden-Württemberg","371","0.16587313176124","0.151289387484132","0.180456876038348"
"Yes","2011","Bavaria","570","0.175142469637738","0.16197535973996","0.188309579535516"
"Yes","2011","Berlin","138","0.196868616088851","0.169017105649513","0.224720126528189"
"Yes","2011","Brandenburg","150","0.17690836558537","0.151824440822479","0.20199229034826"
"Yes","2011","Mecklenburg-Western Pomerania","101","0.243996883054893","0.207046551100435","0.280947215009351"
"Yes","2011","Saxony","253","0.182461743706024","0.162302302616278","0.202621184795769"
"Yes","2011","Saxony-Anhalt","157","0.181797218610354","0.156169345932258","0.207425091288451"
"Yes","2011","Thuringia","161","0.192434579812028","0.16653554956882","0.218333610055235"
"No","2011","Schleswig-Holstein","543","0.840076085344058","0.811963064329029","0.868189106359088"
"No","2011","Hamburg","271","0.870219453627168","0.833107654652705","0.907331252601632"
"No","2011","Lower Saxony","1560","0.801828235279695","0.783997919377589","0.8196585511818"
"No","2011","Bremen","110","0.821106968498658","0.754450421638582","0.887763515358735"
"No","2011","North Rhine-Westphalia","3383","0.802268591888557","0.790158141310949","0.814379042466164"
"No","2011","Hesse","1157","0.797958424013483","0.777052292811581","0.818864555215385"
"No","2011","Rhineland-Palatinate,Saarland","1006","0.842573101330923","0.822069032728187","0.863077169933659"
"No","2011","Baden-Württemberg","2128","0.83412686823876","0.819543123961652","0.848710612515868"
"No","2011","Bavaria","2631","0.824857530362262","0.811690420464483","0.83802464026004"
"No","2011","Berlin","645","0.803131383911149","0.775279873471811","0.830982894350487"
"No","2011","Brandenburg","739","0.82309163441463","0.79800770965174","0.848175559177521"
"No","2011","Mecklenburg-Western Pomerania","418","0.756003116945107","0.719052784990649","0.792953448899565"
"No","2011","Saxony","1157","0.817538256293976","0.797378815204231","0.837697697383722"
"No","2011","Saxony-Anhalt","713","0.818202781389646","0.792574908711549","0.843830654067742"
"No","2011","Thuringia","729","0.807565420187972","0.781666389944765","0.83346445043118"
"Yes","2012","Schleswig-Holstein","","","",""
"Yes","2012","Hamburg","","","",""
"Yes","2012","Lower Saxony","","","",""
"Yes","2012","Bremen","","","",""
"Yes","2012","North Rhine-Westphalia","","","",""
"Yes","2012","Hesse","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","","","",""
"Yes","2012","Baden-Württemberg","","","",""
"Yes","2012","Bavaria","","","",""
"Yes","2012","Berlin","","","",""
"Yes","2012","Brandenburg","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","","","",""
"Yes","2012","Saxony","","","",""
"Yes","2012","Saxony-Anhalt","","","",""
"Yes","2012","Thuringia","","","",""
"No","2012","Schleswig-Holstein","","","",""
"No","2012","Hamburg","","","",""
"No","2012","Lower Saxony","","","",""
"No","2012","Bremen","","","",""
"No","2012","North Rhine-Westphalia","","","",""
"No","2012","Hesse","","","",""
"No","2012","Rhineland-Palatinate,Saarland","","","",""
"No","2012","Baden-Württemberg","","","",""
"No","2012","Bavaria","","","",""
"No","2012","Berlin","","","",""
"No","2012","Brandenburg","","","",""
"No","2012","Mecklenburg-Western Pomerania","","","",""
"No","2012","Saxony","","","",""
"No","2012","Saxony-Anhalt","","","",""
"No","2012","Thuringia","","","",""
"Yes","2013","Schleswig-Holstein","93","0.168674763228161","0.138535593703982","0.19881393275234"
"Yes","2013","Hamburg","39","0.121042186962707","0.0848493030042772","0.157235070921137"
"Yes","2013","Lower Saxony","340","0.203643476881648","0.184956472451442","0.222330481311854"
"Yes","2013","Bremen","22","","",""
"Yes","2013","North Rhine-Westphalia","709","0.211250196467264","0.198159251994305","0.224341140940223"
"Yes","2013","Hesse","256","0.199333962704441","0.177575432236664","0.221092493172218"
"Yes","2013","Rhineland-Palatinate,Saarland","199","0.178872137245161","0.156255028957584","0.201489245532738"
"Yes","2013","Baden-Württemberg","336","0.176578488070536","0.160411622345049","0.192745353796023"
"Yes","2013","Bavaria","525","0.181665885975288","0.167787538372449","0.195544233578127"
"Yes","2013","Berlin","153","0.213571963462908","0.184662431875989","0.242481495049827"
"Yes","2013","Brandenburg","126","0.166787510125298","0.14074274931933","0.192832270931265"
"Yes","2013","Mecklenburg-Western Pomerania","82","0.200889338680053","0.164074381502235","0.23770429585787"
"Yes","2013","Saxony","252","0.19894092998857","0.177582654887625","0.220299205089516"
"Yes","2013","Saxony-Anhalt","138","0.191871870386413","0.163949828236715","0.219793912536111"
"Yes","2013","Thuringia","144","0.183001982432664","0.156324200256348","0.20967976460898"
"No","2013","Schleswig-Holstein","500","0.831325236771839","0.80118606724766","0.861464406296018"
"No","2013","Hamburg","273","0.878957813037293","0.842764929078862","0.915150696995723"
"No","2013","Lower Saxony","1444","0.796356523118352","0.777669518688146","0.815043527548559"
"No","2013","Bremen","98","0.782423488595478","0.708601725663672","0.856245251527283"
"No","2013","North Rhine-Westphalia","3026","0.788749803532736","0.775658859059777","0.801840748005695"
"No","2013","Hesse","1039","0.800666037295559","0.778907506827782","0.822424567763336"
"No","2013","Rhineland-Palatinate,Saarland","904","0.821127862754839","0.798510754467262","0.843744971042416"
"No","2013","Baden-Württemberg","1801","0.823421511929464","0.807254646203977","0.839588377654951"
"No","2013","Bavaria","2440","0.818334114024712","0.804455766421873","0.832212461627551"
"No","2013","Berlin","619","0.786428036537092","0.757518504950172","0.815337568124011"
"No","2013","Brandenburg","661","0.833212489874702","0.807167729068735","0.859257250680669"
"No","2013","Mecklenburg-Western Pomerania","373","0.799110661319947","0.76229570414213","0.835925618497765"
"No","2013","Saxony","1090","0.80105907001143","0.779700794910484","0.822417345112375"
"No","2013","Saxony-Anhalt","626","0.808128129613587","0.780206087463888","0.836050171763285"
"No","2013","Thuringia","663","0.816998017567336","0.79032023539102","0.843675799743652"
"Yes","2014","Schleswig-Holstein","","","",""
"Yes","2014","Hamburg","","","",""
"Yes","2014","Lower Saxony","","","",""
"Yes","2014","Bremen","","","",""
"Yes","2014","North Rhine-Westphalia","","","",""
"Yes","2014","Hesse","","","",""
"Yes","2014","Rhineland-Palatinate,Saarland","","","",""
"Yes","2014","Baden-Württemberg","","","",""
"Yes","2014","Bavaria","","","",""
"Yes","2014","Berlin","","","",""
"Yes","2014","Brandenburg","","","",""
"Yes","2014","Mecklenburg-Western Pomerania","","","",""
"Yes","2014","Saxony","","","",""
"Yes","2014","Saxony-Anhalt","","","",""
"Yes","2014","Thuringia","","","",""
"No","2014","Schleswig-Holstein","","","",""
"No","2014","Hamburg","","","",""
"No","2014","Lower Saxony","","","",""
"No","2014","Bremen","","","",""
"No","2014","North Rhine-Westphalia","","","",""
"No","2014","Hesse","","","",""
"No","2014","Rhineland-Palatinate,Saarland","","","",""
"No","2014","Baden-Württemberg","","","",""
"No","2014","Bavaria","","","",""
"No","2014","Berlin","","","",""
"No","2014","Brandenburg","","","",""
"No","2014","Mecklenburg-Western Pomerania","","","",""
"No","2014","Saxony","","","",""
"No","2014","Saxony-Anhalt","","","",""
"No","2014","Thuringia","","","",""
"Yes","2015","Schleswig-Holstein","157","0.178811834187863","0.153436281622275","0.204187386753451"
"Yes","2015","Hamburg","57","0.14850762948141","0.114818408399098","0.182196850563723"
"Yes","2015","Lower Saxony","422","0.194612958216781","0.178871928086603","0.210353988346959"
"Yes","2015","Bremen","27","","",""
"Yes","2015","North Rhine-Westphalia","887","0.190762174944634","0.180070830362901","0.201453519526366"
"Yes","2015","Hesse","273","0.172497010433593","0.154605583400261","0.190388437466924"
"Yes","2015","Rhineland-Palatinate,Saarland","220","0.143308891511253","0.125594864653155","0.161022918369351"
"Yes","2015","Baden-Württemberg","461","0.173753074516097","0.160201442438884","0.18730470659331"
"Yes","2015","Bavaria","604","0.17325696254393","0.161596598487938","0.184917326599922"
"Yes","2015","Berlin","159","0.198071594921647","0.172262115080843","0.22388107476245"
"Yes","2015","Brandenburg","155","0.152223195454201","0.129845689782118","0.174600701126284"
"Yes","2015","Mecklenburg-Western Pomerania","91","0.168146657825078","0.137226091766809","0.199067223883348"
"Yes","2015","Saxony","254","0.168507008748757","0.149738719197951","0.187275298299563"
"Yes","2015","Saxony-Anhalt","184","0.223316654283089","0.195924627929047","0.250708680637131"
"Yes","2015","Thuringia","187","0.234359901992494","0.207076621580548","0.261643182404441"
"No","2015","Schleswig-Holstein","719","0.821188165812137","0.795812613246549","0.846563718377725"
"No","2015","Hamburg","371","0.85149237051859","0.817803149436277","0.885181591600902"
"No","2015","Lower Saxony","2008","0.805387041783219","0.789646011653041","0.821128071913397"
"No","2015","Bremen","145","0.831568463143265","0.775638494152951","0.887498432133579"
"No","2015","North Rhine-Westphalia","4301","0.809237825055366","0.798546480473634","0.819929169637099"
"No","2015","Hesse","1440","0.827502989566407","0.809611562533076","0.845394416599739"
"No","2015","Rhineland-Palatinate,Saarland","1283","0.856691108488747","0.838977081630649","0.874405135346845"
"No","2015","Baden-Württemberg","2542","0.826246925483903","0.81269529340669","0.839798557561116"
"No","2015","Bavaria","3443","0.82674303745607","0.815082673400078","0.838403401512062"
"No","2015","Berlin","757","0.801928405078353","0.776118925237549","0.827737884919157"
"No","2015","Brandenburg","835","0.847776804545799","0.825399298873716","0.870154310217882"
"No","2015","Mecklenburg-Western Pomerania","471","0.831853342174922","0.800932776116652","0.862773908233191"
