"ple0022","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","in school","","","",""
"Yes","2011","lower secondary degree","inadequately","","","",""
"Yes","2011","lower secondary degree","general elemantary","371","1","1","1"
"Yes","2011","lower secondary degree","middle vocational","1174","1","1","1"
"Yes","2011","lower secondary degree","vocational + Abi","2","","",""
"Yes","2011","lower secondary degree","higher vocational","93","1","1","1"
"Yes","2011","lower secondary degree","higher education","34","1","1","1"
"Yes","2011","secondary school degree","in school","","","",""
"Yes","2011","secondary school degree","inadequately","","","",""
"Yes","2011","secondary school degree","general elemantary","53","1","1","1"
"Yes","2011","secondary school degree","middle vocational","693","1","1","1"
"Yes","2011","secondary school degree","vocational + Abi","8","","",""
"Yes","2011","secondary school degree","higher vocational","122","1","1","1"
"Yes","2011","secondary school degree","higher education","112","1","1","1"
"Yes","2011","college entrance qualification","in school","","","",""
"Yes","2011","college entrance qualification","inadequately","","","",""
"Yes","2011","college entrance qualification","general elemantary","","","",""
"Yes","2011","college entrance qualification","middle vocational","40","1","1","1"
"Yes","2011","college entrance qualification","vocational + Abi","141","1","1","1"
"Yes","2011","college entrance qualification","higher vocational","59","1","1","1"
"Yes","2011","college entrance qualification","higher education","433","1","1","1"
"Yes","2011","Other degree","in school","","","",""
"Yes","2011","Other degree","inadequately","6","","",""
"Yes","2011","Other degree","general elemantary","47","1","1","1"
"Yes","2011","Other degree","middle vocational","84","1","1","1"
"Yes","2011","Other degree","vocational + Abi","30","1","1","1"
"Yes","2011","Other degree","higher vocational","13","","",""
"Yes","2011","Other degree","higher education","38","1","1","1"
"Yes","2011","no degree/no degree yet","in school","8","","",""
"Yes","2011","no degree/no degree yet","inadequately","52","1","1","1"
"Yes","2011","no degree/no degree yet","general elemantary","","","",""
"Yes","2011","no degree/no degree yet","middle vocational","21","","",""
"Yes","2011","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2011","no degree/no degree yet","higher vocational","","","",""
"Yes","2011","no degree/no degree yet","higher education","","","",""
"Yes","2012","lower secondary degree","in school","","","",""
"Yes","2012","lower secondary degree","inadequately","","","",""
"Yes","2012","lower secondary degree","general elemantary","","","",""
"Yes","2012","lower secondary degree","middle vocational","","","",""
"Yes","2012","lower secondary degree","vocational + Abi","","","",""
"Yes","2012","lower secondary degree","higher vocational","","","",""
"Yes","2012","lower secondary degree","higher education","","","",""
"Yes","2012","secondary school degree","in school","","","",""
"Yes","2012","secondary school degree","inadequately","","","",""
"Yes","2012","secondary school degree","general elemantary","","","",""
"Yes","2012","secondary school degree","middle vocational","","","",""
"Yes","2012","secondary school degree","vocational + Abi","","","",""
"Yes","2012","secondary school degree","higher vocational","","","",""
"Yes","2012","secondary school degree","higher education","","","",""
"Yes","2012","college entrance qualification","in school","","","",""
"Yes","2012","college entrance qualification","inadequately","","","",""
"Yes","2012","college entrance qualification","general elemantary","","","",""
"Yes","2012","college entrance qualification","middle vocational","","","",""
"Yes","2012","college entrance qualification","vocational + Abi","","","",""
"Yes","2012","college entrance qualification","higher vocational","","","",""
"Yes","2012","college entrance qualification","higher education","","","",""
"Yes","2012","Other degree","in school","","","",""
"Yes","2012","Other degree","inadequately","","","",""
"Yes","2012","Other degree","general elemantary","","","",""
"Yes","2012","Other degree","middle vocational","","","",""
"Yes","2012","Other degree","vocational + Abi","","","",""
"Yes","2012","Other degree","higher vocational","","","",""
