"ple0022","year","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2011","no migration background","14815","0.810239657504288","0.804517928777785","0.815961386230792","2"
"No","2011","direct migration background","1644","0.815697694483302","0.798789298595327","0.832606090371277","2"
"No","2011","indirect migration background","731","0.938342653378366","0.921664504508928","0.955020802247805","2"
"Yes","2011","no migration background","3226","0.189760342495712","0.184038613769208","0.195482071222215","1"
"Yes","2011","direct migration background","376","0.184302305516698","0.167393909628723","0.201210701404673","1"
"Yes","2011","indirect migration background","68","0.0616573466216338","0.0449791977521955","0.0783354954910721","1"
"No","2012","no migration background","","","","","2"
"No","2012","direct migration background","","","","","2"
"No","2012","indirect migration background","","","","","2"
"Yes","2012","no migration background","","","","","1"
"Yes","2012","direct migration background","","","","","1"
"Yes","2012","indirect migration background","","","","","1"
"No","2013","no migration background","13539","0.808101771045266","0.802103866490064","0.814099675600467","2"
"No","2013","direct migration background","1361","0.777518548608822","0.757724371546002","0.797312725671642","2"
"No","2013","indirect migration background","657","0.909962514231515","0.888996541798431","0.930928486664599","2"
"Yes","2013","no migration background","3020","0.191898228954734","0.185900324399533","0.197896133509936","1"
"Yes","2013","direct migration background","335","0.222481451391178","0.202687274328358","0.242275628453998","1"
"Yes","2013","indirect migration background","59","0.0900374857684851","0.0690715133354014","0.111003458201569","1"
"No","2014","no migration background","","","","","2"
"No","2014","direct migration background","","","","","2"
"No","2014","indirect migration background","","","","","2"
"Yes","2014","no migration background","","","","","1"
"Yes","2014","direct migration background","","","","","1"
"Yes","2014","indirect migration background","","","","","1"
"No","2015","no migration background","15916","0.814042142149587","0.80854107042361","0.819543213875563","2"
"No","2015","direct migration background","3633","0.818163328982904","0.806662829604514","0.829663828361294","2"
"No","2015","indirect migration background","1483","0.924529195817629","0.911717553577775","0.937340838057484","2"
"Yes","2015","no migration background","3300","0.185957857850413","0.180456786124437","0.19145892957639","1"
"Yes","2015","direct migration background","688","0.181836671017096","0.170336171638706","0.193337170395486","1"
"Yes","2015","indirect migration background","150","0.0754708041823709","0.0626591619425163","0.0882824464222255","1"
"No","2016","no migration background","","","","","2"
"No","2016","direct migration background","","","","","2"
"No","2016","indirect migration background","","","","","2"
"Yes","2016","no migration background","","","","","1"
"Yes","2016","direct migration background","","","","","1"
"Yes","2016","indirect migration background","","","","","1"
"No","2017","no migration background","17076","0.82724893342294","0.822053747513407","0.832444119332473","2"
"No","2017","direct migration background","3986","0.835795487957808","0.825168132135445","0.84642284378017","2"
"No","2017","indirect migration background","1554","0.912797704644464","0.899445061057713","0.926150348231216","2"
"Yes","2017","no migration background","3264","0.17275106657706","0.167555880667527","0.177946252486593","1"
"Yes","2017","direct migration background","682","0.164204512042192","0.15357715621983","0.174831867864555","1"
"Yes","2017","indirect migration background","161","0.0872022953555356","0.0738496517687841","0.100554938942287","1"
"No","2018","no migration background","","","","","2"
"No","2018","direct migration background","","","","","2"
"No","2018","indirect migration background","","","","","2"
"Yes","2018","no migration background","","","","","1"
"Yes","2018","direct migration background","","","","","1"
"Yes","2018","indirect migration background","","","","","1"
"No","2019","no migration background","17042","0.822533721314771","0.817279263538598","0.827788179090944","2"
"No","2019","direct migration background","3299","0.843672256582003","0.832214077248504","0.855130435915501","2"
"No","2019","indirect migration background","1543","0.913621070657995","0.900310090129758","0.926932051186233","2"
"Yes","2019","no migration background","3268","0.177466278685229","0.172211820909056","0.182720736461402","1"
"Yes","2019","direct migration background","560","0.156327743417997","0.144869564084499","0.167785922751496","1"
"Yes","2019","indirect migration background","168","0.0863789293420047","0.073067948813767","0.0996899098702423","1"
