"ple0022","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","1-pers.-HH","in school","1","","",""
"Yes","2011","1-pers.-HH","inadequately","15","","",""
"Yes","2011","1-pers.-HH","general elemantary","151","0.301061050881239","0.260772622374533","0.341349479387945"
"Yes","2011","1-pers.-HH","middle vocational","420","0.219156109771865","0.200187403266668","0.238124816277063"
"Yes","2011","1-pers.-HH","vocational + Abi","29","","",""
"Yes","2011","1-pers.-HH","higher vocational","52","0.242814785977737","0.184821586341963","0.30080798561351"
"Yes","2011","1-pers.-HH","higher education","110","0.14902368838405","0.123503511418192","0.174543865349909"
"Yes","2011","(Married) couple without C. ","in school","","","",""
"Yes","2011","(Married) couple without C. ","inadequately","23","","",""
"Yes","2011","(Married) couple without C. ","general elemantary","184","0.25626853125006","0.224087933788268","0.288449128711853"
"Yes","2011","(Married) couple without C. ","middle vocational","1002","0.242714103766569","0.229886478196321","0.255541729336817"
"Yes","2011","(Married) couple without C. ","vocational + Abi","75","0.210347325565598","0.169152684688286","0.251541966442909"
"Yes","2011","(Married) couple without C. ","higher vocational","155","0.239767303891455","0.206481595532156","0.273053012250754"
"Yes","2011","(Married) couple without C. ","higher education","332","0.148441000826131","0.132989988995158","0.163892012657104"
"Yes","2011","Single parent ","in school","3","","",""
"Yes","2011","Single parent ","inadequately","6","","",""
"Yes","2011","Single parent ","general elemantary","31","0.111333872598501","0.0690921849835711","0.153575560213431"
"Yes","2011","Single parent ","middle vocational","84","0.143736607645668","0.114363817956432","0.173109397334904"
"Yes","2011","Single parent ","vocational + Abi","11","","",""
"Yes","2011","Single parent ","higher vocational","8","","",""
"Yes","2011","Single parent ","higher education","22","","",""
"Yes","2011","Couple + C. LE 16 ","in school","","","",""
"Yes","2011","Couple + C. LE 16 ","inadequately","4","","",""
"Yes","2011","Couple + C. LE 16 ","general elemantary","17","","",""
"Yes","2011","Couple + C. LE 16 ","middle vocational","167","0.114504026806798","0.0984486858027318","0.130559367810865"
"Yes","2011","Couple + C. LE 16 ","vocational + Abi","24","","",""
"Yes","2011","Couple + C. LE 16 ","higher vocational","26","","",""
"Yes","2011","Couple + C. LE 16 ","higher education","58","0.0812816557088464","0.0625664930943611","0.0999968183233317"
"Yes","2011","Couple + C. GT 16 ","in school","2","","",""
"Yes","2011","Couple + C. GT 16 ","inadequately","5","","",""
"Yes","2011","Couple + C. GT 16 ","general elemantary","48","0.144464155547052","0.106418039716326","0.182510271377778"
"Yes","2011","Couple + C. GT 16 ","middle vocational","235","0.132761288391144","0.116124681278209","0.149397895504079"
"Yes","2011","Couple + C. GT 16 ","vocational + Abi","26","","",""
"Yes","2011","Couple + C. GT 16 ","higher vocational","32","0.140159600911574","0.0933184871808667","0.187000714642282"
"Yes","2011","Couple + C. GT 16 ","higher education","67","0.11810986129066","0.091889605651592","0.144330116929728"
"Yes","2011","Couple + C. LE and GT 16","in school","1","","",""
"Yes","2011","Couple + C. LE and GT 16","inadequately","2","","",""
"Yes","2011","Couple + C. LE and GT 16","general elemantary","17","","",""
"Yes","2011","Couple + C. LE and GT 16","middle vocational","71","0.117538566651644","0.0908881058458708","0.144189027457417"
"Yes","2011","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Yes","2011","Couple + C. LE and GT 16","higher vocational","11","","",""
"Yes","2011","Couple + C. LE and GT 16","higher education","24","","",""
"No","2011","1-pers.-HH","in school","6","","",""
"No","2011","1-pers.-HH","inadequately","32","0.764684423460012","0.643411004375326","0.885957842544698"
"No","2011","1-pers.-HH","general elemantary","347","0.698938949118761","0.658650520612055","0.739227377625467"
"No","2011","1-pers.-HH","middle vocational","1407","0.780843890228135","0.761875183722937","0.799812596733332"
"No","2011","1-pers.-HH","vocational + Abi","174","0.870175137655676","0.823938915393515","0.916411359917837"
"No","2011","1-pers.-HH","higher vocational","158","0.757185214022263","0.69919201438649","0.815178413658036"
"No","2011","1-pers.-HH","higher education","638","0.85097631161595","0.825456134650091","0.876496488581808"
"No","2011","(Married) couple without C. ","in school","","","",""
"No","2011","(Married) couple without C. ","inadequately","47","0.591053534187663","0.47588185206029","0.706225216315035"
"No","2011","(Married) couple without C. ","general elemantary","523","0.74373146874994","0.711550871288147","0.775912066211732"
"No","2011","(Married) couple without C. ","middle vocational","3289","0.757285896233431","0.744458270663183","0.770113521803679"
"No","2011","(Married) couple without C. ","vocational + Abi","301","0.789652674434402","0.748458033557091","0.830847315311714"
"No","2011","(Married) couple without C. ","higher vocational","477","0.760232696108545","0.726946987749246","0.793518404467844"
"No","2011","(Married) couple without C. ","higher education","1702","0.851558999173869","0.836107987342895","0.867010011004842"
"No","2011","Single parent ","in school","47","0.914962308197371","0.837646122146401","0.99227849424834"
"No","2011","Single parent ","inadequately","24","","",""
"No","2011","Single parent ","general elemantary","182","0.888666127401499","0.846424439786569","0.930907815016429"
"No","2011","Single parent ","middle vocational","464","0.856263392354332","0.826890602665096","0.885636182043568"
"No","2011","Single parent ","vocational + Abi","55","0.808441604398927","0.71350120675489","0.903382002042964"
"No","2011","Single parent ","higher vocational","32","0.668375265999429","0.522476460032624","0.814274071966234"
"No","2011","Single parent ","higher education","154","0.901748696063556","0.857773915598355","0.945723476528757"
"No","2011","Couple + C. LE 16 ","in school","","","",""
"No","2011","Couple + C. LE 16 ","inadequately","26","","",""
"No","2011","Couple + C. LE 16 ","general elemantary","158","0.915746638280054","0.874592799457917","0.956900477102191"
"No","2011","Couple + C. LE 16 ","middle vocational","1344","0.885495973193202","0.869440632189135","0.901551314197268"
"No","2011","Couple + C. LE 16 ","vocational + Abi","269","0.921346132906962","0.890522364744845","0.952169901069079"
"No","2011","Couple + C. LE 16 ","higher vocational","243","0.927070602555602","0.895997854149681","0.958143350961523"
"No","2011","Couple + C. LE 16 ","higher education","761","0.918718344291154","0.900003181676668","0.937433506905639"
"No","2011","Couple + C. GT 16 ","in school","145","0.983976824157668","0.96367868816801","1.00427496014733"
